relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/BaseContext.java,org.apache.cayenne.BaseContext,234,234,0,0,0,0,6,6,39,39,37,233,148,0,2,0,52,0,52,39,0,0,0,3,4,0,0.0,0,0,0,0.0615384615384615,-0.0284495021337127,0.0120967741935484,0.0120967741935484,24,0.0100806451612903,736,731,34,21,0.978070175438596,0.887899235267656,0.0242914979757085,0.047008547008547,0.105263157894737,0.0526315789473684,-0.666666666666666,0.0100806451612903,0,0,0,5132.36701663428,27,4,0,0,14,0,0,0,62,0,0,0,0,28,62,0,4,0,17,168,28,188,1
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/Cayenne.java,org.apache.cayenne.Cayenne,237,237,0,0,0,0,1,1,21,21,41,237,137,0,0,0,0,0,0,21,0,0,0,0,0,0,0.0,0,0,0,0.195238095238095,-0.0210526315789474,0.16374269005848,0.16374269005848,30,0,210,210,21,5,1,0.718095238095238,0.0761904761904762,0.0476190476190476,0,0,-0.528301886792452,0,0,0,0,0.0,14,1,0,0,0,0,0,0,78,0,0,0,0,35,78,0,1,0,22,253,35,78,0
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/CayenneContext.java,org.apache.cayenne.CayenneContext,292,292,0,0,0,0,9,3,53,30,23,292,169,1,1,1,17,16,1,14,23,16,1,1,1,1,0.30188679245283,1,1,0,0.0564102564102564,0.226600985221675,0.464615384615385,0.649230769230769,36,0.646153846153846,329,223,15,2,0.827586206896552,0.891423519009726,0.27816091954023,0.2,0.862068965517241,0.827586206896552,-0.83333333333333,0.461538461538462,0,0,5,1538.70338583794,24,3,0,0,0,0,0,0,85,0,0,0,15,47,70,18,3,7,5,277,42,301,0
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/CayenneContextChildDiffLoader.java,org.apache.cayenne.CayenneContextChildDiffLoader,74,74,0,0,0,0,2,0,13,4,11,73,45,1,0,1,2,2,0,2,9,2,1,0,0,1,0.153846153846154,1,1,0,0.416666666666667,-1,0,0,0,0,6,6,4,4,undefined,0.5,0,undefined,0,0,1,0,0,0,6,0.0,9,0,0,0,0,0,0,0,22,0,0,0,16,10,6,0,0,0,2,1,4,54,0
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/CayenneContextGraphManager.java,org.apache.cayenne.CayenneContextGraphManager,218,218,0,0,0,0,9,8,29,25,27,218,138,1,0,1,7,7,0,18,4,7,1,0,0,1,0.241379310344828,0,0,0,0.09,0.481884057971014,0.79047619047619,1,19,1,151,2,2,1,0.817708333333333,0.8525,0.523333333333333,0.215,0.958333333333333,0.958333333333333,0.255813953488375,0.79047619047619,0,0,2,0.0,25,6,0,0,0,0,0,0,106,0,0,0,4,50,102,1,6,2,5,45,48,177,0
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/CayenneContextMergeHandler.java,org.apache.cayenne.CayenneContextMergeHandler,146,146,0,0,0,0,2,2,15,15,24,146,86,0,0,0,0,0,0,15,0,0,0,0,0,0,0.0,0,0,0,0.188888888888889,0.417582417582418,0.681818181818182,0.681818181818182,23,0.681818181818182,60,15,6,3,0.642857142857143,0.723809523809524,0.495238095238095,0.4,0.857142857142857,0.857142857142857,-0.36,0.681818181818182,0,0,0,0.0,16,1,0,0,0,0,0,0,53,0,0,0,0,38,53,1,1,0,9,14,38,66,0
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/CayenneContextQueryAction.java,org.apache.cayenne.CayenneContextQueryAction,96,96,0,0,0,0,7,0,14,5,5,96,62,1,0,1,3,3,0,2,9,3,1,0,0,1,0.214285714285714,0,0,0,0.2,-0.5,undefined,undefined,6,undefined,10,10,5,4,undefined,0.6,0.1,undefined,0,0,0,undefined,0,0,1,0.0,20,0,0,0,0,0,0,0,33,0,0,0,4,23,29,0,0,0,3,1,22,119,0
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/CayenneDataObject.java,org.apache.cayenne.CayenneDataObject,398,398,0,0,0,0,5,2,34,27,37,398,245,1,7,1,9,3,6,24,7,3,1,143,316,1,0.0882352941176471,0,0,0,0.0978835978835979,0.0584615384615385,0.619883040935672,0.619883040935672,61,0.619883040935672,329,307,20,4,0.865384615384615,0.840862840862841,0.128205128205128,0.166666666666667,0.730769230769231,0.730769230769231,-0.524590163934426,0.619883040935672,0,0,11,837353.026731896,24,1,0,0,769,0,0,0,121,0,0,0,15,77,106,0,1,0,23,91,66,204,0
framework/cayenne-di-unpublished/src/main/java/org/apache/cayenne/CayenneException.java,org.apache.cayenne.CayenneException,36,36,0,0,0,0,3,3,7,7,6,36,21,1,0,1,0,0,0,7,0,0,1,0,0,1,0.0,0,0,0,0.285714285714286,-0.333333333333333,0.333333333333333,0.333333333333333,2,0.333333333333333,21,21,7,6,1.11111111111111,0.523809523809524,0.0476190476190476,0.0476190476190476,0.166666666666667,0,-1,0.333333333333333,0,0,0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,7,55,0,7,0
framework/cayenne-di-unpublished/src/main/java/org/apache/cayenne/CayenneRuntimeException.java,org.apache.cayenne.CayenneRuntimeException,24,24,0,0,0,0,0,0,6,6,6,24,13,1,2,1,2,0,2,6,0,0,1,11,13,1,0.0,0,0,0,0.333333333333333,-0.5,0,0,0,0,15,15,6,6,undefined,0.466666666666667,0,undefined,0,0,-1,0,0,0,0,2015.0604094619696,1,0,0,0,36,0,0,0,2,0,0,0,0,2,2,0,0,40,6,368,2,7,0
