relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
java/org/apache/commons/configuration/AbstractConfiguration.java,org.apache.commons.configuration.AbstractConfiguration,722,722,0,0,0,0,17,14,81,65,87,722,348,1,4,1,58,0,58,65,16,0,1,12,39,1,0.0,29,0,29,0.0529230769230769,0.00446428571428571,0.312337662337662,0.362987012987013,106,0.0474025974025974,2071,2062,57,10,0.993303571428571,0.931076923076923,0.0350961538461538,0.021978021978022,0.15625,0.078125,-0.0443073471676918,0.0318181818181818,0,0,19,115750.47825061,5,4,0,4,98,0,0,0,141,0,0,0,74,46,67,1,4,13,92,1062,26,110,2
java/org/apache/commons/configuration/AbstractFileConfiguration.java,org.apache.commons.configuration.AbstractFileConfiguration,543,543,0,0,0,0,27,9,125,48,53,544,257,3,2,3,12,9,3,39,77,9,3,3,7,1,0.21600000000000005,11,2,9,0.0788690476190476,0.0693802035152636,0.591591591591592,0.842342342342342,82,0.842342342342342,1059,990,26,2,0.940898345153664,0.86201874366768,0.108156028368794,0.0787037037037037,0.893617021276596,0.617021276595745,-0.770212765957448,0.591591591591592,0,0,19,13329.8303878519,5,4,0,0,23,0,0,0,111,0,0,0,38,42,73,0,4,0,46,210,23,176,3
java/org/apache/commons/configuration/AbstractHierarchicalFileConfiguration.java,org.apache.commons.configuration.AbstractHierarchicalFileConfiguration,256,256,0,0,0,0,26,1,156,49,39,256,133,3,2,3,20,15,5,38,107,11,3,3,5,1,0.211538461538462,6,0,6,0.0663265306122449,0.562056737588652,0.944444444444444,0.944444444444444,17,0.944444444444444,510,0,13,2,0.25,0.889030612244898,0.579931972789116,0.755102040816326,0.9375,0.9375,-0.351351351351352,0.944444444444444,0,1,18,5352.43811300415,5,1,0,0,34,0,0,0,119,0,0,0,41,56,78,0,1,0,30,294,38,274,1
java/org/apache/commons/configuration/BaseConfiguration.java,org.apache.commons.configuration.BaseConfiguration,65,65,0,0,0,0,18,1,86,8,6,65,33,2,3,2,8,2,6,6,78,2,2,1,8,1,0.0465116279069767,5,3,2,0.25,1,1,1,4,1,0,0,1,1,0,0.642857142857143,1,1,1,1,1,1,0,0,3,2588.01246835081,2,1,0,0,6,0,0,0,16,0,0,0,11,4,5,3,1,0,4,15,1,118,0
java/org/apache/commons/configuration/BaseConfigurationXMLReader.java,org.apache.commons.configuration.BaseConfigurationXMLReader,46,46,0,0,0,0,7,1,28,6,2,46,24,1,0,1,2,2,0,4,22,2,1,0,0,1,0.0714285714285714,0,0,0,0.333333333333333,0,1,1,4,1,14,13,5,1,0.8,0.466666666666667,0.333333333333333,0.333333333333333,0.8,0.6,0,1,0,0,5,0.0,3,0,0,0,0,0,0,0,12,0,0,0,10,6,2,1,0,1,0,3,1,64,0
java/org/apache/commons/configuration/CombinedConfiguration.java,org.apache.commons.configuration.CombinedConfiguration,320,320,0,0,0,0,35,10,141,25,19,321,179,3,0,3,2,2,0,23,116,2,3,0,0,1,0.0425531914893617,3,3,0,0.08,0.177536231884058,0.666666666666667,1,28,1,245,190,11,1,0.941666666666667,0.854814814814815,0.243333333333333,0.096,1,0.916666666666667,-0.388888888888889,0.666666666666667,0,3,9,0.0,10,6,0,0,0,0,0,0,54,0,0,0,27,28,27,2,6,4,13,125,19,252,4
java/org/apache/commons/configuration/CompositeConfiguration.java,org.apache.commons.configuration.CompositeConfiguration,260,260,0,0,0,0,19,2,96,23,20,260,148,2,0,2,7,7,0,16,73,7,2,0,0,1,0.145833333333333,3,3,0,0.0966183574879227,0.441558441558442,0.705882352941177,0.882352941176471,12,0.882352941176471,135,17,7,2,0.522727272727273,0.837505489679403,0.490118577075099,0.5,0.954545454545455,0.954545454545455,-0.169811320754716,0.705882352941177,0,0,15,0.0,3,1,0,0,0,0,0,0,30,0,0,0,24,17,6,4,1,0,7,215,2,131,1
java/org/apache/commons/configuration/ConfigurationConverter.java,org.apache.commons.configuration.ConfigurationConverter,48,48,0,0,0,0,0,0,6,6,5,48,27,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0,0,0.277777777777778,-0.5,0,0,0,0,15,15,6,6,undefined,0.577777777777778,0,undefined,0,0,1,0,0,0,0,0.0,4,0,0,0,0,0,0,0,7,0,0,0,0,4,7,0,0,0,5,6,4,9,0
java/org/apache/commons/configuration/ConfigurationException.java,org.apache.commons.configuration.ConfigurationException,20,20,0,0,0,0,1,1,4,4,4,20,10,1,0,1,0,0,0,4,0,0,1,0,0,1,0.0,0,0,0,0.5,-1,undefined,undefined,0,undefined,6,6,4,4,1.33333333333333,0.333333333333333,0,0,0,0,-1,undefined,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,4,21,0,4,0
java/org/apache/commons/configuration/ConfigurationFactory.java,org.apache.commons.configuration.ConfigurationFactory,404,404,0,0,0,0,14,14,19,19,22,404,197,0,0,0,0,0,0,19,0,0,0,0,0,0,0.0,0,0,0,0.138157894736842,0.0392156862745098,0.309090909090909,1,69,1,159,147,10,1,0.972222222222222,0.779239766081871,0.140350877192982,0.0789473684210526,0.833333333333333,0.166666666666667,-0.452054794520549,0.309090909090909,0,0,0,0.0,12,14,0,0,0,0,0,0,28,0,0,0,0,13,28,1,14,0,25,82,13,86,0
java/org/apache/commons/configuration/ConfigurationKey.java,org.apache.commons.configuration.ConfigurationKey,315,315,0,0,0,0,9,9,21,21,14,315,171,0,0,0,0,0,0,21,0,0,0,0,0,0,0.0,0,0,0,0.123809523809524,0.410526315789474,0.675,0.875,33,0.875,127,44,6,1,0.911111111111111,0.796190476190476,0.466666666666667,0.132275132275132,0.9,0.7,-0.0399999999999989,0.675,0,0,0,0.0,1,4,0,0,0,0,0,0,12,0,0,0,0,12,12,0,4,5,14,113,12,32,0
java/org/apache/commons/configuration/ConfigurationMap.java,org.apache.commons.configuration.ConfigurationMap,91,91,0,0,0,0,1,1,5,5,4,91,50,1,1,1,0,0,0,5,0,0,1,1,1,1,0.0,1,0,1,0.3,1,1,1,0,1,0,0,1,1,0,0.5,1,1,1,1,0,1,0,0,0,148.378476559642,2,0,0,0,15,0,0,0,2,0,0,0,0,1,2,1,0,0,1,4,1,6,0
java/org/apache/commons/configuration/ConfigurationRuntimeException.java,org.apache.commons.configuration.ConfigurationRuntimeException,20,20,0,0,0,0,1,1,4,4,4,20,10,1,1,1,0,0,0,4,0,0,1,1,1,1,0.0,0,0,0,0.5,-1,undefined,undefined,0,undefined,6,6,4,4,1.33333333333333,0.333333333333333,0,0,0,0,-1,undefined,0,0,0,63.4539163324803,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,4,7,0,4,0
java/org/apache/commons/configuration/ConfigurationUtils.java,org.apache.commons.configuration.ConfigurationUtils,397,397,0,0,0,0,4,4,19,19,37,397,183,0,0,0,0,0,0,19,0,0,0,0,0,0,0.0,0,0,0,0.12280701754386,-0.0522875816993464,0.0718954248366013,0.111111111111111,27,0.0326797385620915,170,169,18,9,1,0.802144249512671,0.0584795321637427,0.0526315789473684,0.111111111111111,0,-0.5,0.0326797385620915,0,0,0,0.0,5,4,0,0,0,0,0,0,8,0,0,0,0,5,8,0,4,0,37,61,5,41,3
java/org/apache/commons/configuration/ConfigurationXMLReader.java,org.apache.commons.configuration.ConfigurationXMLReader,141,141,0,0,0,0,6,6,24,24,20,141,68,0,1,0,4,0,4,24,0,0,0,2,2,0,0.0,0,0,0,0.0833333333333333,-0.00790513833992095,0.0588235294117647,0.0718954248366013,17,0.0718954248366013,264,252,18,12,0.949275362318841,0.861594202898551,0.0760869565217391,0.0902777777777778,0.347826086956522,0.347826086956522,0.288888888888889,0.0588235294117647,0,0,0,783.171572171875,1,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,24,4,0,24,0
java/org/apache/commons/configuration/ConversionException.java,org.apache.commons.configuration.ConversionException,20,20,0,0,0,0,2,1,8,4,4,20,10,2,0,2,0,0,0,4,4,0,2,0,0,1,0.0,0,0,0,0.5,-1,undefined,undefined,0,undefined,6,6,4,4,1.33333333333333,0.333333333333333,0,0,0,0,-1,undefined,0,0,4,0.0,0,0,0,0,0,0,0,0,8,0,0,0,8,4,0,0,0,89,4,44,0,8,0
java/org/apache/commons/configuration/DataConfiguration.java,org.apache.commons.configuration.DataConfiguration,702,702,0,0,0,0,21,4,172,94,160,702,340,2,0,2,2,2,0,92,78,2,2,0,0,1,0.0232558139534884,2,2,0,0.0629787234042553,0.00561009817671809,0.82896379525593,0.912609238451935,171,0.870411985018727,4343,4315,87,3,0.983870967741935,0.949155799588195,0.0267673301304049,0.0265957446808511,0.935483870967742,0.795698924731183,0.672556475061509,0.828464419475655,0,0,16,0.0,2,2,0,0,0,0,0,0,114,0,0,0,31,39,83,1,2,0,214,445,23,214,1
java/org/apache/commons/configuration/DatabaseConfiguration.java,org.apache.commons.configuration.DatabaseConfiguration,316,316,0,0,0,0,23,6,92,13,28,316,166,2,1,2,2,1,1,12,79,1,2,1,1,1,0.0217391304347826,4,4,0,0.269230769230769,0.5,0.75,0.75,43,0.75,49,20,5,2,0.597222222222222,0.67948717948718,0.576923076923077,0.448717948717949,0.833333333333333,0.75,-0.157894736842105,0.75,0,0,17,1426.70408153922,1,6,0,0,0,0,0,0,53,0,0,0,50,18,3,0,6,1,28,18,1,123,1
java/org/apache/commons/configuration/DefaultConfigurationBuilder.java,org.apache.commons.configuration.DefaultConfigurationBuilder,564,564,0,0,0,0,69,33,199,21,21,565,274,5,0,5,2,2,0,19,178,2,5,0,0,1,0.05025125628140701,0,0,0,0.0769230769230769,0.0105263157894737,0.238095238095238,0.238095238095238,24,0.238095238095238,202,194,16,4,1.01969696969697,0.867399267399267,0.104761904761905,0.0288600288600289,0.4,0.35,0.500000000000003,0.238095238095238,0,1,17,0.0,21,31,0,0,0,0,0,0,67,0,0,0,32,32,35,1,31,0,22,32,15,423,1
java/org/apache/commons/configuration/EnvironmentConfiguration.java,org.apache.commons.configuration.EnvironmentConfiguration,80,80,0,0,0,0,20,3,89,11,7,80,38,2,0,2,2,2,0,9,78,2,2,0,0,1,0.0449438202247191,2,2,0,0.159090909090909,0.177777777777778,0.583333333333333,0.583333333333333,5,0.583333333333333,40,25,6,4,0.833333333333333,0.736363636363636,0.327272727272727,0.242424242424242,0.7,0.7,1,0.583333333333333,0,0,1,0.0,1,2,0,0,0,0,0,0,4,0,0,0,1,2,3,1,2,0,5,11,1,121,0
java/org/apache/commons/configuration/HierarchicalConfiguration.java,org.apache.commons.configuration.HierarchicalConfiguration,701,701,0,0,0,0,25,8,119,45,47,701,376,2,3,2,26,6,20,39,74,6,2,5,10,1,0.100840336134454,7,2,5,0.0803418803418803,0.0147991543340381,0.806666666666667,0.92,79,0.92,982,974,40,7,0.982954545454545,0.866977466977467,0.0585858585858586,0.0388888888888889,0.613636363636364,0.522727272727273,-0.567669172932329,0.806666666666667,0,0,13,26582.2570186473,14,1,1,7,45,0,0,0,81,0,0,0,50,36,31,3,1,12,36,248,21,179,2
java/org/apache/commons/configuration/HierarchicalConfigurationConverter.java,org.apache.commons.configuration.HierarchicalConfigurationConverter,78,78,0,0,0,0,0,0,7,7,13,78,50,0,1,0,2,0,2,7,0,0,0,1,1,0,0.0,0,0,0,0.314285714285714,0.133333333333333,1,1,26,1,21,21,7,1,undefined,0.523809523809524,0.380952380952381,undefined,0,0,-0.857142857142857,1,0,0,0,651.467795195235,3,0,0,0,0,0,0,0,26,0,0,0,0,18,26,0,0,0,11,1,18,34,0
java/org/apache/commons/configuration/HierarchicalConfigurationXMLReader.java,org.apache.commons.configuration.HierarchicalConfigurationXMLReader,77,77,0,0,0,0,7,1,28,6,2,77,40,1,0,1,2,2,0,4,22,2,1,0,0,1,0.0714285714285714,0,0,0,0.333333333333333,0,1,1,4,1,14,13,5,1,0.8,0.466666666666667,0.333333333333333,0.333333333333333,0.8,0.6,0,1,0,0,1,0.0,4,1,0,0,0,0,0,0,5,0,0,0,1,3,4,1,1,0,3,1,2,47,0
java/org/apache/commons/configuration/HierarchicalXMLConfiguration.java,org.apache.commons.configuration.HierarchicalXMLConfiguration,4,4,0,0,0,0,37,1,180,0,0,4,2,5,0,5,0,0,0,0,180,0,5,0,0,1,0.0,0,0,0,undef,undef,undef,undef,0,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0
java/org/apache/commons/configuration/INIConfiguration.java,org.apache.commons.configuration.INIConfiguration,215,215,0,0,0,0,29,2,133,11,10,215,118,4,0,4,0,0,0,11,122,0,4,0,0,1,0.0,2,2,0,0.151515151515152,-0.0444444444444444,0.333333333333333,0.333333333333333,13,0.333333333333333,52,49,9,5,0.95,0.757575757575758,0.145454545454545,0.136363636363636,0.4,0,1,0.333333333333333,0,0,6,0.0,1,2,0,0,0,0,0,0,10,0,0,0,10,6,0,0,2,0,13,23,0,187,1
java/org/apache/commons/configuration/JNDIConfiguration.java,org.apache.commons.configuration.JNDIConfiguration,241,241,0,0,0,0,21,4,96,19,27,241,123,2,1,2,4,3,1,16,77,3,2,1,1,1,0.0625,1,1,0,0.171052631578947,0.0588235294117647,0.696969696969697,0.833333333333333,17,0.833333333333333,156,141,11,3,0.875,0.75,0.157894736842105,0.171052631578947,0.777777777777778,0.444444444444444,-0.531914893617021,0.696969696969697,0,0,6,943.620930327245,0,4,0,0,0,0,0,0,23,0,0,0,23,6,0,4,4,0,28,36,0,129,0
java/org/apache/commons/configuration/MapConfiguration.java,org.apache.commons.configuration.MapConfiguration,74,74,0,0,0,0,18,1,87,9,7,74,37,2,1,2,2,2,0,7,78,2,2,1,1,1,0.0459770114942529,2,2,0,0.194444444444444,1,1,1,2,1,0,0,1,1,0,0.694444444444444,1,1,1,1,1,1,0,0,4,358.41553044987296,3,1,0,0,1,0,0,0,12,0,0,0,4,6,8,0,1,0,6,13,2,119,0
java/org/apache/commons/configuration/PropertiesConfiguration.java,org.apache.commons.configuration.PropertiesConfiguration,534,534,0,0,0,0,38,11,141,21,17,534,295,4,1,4,5,3,2,19,120,2,4,3,3,1,0.0567375886524823,4,3,1,0.0846560846560847,0.0263157894736842,0.346153846153846,0.397435897435897,19,0.397435897435897,198,186,15,5,0.995454545454545,0.86031746031746,0.119047619047619,0.051948051948052,0.7,0.5,1,0.346153846153846,0,0,17,3232.09967163512,4,6,0,0,6,0,0,0,63,0,0,0,30,27,33,7,6,4,19,139,10,240,1
