relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
src/site/xdoc/doc/hops/FirstHop.java,FirstHop,14,14,0,0,0,0,0,0,1,1,1,14,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,1,1,1,1,0,1,0,0,1,1,undefined,1,1,undefined,0,0,1,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,4,0
src/site/xdoc/doc/hops/SecondHop.java,SecondHop,21,21,0,0,0,0,0,0,1,1,1,21,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,1,1,1,1,0,1,0,0,1,1,undefined,1,1,undefined,0,0,1,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,4,0
jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/BaseException.java,org.apache.jackrabbit.BaseException,8,8,0,0,0,0,0,0,2,2,3,8,5,1,2,1,0,0,0,2,0,0,1,8,15,1,0.0,0,0,0,0.75,0,undefined,undefined,0,undefined,1,1,2,2,undefined,0.5,0,undefined,0,0,0,undefined,0,0,0,603.240319956916,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0
jackrabbit-core/src/main/java/org/apache/jackrabbit/core/BatchedItemOperations.java,org.apache.jackrabbit.core.BatchedItemOperations,841,841,0,0,0,0,16,12,43,37,100,841,524,1,0,1,0,0,0,37,6,0,1,0,0,1,0.0,0,0,0,0.0910910910910911,0.503174603174603,0.778461538461538,0.778461538461538,164,0.778461538461538,333,0,8,2,0.844907407407407,0.850517183850517,0.53003003003003,0.177927927927928,0.888888888888889,0.833333333333333,-0.61914672216441,0.778461538461538,0,0,40,0.0,32,2,0,0,0,0,0,0,512,0,0,0,144,276,368,1,2,1,87,51,236,191,1
jackrabbit-core/src/main/java/org/apache/jackrabbit/core/CachingHierarchyManager.java,org.apache.jackrabbit.core.CachingHierarchyManager,447,447,0,0,0,0,14,9,46,28,57,447,305,1,0,1,1,1,0,27,18,1,1,0,0,1,0.0217391304347826,6,6,0,0.111111111111111,0.287749287749288,0.769230769230769,0.857142857142857,71,0.857142857142857,264,150,9,2,0.860082304526749,0.810111699000588,0.338624338624339,0.170634920634921,0.925925925925926,0.111111111111111,-0.739583333333334,0.769230769230769,0,0,9,0.0,16,6,0,0,0,0,0,0,199,0,0,0,37,131,162,2,6,0,54,2,122,160,1
jackrabbit-core/src/main/java/org/apache/jackrabbit/core/CachingNamespaceResolver.java,org.apache.jackrabbit.core.CachingNamespaceResolver,51,51,0,0,0,0,3,3,13,13,16,51,34,0,0,0,0,0,0,13,0,0,0,0,0,0,0.0,0,0,0,0.25,0.0757575757575758,0.257575757575758,0.272727272727273,2,0.272727272727273,63,48,6,4,0.75,0.698717948717949,0.217948717948718,0.307692307692308,0.75,0.75,0.0666666666666664,0.257575757575758,0,0,0,0.0,6,3,0,0,0,0,0,0,10,0,0,0,0,4,10,1,3,0,21,5,4,31,0
jackrabbit-core/src/main/java/org/apache/jackrabbit/core/HierarchyManagerImpl.java,org.apache.jackrabbit.core.HierarchyManagerImpl,286,286,0,0,0,0,5,5,19,19,44,286,193,0,1,0,6,0,6,19,0,0,0,3,3,0,0.0,6,0,6,0.154385964912281,0.38562091503268,0.755555555555556,1,58,1,111,51,5,1,0.8,0.757504873294347,0.450292397660819,0.242105263157895,0.833333333333333,0.833333333333333,-0.567010309278351,0.755555555555556,0,0,0,6054.15303416284,18,3,0,0,17,0,0,0,68,0,0,0,0,50,68,0,3,0,51,8,50,77,0
jackrabbit-core/src/main/java/org/apache/jackrabbit/core/ItemId.java,org.apache.jackrabbit.core.ItemId,4,4,0,0,0,0,1,1,1,1,0,4,3,0,1,0,2,0,2,1,0,0,0,2,2,0,0.0,0,0,0,undef,1,1,1,0,1,0,0,1,1,0,undef,1,0,0,0,undef,1,0,0,0,12.407820003461499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,85,0,12,0,1,0
jackrabbit-core/src/main/java/org/apache/jackrabbit/core/ItemImpl.java,org.apache.jackrabbit.core.ItemImpl,757,757,0,0,0,0,13,13,43,43,31,757,511,0,2,0,10,0,10,43,0,0,0,2,4,0,0.0,6,0,6,0.0374677002583979,0.256678281068525,0.426666666666667,0.633333333333333,75,0.633333333333333,662,421,9,4,0.873626373626374,0.927894672080719,0.29125138427464,0.146690518783542,0.833333333333333,0.738095238095238,-0.563636363636361,0.426666666666667,0,0,0,21723.6268647122,32,8,0,0,234,0,0,0,225,0,0,0,0,145,225,0,8,8,38,72,126,510,3
jackrabbit-core/src/main/java/org/apache/jackrabbit/core/ItemManager.java,org.apache.jackrabbit.core.ItemManager,377,377,0,0,0,0,7,7,34,34,57,377,257,0,0,0,0,0,0,34,0,0,0,0,0,0,0.0,0,0,0,0.0882352941176471,0.392045454545455,0.891304347826087,1,83,1,340,119,7,1,0.80952380952381,0.842292898020452,0.427807486631016,0.214285714285714,1,1,-0.834296724470134,0.891304347826087,0,0,0,0.0,31,5,0,0,0,0,0,0,144,0,0,0,0,90,144,11,5,23,72,76,90,140,3
