relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
jackrabbit-api/src/main/java/org/apache/jackrabbit/api/security/user/AuthorizableExistsException.java,org.apache.jackrabbit.api.security.user.AuthorizableExistsException,5,5,0,0,0,0,0,0,1,1,1,5,3,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0,0,0,0,1,1,undefined,undefined,0,undefined,0,0,1,1,undefined,1,1,undefined,0,0,1,undefined,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,0,1,0
jackrabbit-jcr-client/src/main/java/org/apache/jackrabbit/client/RepositoryFactoryImpl.java,org.apache.jackrabbit.client.RepositoryFactoryImpl,26,26,0,0,0,0,2,2,1,1,2,25,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0
jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/commons/AbstractItem.java,org.apache.jackrabbit.commons.AbstractItem,52,52,0,0,0,0,0,0,3,3,3,52,34,0,1,0,0,0,0,3,0,0,0,2,2,0,0.0,0,0,0,0.333333333333333,-2,0,0,0,0,3,3,3,3,undefined,0.333333333333333,0,undefined,0,0,0,0,0,0,0,594.671445300924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0
jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/commons/AbstractNode.java,org.apache.jackrabbit.commons.AbstractNode,250,250,0,0,0,0,0,0,35,32,47,250,172,1,0,1,0,0,0,32,3,0,1,0,0,1,0.0,0,0,0,0.087890625,-0.0301075268817204,0.0451612903225806,0.0473118279569892,35,0,496,496,32,22,undefined,0.871849798387097,0.0342741935483871,undefined,0,0,-0.251908396946566,0,0,0,0,0.0,1,0,0,0,0,0,0,0,4,0,0,0,0,2,4,0,0,0,56,0,2,37,0
jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/commons/AbstractProperty.java,org.apache.jackrabbit.commons.AbstractProperty,116,116,0,0,0,0,0,0,28,25,13,116,78,1,0,1,0,0,0,25,3,0,1,0,0,1,0.0,0,0,0,0.0433333333333333,-0.0797101449275362,0.0036231884057971,0.0036231884057971,3,0,300,300,25,23,undefined,0.913888888888889,0.00666666666666667,undefined,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,28,0
jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/commons/AbstractRepository.java,org.apache.jackrabbit.commons.AbstractRepository,64,64,0,0,0,0,1,1,4,4,3,64,58,0,2,0,3,0,3,4,0,0,0,6,9,0,0.0,8,0,8,0.375,-1,0,0,0,0,6,6,4,4,1,0.416666666666667,0,0.25,0,0,0,0,0,0,0,673.170831602543,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,0,4,0
jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/commons/AbstractSession.java,org.apache.jackrabbit.commons.AbstractSession,217,217,0,0,0,0,1,1,20,20,37,217,129,0,2,0,7,0,7,20,0,0,0,2,5,0,0.0,15,0,15,0.177777777777778,0.0175438596491228,0.42483660130719,0.42483660130719,24,0.065359477124183,180,170,16,4,0.789473684210526,0.816374269005848,0.115789473684211,0.25,0.210526315789474,0,0.329113924050633,0.065359477124183,0,0,0,6172.97153410323,6,1,0,0,6,0,0,0,25,0,0,0,0,8,25,0,1,0,36,0,8,39,0
jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/commons/AbstractWorkspace.java,org.apache.jackrabbit.commons.AbstractWorkspace,21,21,0,0,0,0,0,0,1,1,4,21,11,0,2,0,0,0,0,1,0,0,0,1,2,0,0.0,0,0,0,1,1,1,1,0,1,0,0,1,1,undefined,1,1,undefined,0,0,1,1,0,0,0,182.330867797013,1,0,0,0,0,0,0,0,5,0,0,0,0,2,5,0,0,0,3,0,2,4,0
jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/commons/GenericRepositoryFactory.java,org.apache.jackrabbit.commons.GenericRepositoryFactory,76,76,0,0,0,0,2,2,3,3,5,76,44,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.555555555555556,1,1,1,6,1,0,0,1,1,0.25,0.555555555555556,1,0.833333333333333,1,0,1,1,0,0,0,0.0,1,2,0,0,0,0,0,0,2,0,0,0,0,1,2,0,2,0,8,1,1,4,0
jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/commons/JcrUtils.java,org.apache.jackrabbit.commons.JcrUtils,80,80,0,0,0,0,0,0,17,17,21,80,42,0,0,0,0,0,0,17,0,0,0,0,0,0,0.0,0,0,0,0.247058823529412,-0.125,0,0,0,0,136,136,17,16,undefined,0.702941176470588,0.00735294117647059,undefined,0,0,-0.352941176470589,0,0,0,0,0.0,4,0,0,0,0,0,0,0,28,0,0,0,0,14,28,0,0,0,37,10,14,23,1
jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/commons/NamespaceHelper.java,org.apache.jackrabbit.commons.NamespaceHelper,93,93,0,0,0,0,4,4,8,8,13,93,63,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.3125,0.714285714285714,1,1,5,1,7,0,2,1,0.785714285714286,0.607142857142857,0.785714285714286,0.3125,1,1,-0.23076923076923,1,0,0,0,0.0,1,4,0,0,0,0,0,0,2,0,0,0,0,1,2,2,4,0,19,16,1,11,0
jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/commons/cnd/CndImporter.java,org.apache.jackrabbit.commons.cnd.CndImporter,47,47,0,0,0,0,0,0,4,4,9,47,27,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0.28125,-0.333333333333333,1,1,2,0,6,6,4,2,undefined,0.479166666666667,0.333333333333333,undefined,0,0,0,0,0,0,0,0.0,4,0,0,0,0,0,0,0,9,0,0,0,0,3,9,0,0,0,11,4,3,67,0
jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/commons/cnd/CompactNodeTypeDefReader.java,org.apache.jackrabbit.commons.cnd.CompactNodeTypeDefReader,454,454,0,0,0,0,4,4,25,25,47,454,324,0,0,0,0,0,0,25,0,0,0,0,0,0,0.0,0,0,0,0.176,0.739130434782609,0,0,228,0,74,0,2,1,0.583333333333333,0.764,0.76,0.44,1,0.958333333333333,-0.297491039426523,0,0,0,0,0.0,7,4,0,0,0,0,0,0,238,0,0,0,0,128,238,0,4,0,49,15,128,66,0
jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/commons/cnd/DefinitionBuilderFactory.java,org.apache.jackrabbit.commons.cnd.DefinitionBuilderFactory,112,112,0,0,0,0,0,0,4,4,3,112,77,0,1,0,2,0,2,4,0,0,0,2,2,0,0.0,4,0,4,0.25,-1,0,0,0,0,6,6,4,4,undefined,0.5,0,undefined,0,0,0,0,0,0,0,88.4121537564757,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,4,0,4,0
jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/commons/cnd/Lexer.java,org.apache.jackrabbit.commons.cnd.Lexer,149,149,0,0,0,0,59,59,7,7,7,149,133,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.25,0.733333333333333,0.933333333333333,1,6,1,8,0,1,1,1.10169491525424,0.595238095238095,0.80952380952381,0.0556900726392252,1,1,-0.333333333333332,0.933333333333333,0,0,0,0.0,1,47,0,0,0,0,0,0,16,0,0,0,0,3,16,1,47,0,9,28,3,10,0
jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/commons/cnd/ParseException.java,org.apache.jackrabbit.commons.cnd.ParseException,58,58,0,0,0,0,3,3,6,6,16,58,47,1,0,1,0,0,0,6,0,0,1,0,0,1,0.0,0,0,0,0.555555555555556,0.5,0,0,0,0,5,0,2,2,0.2,0.466666666666667,0.666666666666667,0.833333333333333,0.8,0.2,-0.666666666666667,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,10,4,0,6,0
jackrabbit-jcr-commons/src/main/java/org/apache/jackrabbit/commons/cnd/TemplateBuilderFactory.java,org.apache.jackrabbit.commons.cnd.TemplateBuilderFactory,158,158,0,0,0,0,3,3,8,5,7,158,97,1,0,1,1,1,0,4,3,1,1,0,0,1,0.125,2,2,0,0.24,0.333333333333333,0.5,0.5,0,0.5,4,0,2,2,0.75,0.56,0.6,0.4,0.75,0.5,0,0.5,0,0,0,0.0,2,3,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3,0,8,1,1,9,0
