relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
log4j12-api/src/main/java/org/apache/log4j/BasicConfigurator.java,org.apache.log4j.BasicConfigurator,11,11,0,0,0,0,0,0,4,4,1,11,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0.25,-1,0,0,0,0,6,6,4,4,undefined,0.5,0,undefined,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,52,0
log4j12-api/src/main/java/org/apache/log4j/Category.java,org.apache.log4j.Category,274,274,0,0,0,0,5,5,63,63,72,274,182,0,2,0,0,0,0,63,0,0,0,1,2,0,0.0,2,0,2,0.0761904761904762,0.154944473823374,0.454887218045113,0.592731829573935,113,0.592731829573935,1621,1289,26,14,0.874193548387097,0.870967741935484,0.181771633384537,0.13968253968254,0.790322580645161,0.645161290322581,-0.730693069306931,0.454887218045113,0,0,0,4118.887018641551,19,4,0,0,6,0,0,0,79,0,0,0,0,41,79,0,4,0,58,86,41,138,1
log4j12-api/src/main/java/org/apache/log4j/Layout.java,org.apache.log4j.Layout,15,15,0,0,0,0,2,2,5,5,1,15,11,0,1,0,2,0,2,5,0,0,0,1,1,0,0.0,0,0,0,0.2,-0.666666666666667,0,0,0,0,10,10,5,5,1.25,0.6,0,0,0,0,0,0,0,0,0,43.803910001730785,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,5,0
log4j12-api/src/main/java/org/apache/log4j/Level.java,org.apache.log4j.Level,98,98,0,0,0,0,25,10,20,8,11,98,67,1,1,1,0,0,0,8,12,0,1,1,1,1,0.0,0,0,0,0.25,0,1,1,2,1,22,16,5,4,0.871428571428571,0.6,0.25,0.2375,0.571428571428571,0,-0.6,1,0,0,1,594.642746724102,0,8,0,0,0,0,0,0,4,0,0,0,4,1,0,0,0,4,5,9,0,20,0
log4j12-api/src/main/java/org/apache/log4j/LogManager.java,org.apache.log4j.LogManager,95,95,0,0,0,0,6,6,12,12,7,95,61,0,0,0,0,0,0,12,0,0,0,0,0,0,0.0,0,0,0,0.116666666666667,-0.2,0,0,0,0,66,66,12,12,1.07575757575758,0.784848484848485,0,0.0138888888888889,0,0,1,0,0,0,0,0.0,9,5,0,0,0,0,0,0,21,0,0,0,0,13,21,0,5,0,10,7,13,65,1
log4j12-api/src/main/java/org/apache/log4j/Logger.java,org.apache.log4j.Logger,30,30,0,0,0,0,6,1,65,6,7,30,20,1,1,1,0,0,0,6,59,0,1,1,1,1,0.0,1,1,0,0.291666666666667,-0.5,0,0,0,0,15,15,6,6,1.2,0.616666666666667,0,0,0,0,1,0,0,0,6,171.023674038613,3,1,0,0,0,0,0,0,23,0,0,0,18,11,5,3,1,5,6,38,5,139,0
log4j12-api/src/main/java/org/apache/log4j/MDC.java,org.apache.log4j.MDC,37,37,0,0,0,0,1,1,7,7,6,37,23,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.357142857142857,0.6,1,1,0,1,6,0,2,2,0.166666666666667,0.571428571428571,0.714285714285714,0.857142857142857,0.833333333333333,0,1,1,0,0,0,0.0,1,1,0,0,0,0,0,0,9,0,0,0,0,4,9,0,1,0,6,0,4,10,0
log4j12-api/src/main/java/org/apache/log4j/NDC.java,org.apache.log4j.NDC,38,38,0,0,0,0,0,0,11,11,3,38,26,0,0,0,0,0,0,11,0,0,0,0,0,0,0.0,0,0,0,0.0909090909090909,-0.222222222222222,0,0,0,0,55,55,11,11,undefined,0.818181818181818,0,undefined,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,14,0,0,0,0,10,14,0,0,0,6,0,10,23,0
log4j12-api/src/main/java/org/apache/log4j/PatternLayout.java,org.apache.log4j.PatternLayout,10,10,0,0,0,0,2,0,5,2,1,10,5,1,0,1,2,2,0,0,3,2,1,0,0,1,0.4,0,0,0,0.5,0,0,0,0,0,1,1,2,2,undefined,0,0,undefined,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
log4j12-api/src/main/java/org/apache/log4j/Priority.java,org.apache.log4j.Priority,76,76,0,0,0,0,15,15,12,12,11,76,47,0,2,0,0,0,0,12,0,0,0,1,2,0,0.0,0,0,0,0.208333333333333,0.0909090909090909,0.0888888888888889,0.0888888888888889,0,0.0888888888888889,51,36,5,4,0.987878787878788,0.651515151515151,0.242424242424242,0.0944444444444444,0.545454545454545,0.454545454545455,-0.846153846153846,0.0888888888888889,0,0,0,634.371062268231,1,6,0,0,1,0,0,0,8,0,0,0,0,3,8,0,1,9,4,26,0,15,0
log4j12-api/src/main/java/org/apache/log4j/PropertyConfigurator.java,org.apache.log4j.PropertyConfigurator,22,22,0,0,0,0,0,0,10,10,15,22,11,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0,0,0,0.214285714285714,-0.25,0,0,0,0,45,45,10,10,undefined,0.66031746031746,0,undefined,0,0,-0.62962962962963,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0
log4j12-api/src/main/java/org/apache/log4j/config/PropertySetter.java,org.apache.log4j.config.PropertySetter,13,13,0,0,0,0,0,0,5,5,11,13,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0,0.45,-0.666666666666667,0,0,0,0,10,10,5,5,undefined,0.5,0,undefined,0,0,-0.2,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,5,0
log4j12-api/src/main/java/org/apache/log4j/config/PropertySetterException.java,org.apache.log4j.config.PropertySetterException,18,18,0,0,0,0,2,2,3,3,2,18,13,1,0,1,0,0,0,3,0,0,1,0,0,1,0.0,0,0,0,0.333333333333333,-1,1,1,0,1,2,1,2,2,1,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0
log4j12-api/src/main/java/org/apache/log4j/helpers/NullEnumeration.java,org.apache.log4j.helpers.NullEnumeration,14,14,0,0,0,0,1,1,4,4,0,14,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,undef,-1,0,0,0,0,6,6,4,4,1,undef,0,0.25,0,0,undef,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0
log4j12-api/src/main/java/org/apache/log4j/spi/Filter.java,org.apache.log4j.spi.Filter,15,15,0,0,0,0,4,4,4,4,2,15,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0.25,-0.666666666666667,0.166666666666667,0.166666666666667,0,0.166666666666667,5,4,3,3,1.16666666666667,0.5,0.166666666666667,0.125,0.333333333333333,0.333333333333333,0,0.166666666666667,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
