relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
main/java/org/apache/maven/plugin/assembly/AbstractAssemblyMojo.java,org.apache.maven.plugin.assembly.AbstractAssemblyMojo,1159,1159,0,0,0,0,29,19,36,32,91,1163,613,2,2,2,1,0,1,32,4,0,2,4,6,1,0.0,0,0,0,0.130952380952381,0.0365591397849462,1,1,158,1,482,468,24,2,0.98641765704584,0.787442396313364,0.0967741935483871,0.0444078947368421,0.548387096774194,0.161290322580645,-0.734104046242774,1,0,0,6,42341.870569322,10,16,0,0,2,0,0,0,50,0,0,0,18,20,32,0,16,0,100,11,14,50,4
main/java/org/apache/maven/plugin/assembly/AbstractDirectoryMojo.java,org.apache.maven.plugin.assembly.AbstractDirectoryMojo,48,48,0,0,0,0,29,0,12,2,5,48,20,3,1,3,1,1,0,1,10,1,3,2,2,1,0.25,0,0,0,0.5,1.0,1,1,6,1,1,1,2,1,undefined,0,1.0,undefined,0.0,0.0,0,1,0,0,4,392.155294528188,1,0,0,0,0,0,0,0,12,0,0,0,12,4,0,0,0,0,5,5,0,47,0
main/java/org/apache/maven/plugin/assembly/AbstractUnpackingMojo.java,org.apache.maven.plugin.assembly.AbstractUnpackingMojo,53,53,0,0,0,0,10,10,4,4,4,53,31,1,3,1,6,0,6,4,0,0,1,2,8,1,0.0,0,0,0,0.25,-0.666666666666667,1,1,1,1,6,6,4,3,1.26666666666667,0.5,0.166666666666667,0.05,0.0,0.0,0,1,0,0,0,1875.7413168823,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,4,0
main/java/org/apache/maven/plugin/assembly/AssemblyMojo.java,org.apache.maven.plugin.assembly.AssemblyMojo,9,9,0,0,0,0,30,1,11,1,0,9,4,3,0,3,1,1,0,0,10,1,3,0,0,1,0.272727272727273,0,0,0,undef,1.0,undefined,undefined,0,undefined,0,0,1,1,0,undef,1.0,1,0.0,0.0,undef,undefined,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,49,0
main/java/org/apache/maven/plugin/assembly/AttachedAssemblyMojo.java,org.apache.maven.plugin.assembly.AttachedAssemblyMojo,8,8,0,0,0,0,29,0,11,1,0,8,3,3,0,3,1,1,0,0,10,1,3,0,0,1,0.272727272727273,0,0,0,undef,1.0,undefined,undefined,0,undefined,0,0,1,1,undefined,undef,1.0,undefined,0.0,0.0,undef,undefined,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
main/java/org/apache/maven/plugin/assembly/ComponentsXmlArchiverFileFilter.java,org.apache.maven.plugin.assembly.ComponentsXmlArchiverFileFilter,67,67,0,0,0,0,2,2,2,2,2,67,40,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.5,1.0,1,1,0,1,0,0,1,1,0.5,0,1.0,0.75,1.0,1.0,0,1,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,0,2,0
main/java/org/apache/maven/plugin/assembly/DirectoryInlineMojo.java,org.apache.maven.plugin.assembly.DirectoryInlineMojo,8,8,0,0,0,0,29,0,11,1,0,8,3,4,0,4,1,1,0,0,10,1,4,0,0,1,0.363636363636364,0,0,0,undef,1.0,undefined,undefined,0,undefined,0,0,1,1,undefined,undef,1.0,undefined,0.0,0.0,undef,undefined,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
main/java/org/apache/maven/plugin/assembly/DirectoryMojo.java,org.apache.maven.plugin.assembly.DirectoryMojo,9,9,0,0,0,0,30,1,11,1,0,9,4,4,0,4,1,1,0,0,10,1,4,0,0,1,0.363636363636364,0,0,0,undef,1.0,undefined,undefined,0,undefined,0,0,1,1,0,undef,1.0,1,0.0,0.0,undef,undefined,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,48,0
main/java/org/apache/maven/plugin/assembly/SingleAssemblyMojo.java,org.apache.maven.plugin.assembly.SingleAssemblyMojo,8,8,0,0,0,0,29,0,11,1,0,8,3,3,0,3,1,1,0,0,10,1,3,0,0,1,0.272727272727273,0,0,0,undef,1.0,undefined,undefined,0,undefined,0,0,1,1,undefined,undef,1.0,undefined,0.0,0.0,undef,undefined,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
main/java/org/apache/maven/plugin/assembly/UnpackMojo.java,org.apache.maven.plugin.assembly.UnpackMojo,40,40,0,0,0,0,10,0,5,2,1,39,20,2,0,2,1,1,0,1,3,1,2,0,0,1,0.4,0,0,0,0.5,0.0,1,1,0,1,1,1,2,2,undefined,0,0.0,undefined,0.0,0.0,0,1,0,0,2,0.0,0,0,0,0,0,0,0,0,6,0,0,0,6,2,0,0,0,1,1,3,0,6,0
main/java/org/apache/maven/plugin/assembly/filter/AssemblyExcludesArtifactFilter.java,org.apache.maven.plugin.assembly.filter.AssemblyExcludesArtifactFilter,12,12,0,0,0,0,1,0,3,2,2,12,5,1,0,1,1,1,0,1,1,1,1,0,0,1,0.33333333333333304,0,0,0,0.5,0.0,1,1,0,1,1,1,2,2,undefined,0,0.0,undefined,0.0,0.0,0,1,0,0,2,0.0,0,0,0,0,0,0,0,0,4,0,0,0,4,2,0,0,0,0,1,3,0,4,0
