relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
archiva-modules/archiva-base/archiva-consumers/archiva-consumer-archetype/src/main/resources/archetype-resources/src/main/java/SimpleArtifactConsumer.java,$package.SimpleArtifactConsumer,103,103,0,0,0,0,9,8,23,17,16,103,54,1,0,1,1,1,0,16,6,1,1,0,0,1,0.0434782608695652,0,0,0,0.134453781512605,0.075,0.2,0.2,2,0.2,113,90,9,8,0.890625,0.760504201680672,0.183823529411765,0.161764705882353,0.375,0.375,-0.823529411764706,0.2,0,0,1,0.0,5,7,0,0,0,0,0,0,10,0,0,0,1,9,9,1,7,0,15,4,8,27,0
archiva-modules/archiva-base/archiva-repository-admin/archiva-repository-admin-api/src/main/java/org/apache/archiva/admin/model/AbstractRepositoryConnector.java,org.apache.archiva.admin.model.AbstractRepositoryConnector,208,208,0,0,0,0,10,10,30,30,21,208,118,0,1,0,1,0,1,30,0,0,0,1,1,0,0.0,0,0,0,0.1,0.041871921182266,0.181609195402299,1,18,1,400,365,12,1,0.931034482758621,0.836781609195402,0.105747126436782,0.1,1,0.206896551724138,2.44249065417534e-15,0.181609195402299,0,0,0,1293.82046529196,1,9,0,0,1,0,0,0,10,0,0,0,0,6,10,0,9,0,30,164,6,33,0
archiva-modules/archiva-base/archiva-repository-admin/archiva-repository-admin-api/src/main/java/org/apache/archiva/admin/model/AuditInformation.java,org.apache.archiva.admin.model.AuditInformation,36,36,0,0,0,0,2,2,6,6,4,36,21,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0,0,0.333333333333333,0.6,0.6,1,0,1,4,0,1,1,0.4,0.466666666666667,0.733333333333333,0.666666666666667,1,0.6,-1,0.6,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,92,7,11,0,6,0
archiva-modules/archiva-base/archiva-repository-admin/archiva-repository-admin-api/src/main/java/org/apache/archiva/admin/model/RepositoryAdminException.java,org.apache.archiva.admin.model.RepositoryAdminException,31,31,0,0,0,0,1,1,6,6,9,31,16,1,0,1,0,0,0,6,0,0,1,0,0,1,0.0,0,0,0,0.583333333333333,0.2,1,1,0,1,9,3,3,2,0.4,0.566666666666667,0.466666666666667,0.666666666666667,0.6,0.2,-0.333333333333333,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,113,10,45,0,6,0
archiva-modules/archiva-base/archiva-repository-admin/archiva-repository-admin-api/src/main/java/org/apache/archiva/admin/model/beans/AbstractRepository.java,org.apache.archiva.admin.model.beans.AbstractRepository,92,92,0,0,0,0,5,5,15,15,9,92,54,0,1,0,2,0,2,15,0,0,0,2,2,0,0.0,0,0,0,0.233333333333333,0.142857142857143,0.282051282051282,1,4,1,79,53,3,2,0.8,0.676190476190476,0.257142857142857,0.253333333333333,0.928571428571429,0.428571428571429,1,0.282051282051282,0,0,0,1282.56743482273,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,3,14,457,0,15,0
archiva-modules/archiva-base/archiva-repository-admin/archiva-repository-admin-api/src/main/java/org/apache/archiva/admin/model/beans/FileType.java,org.apache.archiva.admin.model.beans.FileType,75,75,0,0,0,0,2,2,11,11,7,75,39,0,0,0,0,0,0,11,0,0,0,0,0,0,0.0,0,0,0,0.212121212121212,0.266666666666667,0.555555555555556,1,2,1,35,15,4,2,0.6,0.660606060606061,0.4,0.454545454545455,0.9,0.7,-0.199999999999999,0.555555555555556,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,9,18,0,11,0
archiva-modules/archiva-base/archiva-repository-admin/archiva-repository-admin-api/src/main/java/org/apache/archiva/admin/model/beans/LegacyArtifactPath.java,org.apache.archiva.admin.model.beans.LegacyArtifactPath,122,122,0,0,0,0,7,7,18,18,9,122,72,0,0,0,0,0,0,18,0,0,0,0,0,0,0.0,0,0,0,0.222222222222222,0.205882352941176,0.323809523809524,1,4,1,110,67,2,2,0.823529411764706,0.69281045751634,0.294117647058824,0.222222222222222,0.941176470588235,0.705882352941177,1,0.323809523809524,0,0,0,0.0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,9,16,22,0,18,0
archiva-modules/archiva-base/archiva-repository-admin/archiva-repository-admin-api/src/main/java/org/apache/archiva/admin/model/beans/ManagedRepository.java,org.apache.archiva.admin.model.beans.ManagedRepository,175,175,0,0,0,0,18,13,44,30,43,174,103,1,0,1,1,1,0,29,14,1,1,0,0,1,0.0227272727272727,0,0,0,0.158333333333333,0.0788177339901478,0.111111111111111,1,4,1,377,319,3,2,0.907161803713528,0.748850574712644,0.140229885057471,0.123076923076923,0.96551724137931,0.413793103448276,-0.499999999999999,0.111111111111111,0,0,4,0.0,0,3,0,0,0,0,0,0,9,0,0,0,9,4,0,26,2,121,17,380,0,45,0
archiva-modules/archiva-base/archiva-repository-admin/archiva-repository-admin-api/src/main/java/org/apache/archiva/admin/model/beans/NetworkConfiguration.java,org.apache.archiva.admin.model.beans.NetworkConfiguration,51,51,0,0,0,0,3,3,9,9,6,51,29,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0,0,0,0,0.277777777777778,0.285714285714286,0.428571428571429,1,0,1,20,4,2,2,0.625,0.555555555555556,0.444444444444444,0.444444444444444,0.875,0.5,-1,0.428571428571429,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,1,3,0,9,0
archiva-modules/archiva-base/archiva-repository-admin/archiva-repository-admin-api/src/main/java/org/apache/archiva/admin/model/beans/NetworkProxy.java,org.apache.archiva.admin.model.beans.NetworkProxy,119,119,0,0,0,0,7,7,19,19,14,119,69,0,0,0,0,0,0,19,0,0,0,0,0,0,0.0,0,0,0,0.131578947368421,0.163398692810458,0.205882352941176,1,0,1,128,85,2,2,0.825396825396825,0.783625730994152,0.251461988304094,0.218045112781955,0.944444444444444,0.5,0.230769230769232,0.205882352941176,0,0,0,0.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,20,16,116,0,19,0
