relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
axis2/src/main/java/org/apache/ode/axis2/BindingContextImpl.java,org.apache.ode.axis2.BindingContextImpl,30,30,0,0,0,0,2,2,4,4,9,30,18,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0.375,1,1,1,0,1,0,0,1,1,0.166666666666667,0.472222222222222,1,0.875,1,1,-0.333333333333333,1,0,0,0,0.0,8,1,0,0,0,0,0,0,18,0,0,0,0,6,18,0,1,0,8,1,6,45,1
axis2/src/main/java/org/apache/ode/axis2/EndpointReferenceContextImpl.java,org.apache.ode.axis2.EndpointReferenceContextImpl,14,14,0,0,0,0,1,1,3,3,4,14,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.444444444444444,-2,0,0,0,0,3,3,3,3,1,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0,0.0,4,1,0,0,0,0,0,0,9,0,0,0,0,3,9,0,1,0,4,1,3,10,0
axis2/src/main/java/org/apache/ode/axis2/ExternalService.java,org.apache.ode.axis2.ExternalService,219,219,0,0,0,0,10,10,10,10,24,219,152,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0,0,0,0.14375,0.361111111111111,0.4,0.666666666666667,9,0.666666666666667,23,1,2,2,0.766666666666667,0.7375,0.488888888888889,0.31,0.888888888888889,0.888888888888889,-0.80952380952381,0.4,0,0,0,0.0,14,7,0,0,0,0,0,0,43,0,0,0,0,15,43,0,7,2,20,3,15,78,2
axis2/src/main/java/org/apache/ode/axis2/MessageExchangeContextImpl.java,org.apache.ode.axis2.MessageExchangeContextImpl,19,19,0,0,0,0,2,2,3,3,3,19,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.333333333333333,-1,1,1,0,1,2,1,2,2,0.75,0.333333333333333,0.333333333333333,0.5,0.5,0,0,1,0,0,0,0.0,7,2,0,0,0,0,0,0,3,0,0,0,0,1,3,0,2,0,1,1,1,42,0
axis2/src/main/java/org/apache/ode/axis2/Messages.java,org.apache.ode.axis2.Messages,161,161,0,0,0,0,0,0,54,46,58,161,110,2,0,2,0,0,0,46,8,0,2,0,0,1,0.0,0,0,0,0.340579710144928,-0.0454545454545455,0,0,0,0,1035,1035,46,46,undefined,0.637037037037037,0,undefined,0,0,-0.537984496124031,0,0,0,38,0.0,0,0,0,0,0,0,0,0,114,0,0,0,114,38,0,2,0,0,104,37,0,54,0
axis2/src/main/java/org/apache/ode/axis2/ODEConfigProperties.java,org.apache.ode.axis2.ODEConfigProperties,7,7,0,0,0,0,30,2,28,1,1,7,5,1,0,1,0,0,0,1,27,0,1,0,0,1,0.0,0,0,0,1,1,undefined,undefined,0,undefined,0,0,1,1,0,1,1,0.5,0,0,1,undefined,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,30,1
axis2/src/main/java/org/apache/ode/axis2/ODEServer.java,org.apache.ode.axis2.ODEServer,348,348,0,0,0,0,17,17,20,20,35,348,262,0,0,0,0,0,0,20,0,0,0,0,0,0,0.0,0,0,0,0.122727272727273,0.538011695906433,0.488888888888889,1,15,1,80,0,1,1,0.808049535603715,0.802392344497608,0.58421052631579,0.232352941176471,1,0.842105263157895,-0.495652173913043,0.488888888888889,0,0,0,0.0,30,15,0,0,0,0,0,0,187,0,0,0,0,92,187,4,15,5,43,8,92,217,3
axis2/src/main/java/org/apache/ode/axis2/ODEService.java,org.apache.ode.axis2.ODEService,232,232,0,0,0,0,11,11,11,11,31,232,169,0,0,0,0,0,0,11,0,0,0,0,0,0,0.0,0,0,0,0.153846153846154,0.0888888888888889,0.0952380952380952,0.142857142857143,15,0.142857142857143,45,35,4,1,0.881818181818182,0.731468531468531,0.254545454545455,0.198347107438017,0.7,0.7,-0.722222222222223,0.0952380952380952,0,0,0,0.0,15,8,0,0,0,0,0,0,58,0,0,0,0,25,58,1,8,4,28,8,25,90,1
axis2/src/main/java/org/apache/ode/axis2/OdeFault.java,org.apache.ode.axis2.OdeFault,16,16,0,0,0,0,1,1,3,3,4,16,11,1,0,1,0,0,0,3,0,0,1,0,0,1,0.0,0,0,0,0.666666666666667,-1,undefined,undefined,0,undefined,3,3,3,2,1,0.333333333333333,0.333333333333333,0.333333333333333,0,0,-1,undefined,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,41,0,3,0
axis2/src/main/java/org/apache/ode/axis2/deploy/DeploymentPoller.java,org.apache.ode.axis2.deploy.DeploymentPoller,129,129,0,0,0,0,8,8,8,8,8,129,90,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.21875,0.142857142857143,0.266666666666667,0.466666666666667,0,0.466666666666667,18,8,2,2,0.875,0.633928571428571,0.357142857142857,0.234375,0.714285714285714,0.428571428571429,-0.333333333333336,0.266666666666667,0,0,0,0.0,3,6,0,0,0,0,0,0,14,0,0,0,0,7,14,2,6,1,8,3,7,255,0
