relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
distributions/apache-servicemix/src/main/release/examples/loan-broker/src/client/JMSClient.java,JMSClient,51,51,0,0,0,0,3,3,2,2,2,51,39,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.5,1,1,1,2,1,0,0,1,1,0.333333333333333,0,1,0.833333333333333,1,1,0,1,0,0,0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,2,0
core/servicemix-jbi/src/main/java/javax/jbi/JBIException.java,javax.jbi.JBIException,15,15,0,0,0,0,0,0,3,3,4,15,7,1,2,1,0,0,0,3,0,0,1,6,21,1,0.0,0,0,0,0.666666666666667,-2,undefined,undefined,0,undefined,3,3,3,3,undefined,0.333333333333333,0,undefined,0,0,-1,undefined,0,0,0,1180.53644793968,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,92,4,135,0,3,0
core/servicemix-jbi/src/main/java/javax/jbi/management/DeploymentException.java,javax.jbi.management.DeploymentException,15,15,0,0,0,0,0,0,6,3,4,15,7,2,0,2,0,0,0,3,3,0,2,0,0,1,0.0,0,0,0,0.666666666666667,-2,undefined,undefined,0,undefined,3,3,3,3,undefined,0.333333333333333,0,undefined,0,0,-1,undefined,0,0,3,0.0,0,0,0,0,0,0,0,0,7,0,0,0,7,3,0,0,0,25,4,51,0,6,0
core/servicemix-jbi/src/main/java/javax/jbi/messaging/ExchangeStatus.java,javax.jbi.messaging.ExchangeStatus,40,40,0,0,0,0,4,4,4,4,2,40,21,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0.5,0.333333333333333,1,1,3,1,3,0,2,1,0.833333333333333,0.333333333333333,0.666666666666667,0.375,1,1,0,1,0,0,0,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,3,26,0,4,0
core/servicemix-jbi/src/main/java/javax/jbi/messaging/MessagingException.java,javax.jbi.messaging.MessagingException,15,15,0,0,0,0,0,0,6,3,4,15,7,2,1,2,0,0,0,3,3,0,2,12,12,1,0.0,0,0,0,0.666666666666667,-2,undefined,undefined,0,undefined,3,3,3,3,undefined,0.333333333333333,0,undefined,0,0,-1,undefined,0,0,3,674.592255965533,0,0,0,0,12,0,0,0,7,0,0,0,7,3,0,0,0,24,4,63,0,6,0
distributions/apache-servicemix/src/main/release/examples/loan-broker/src/components/loanbroker/CreditAgency.java,loanbroker.CreditAgency,11,11,0,0,0,0,18,1,70,1,3,11,9,4,0,4,1,1,0,0,69,1,4,0,0,1,0.0571428571428571,0,0,0,1,1,undefined,undefined,0,undefined,0,0,1,1,0,1,1,1,0,0,1,undefined,0,0,0,0.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,97,0
distributions/apache-servicemix/src/main/release/examples/loan-broker/src/components/loanbroker/LenderGateway.java,loanbroker.LenderGateway,22,22,0,0,0,0,18,1,70,1,3,22,15,4,0,4,1,1,0,0,69,1,4,0,0,1,0.0571428571428571,0,0,0,1,1,undefined,undefined,0,undefined,0,0,1,1,0,1,1,1,0,0,1,undefined,0,0,0,0.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,97,0
distributions/apache-servicemix/src/main/release/examples/loan-broker/src/components/loanbroker/LoanBroker.java,loanbroker.LoanBroker,125,125,0,0,0,0,17,2,70,9,11,125,106,3,0,3,0,0,0,9,61,0,3,0,0,1,0.0,0,0,0,0.611111111111111,0.321428571428571,1,1,38,1,30,24,6,2,0.625,0.638888888888889,0.472222222222222,0.444444444444444,0.5,0,-3.33066907387547e-16,1,0,0,11,0.0,10,2,0,0,0,0,0,0,29,0,0,0,29,11,0,0,2,0,3,0,0,92,0
core/servicemix-core/src/main/java/org/apache/servicemix/Main.java,org.apache.servicemix.Main,43,43,0,0,0,0,0,0,1,1,2,43,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,1,1,1,1,0,1,0,0,1,1,undefined,1,1,undefined,0,0,1,1,0,0,0,0.0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,2,0,1,2,0
deployables/serviceengines/servicemix-bean/src/main/java/org/apache/servicemix/bean/BeanComponent.java,org.apache.servicemix.bean.BeanComponent,61,61,0,0,0,0,21,3,58,10,5,61,42,3,0,3,3,3,0,7,48,3,3,0,0,1,0.155172413793103,1,1,0,0.1,-0.0833333333333333,0.142857142857143,0.142857142857143,1,0.142857142857143,40,35,6,5,0.851851851851852,0.8,0.133333333333333,0.233333333333333,0.444444444444444,0.222222222222222,0,0.142857142857143,0,0,2,0.0,7,3,0,0,0,0,0,0,25,0,0,0,4,13,21,1,3,2,7,4,11,147,0
