relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
surefire-api/src/main/java/org/apache/maven/surefire/Surefire.java,org.apache.maven.surefire.Surefire,185,185,0,0,0,0,2,2,9,9,37,185,90,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0,0,0,0,0.355555555555556,0.0357142857142857,0.3,0.3,40,0,36,36,9,2,1.0625,0.655555555555556,0.25,0.0555555555555556,0,0,0.0526315789473681,0,0,0,0,0.0,5,2,0,0,0,0,0,0,43,0,0,0,0,21,43,0,2,0,33,1,21,20,2
surefire-api/src/main/java/org/apache/maven/surefire/assertion/SurefireAssert.java,org.apache.maven.surefire.assertion.SurefireAssert,238,238,0,0,0,0,0,0,41,41,90,238,114,0,0,0,0,0,0,41,0,0,0,0,0,0,0.0,0,0,0,0.12860310421286,-0.00769230769230769,0.567567567567568,0.567567567567568,47,0,820,820,41,7,undefined,0.821286031042129,0.0414634146341463,undefined,0,0,-0.366528354080221,0,0,0,0,0.0,2,0,0,0,0,0,0,0,12,0,0,0,0,5,12,0,0,0,29,2,5,49,0
surefire-api/src/main/java/org/apache/maven/surefire/assertion/SurefireAssertionFailedException.java,org.apache.maven.surefire.assertion.SurefireAssertionFailedException,19,19,0,0,0,0,1,0,14,4,4,18,8,2,1,2,0,0,0,4,10,0,2,1,1,1,0.0,0,0,0,0.5,-1,undefined,undefined,0,undefined,6,6,4,4,undefined,0.333333333333333,0,undefined,0,0,-1,undefined,0,0,3,61.549354663794404,0,0,0,0,1,0,0,0,7,0,0,0,7,3,0,0,0,0,4,4,0,14,0
surefire-api/src/main/java/org/apache/maven/surefire/assertion/SurefireComparisonFailureException.java,org.apache.maven.surefire.assertion.SurefireComparisonFailureException,68,68,0,0,0,0,3,2,15,2,3,68,39,3,0,3,1,1,0,1,13,1,3,0,0,1,0.2,0,0,0,0.5,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,3,0.0,1,2,0,0,0,0,0,0,12,0,0,0,4,5,8,0,2,0,3,1,2,17,0
surefire-booter/src/main/java/org/apache/maven/surefire/booter/Commandline.java,org.apache.maven.surefire.booter.Commandline,54,54,0,0,0,0,1,1,5,5,1,54,24,1,0,1,0,0,0,5,0,0,1,0,0,1,0.0,0,0,0,0.2,0,1,1,7,1,9,8,4,1,0.75,0.6,0.4,0.4,1,0.5,0,1,0,0,0,0.0,3,1,0,0,0,0,0,0,5,0,0,0,0,3,5,0,1,1,3,1,3,13,0
surefire-booter/src/main/java/org/apache/maven/surefire/booter/ForkConfiguration.java,org.apache.maven.surefire.booter.ForkConfiguration,101,101,0,0,0,0,10,10,12,12,8,101,57,0,0,0,0,0,0,12,0,0,0,0,0,0,0.0,0,0,0,0.111111111111111,-0.0363636363636364,0.136363636363636,0.227272727272727,0,0.227272727272727,57,48,4,4,0.918181818181818,0.792929292929293,0.136363636363636,0.158333333333333,0.363636363636364,0.181818181818182,1,0.136363636363636,0,0,0,0.0,2,9,0,0,0,0,0,0,1,0,0,0,0,1,1,1,9,1,10,7,1,19,1
surefire-booter/src/main/java/org/apache/maven/surefire/booter/ForkingWriterStreamConsumer.java,org.apache.maven.surefire.booter.ForkingWriterStreamConsumer,45,45,0,0,0,0,6,6,2,2,4,45,25,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.5,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,1
surefire-booter/src/main/java/org/apache/maven/surefire/booter/IsolatedClassLoader.java,org.apache.maven.surefire.booter.IsolatedClassLoader,63,63,0,0,0,0,4,4,5,5,6,63,31,1,0,1,0,0,0,5,0,0,1,0,0,1,0.0,0,0,0,0.24,0,0,0,0,0,6,2,2,2,0.8125,0.56,0.4,0.35,0.75,0.25,0,0,0,0,0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,2,0,5,0
surefire-booter/src/main/java/org/apache/maven/surefire/booter/SurefireBooter.java,org.apache.maven.surefire.booter.SurefireBooter,576,576,0,0,0,0,10,10,29,29,70,576,313,0,0,0,0,0,0,29,0,0,0,0,0,0,0.0,0,0,0,0.105172413793103,0.105820105820106,0.4,1,118,1,369,332,15,1,0.917857142857143,0.827832512315271,0.167487684729064,0.113793103448276,0.714285714285714,0.321428571428571,-0.576036866359446,0.4,0,0,0,0.0,10,7,0,0,0,0,0,0,81,0,0,0,0,31,81,0,7,0,61,0,31,51,5
surefire-booter/src/main/java/org/apache/maven/surefire/booter/SurefireBooterForkException.java,org.apache.maven.surefire.booter.SurefireBooterForkException,16,16,0,0,0,0,1,0,12,3,4,16,7,2,0,2,0,0,0,3,9,0,2,0,0,1,0.0,0,0,0,0.666666666666667,-2,undefined,undefined,0,undefined,3,3,3,3,undefined,0.333333333333333,0,undefined,0,0,-1,undefined,0,0,3,0.0,0,0,0,0,0,0,0,0,7,0,0,0,7,3,0,0,0,0,4,11,0,12,0
surefire-booter/src/main/java/org/apache/maven/surefire/booter/SurefireExecutionException.java,org.apache.maven.surefire.booter.SurefireExecutionException,8,8,0,0,0,0,1,0,10,1,2,8,3,2,0,2,0,0,0,1,9,0,2,0,0,1,0.0,0,0,0,1,1,undefined,undefined,0,undefined,0,0,1,1,undefined,1,1,undefined,0,0,1,undefined,0,0,1,0.0,0,0,0,0,0,0,0,0,3,0,0,0,3,1,0,0,0,0,2,4,0,10,0
surefire-booter/src/main/java/org/apache/maven/surefire/booter/shell/CmdShell.java,org.apache.maven.surefire.booter.shell.CmdShell,17,17,0,0,0,0,2,0,8,2,2,17,10,1,0,1,0,0,0,2,6,0,1,0,0,1,0.0,1,1,0,0.5,0,1,1,0,1,1,1,2,2,undefined,0,0,undefined,0,0,0,1,0,0,3,0.0,0,0,0,0,0,0,0,0,8,0,0,0,8,3,0,0,0,0,3,1,0,8,0
surefire-booter/src/main/java/org/apache/maven/surefire/booter/shell/CommandShell.java,org.apache.maven.surefire.booter.shell.CommandShell,9,9,0,0,0,0,2,0,7,1,0,9,4,1,0,1,0,0,0,1,6,0,1,0,0,1,0.0,0,0,0,undef,1,undefined,undefined,0,undefined,0,0,1,1,undefined,undef,1,undefined,0,0,undef,undefined,0,0,2,0.0,0,0,0,0,0,0,0,0,4,0,0,0,4,2,0,0,0,0,0,1,0,7,0
surefire-booter/src/main/java/org/apache/maven/surefire/booter/shell/Shell.java,org.apache.maven.surefire.booter.shell.Shell,58,58,0,0,0,0,2,2,6,6,7,58,33,0,1,0,0,0,0,6,0,0,0,2,2,0,0.0,1,0,1,0.388888888888889,0,0.4,0.666666666666667,8,0.666666666666667,13,11,4,1,0.8,0.488888888888889,0.333333333333333,0.333333333333333,0.8,0.4,-0.6,0.4,0,0,0,491.768454648589,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,1,2,2,11,1,0,6,0
surefire-providers/surefire-junit/src/main/java/org/apache/maven/surefire/junit/JUnitStackTraceWriter.java,org.apache.maven.surefire.junit.JUnitStackTraceWriter,8,8,0,0,0,0,3,0,5,1,3,8,3,1,0,1,0,0,0,1,4,0,1,0,0,1,0.0,0,0,0,1,1,undefined,undefined,0,undefined,0,0,1,1,undefined,1,1,undefined,0,0,1,undefined,0,0,1,0.0,0,0,0,0,0,0,0,0,4,0,0,0,4,1,0,0,0,1,3,1,0,5,0
surefire-api/src/main/java/org/apache/maven/surefire/report/AbstractConsoleReporter.java,org.apache.maven.surefire.report.AbstractConsoleReporter,50,50,0,0,0,0,18,1,31,7,9,50,29,2,2,2,6,5,1,3,24,4,2,3,4,1,0.258064516129032,0,0,0,0.321428571428571,-0.2,0.1,0.1,14,0,21,21,7,4,1,0.571428571428571,0.142857142857143,0.142857142857143,0,0,-0.333333333333334,0,0,0,4,1580.2457256686498,2,0,0,0,4,0,0,0,18,0,0,0,10,12,8,0,0,0,5,0,8,44,1
surefire-api/src/main/java/org/apache/maven/surefire/report/AbstractFileReporter.java,org.apache.maven.surefire.report.AbstractFileReporter,38,38,0,0,0,0,18,1,30,3,6,38,22,2,1,2,2,2,0,2,27,1,2,2,2,1,0.0666666666666667,2,2,0,0.4,-1,0,0,0,0,2,1,2,2,0.5,0.333333333333333,0.333333333333333,0.666666666666667,0.5,0.5,0,0,0,0,4,411.953791118151,2,1,0,0,2,0,0,0,14,0,0,0,9,7,5,0,1,0,5,0,3,42,0
surefire-api/src/main/java/org/apache/maven/surefire/report/AbstractReporter.java,org.apache.maven.surefire.report.AbstractReporter,107,107,0,0,0,0,11,11,22,22,18,107,57,0,4,0,28,0,28,22,0,0,0,3,11,0,0.0,4,0,4,0.145454545454545,-0.019047619047619,0.137254901960784,0.235294117647059,4,0.235294117647059,218,205,13,12,0.965367965367965,0.792207792207792,0.0735930735930736,0.0785123966942149,0.428571428571429,0.19047619047619,0.249999999999999,0.137254901960784,0,0,0,3668.8071243697495,3,2,0,0,24,0,0,0,2,0,0,0,0,2,2,0,2,0,18,0,2,23,1
surefire-api/src/main/java/org/apache/maven/surefire/report/AbstractTextReporter.java,org.apache.maven.surefire.report.AbstractTextReporter,116,116,0,0,0,0,17,6,28,13,20,116,74,1,3,1,9,6,3,7,15,6,1,2,8,1,0.214285714285714,1,0,1,0.346153846153846,0.287878787878788,0.642857142857143,1,15,1,53,28,4,1,0.833333333333333,0.596153846153846,0.397435897435897,0.230769230769231,0.75,0.416666666666667,-0.469387755102041,0.642857142857143,0,0,11,6454.109039978921,2,6,0,0,9,0,0,0,28,0,0,0,26,13,2,0,6,0,13,0,2,37,0
