relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
jdk-1.4/wicket/src/main/java/org/apache/wicket/AbortException.java,org.apache.wicket.AbortException,8,8,0,0,0,0,1,1,1,1,0,8,4,1,2,1,0,0,0,1,0,0,1,1,9,1,0.0,0,0,0,undef,1,1,1,0,1,0,0,1,1,0,undef,1,0,0,0,undef,1,0,0,0,73.3611214619507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0
jdk-1.4/wicket/src/main/java/org/apache/wicket/AbstractRestartResponseException.java,org.apache.wicket.AbstractRestartResponseException,11,11,0,0,0,0,1,0,2,1,0,11,5,2,1,2,0,0,0,1,1,0,2,8,8,1,0.0,0,0,0,undef,1,undefined,undefined,0,undefined,0,0,1,1,undefined,undef,1,undefined,0,0,undef,undefined,0,0,0,270.877747962191,2,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,6,0,0,3,5,0
jdk-1.4/wicket/src/main/java/org/apache/wicket/AccessStackPageMap.java,org.apache.wicket.AccessStackPageMap,218,218,0,0,0,0,9,3,34,14,11,218,122,1,0,1,4,4,0,10,20,4,1,0,0,1,0.11764705882352902,0,0,0,0.160714285714286,0.358974358974359,1,1,14,1,54,17,5,2,0.794871794871795,0.728021978021978,0.450549450549451,0.261904761904762,0.846153846153846,0,-0.33333333333333,1,0,0,15,0.0,8,2,0,0,0,0,0,0,54,0,0,0,22,37,32,0,2,0,4,8,22,128,1
jdk-1.4/wicket/src/main/java/org/apache/wicket/Application.java,org.apache.wicket.Application,497,497,0,0,0,0,20,20,63,63,29,497,276,0,3,0,120,0,120,63,0,0,0,1,64,0,0.0,6,0,6,0.0306878306878307,0.00317292437863564,0.103607770582794,0.103607770582794,48,0.103607770582794,1920,1887,41,16,0.983064516129032,0.939784946236559,0.0348182283666155,0.0325396825396825,0.5,0.451612903225806,-0.93406593406591,0.103607770582794,0,0,0,137672.26639560598,53,15,0,0,54,0,0,0,31,0,0,0,0,15,31,17,15,52,27,432,15,90,1
jdk-1.4/wicket/src/main/java/org/apache/wicket/AttributeModifier.java,org.apache.wicket.AttributeModifier,140,140,0,0,0,0,8,8,31,18,23,140,72,1,1,1,10,3,7,15,13,3,1,7,7,1,0.0967741935483871,3,1,2,0.185185185185185,0.147058823529412,0.577777777777778,1,19,1,124,95,7,1,0.889705882352941,0.694989106753813,0.241830065359477,0.159722222222222,0.882352941176471,0.647058823529412,-0.851851851851851,0.577777777777778,0,0,0,4802.14284481145,7,4,0,0,8,0,0,0,2,0,0,0,0,2,2,0,4,0,16,47,2,36,0
jdk-1.4/wicket/src/main/java/org/apache/wicket/Component.java,org.apache.wicket.Component,1686,1686,0,0,0,0,46,46,166,166,103,1688,870,0,10,0,253,0,253,166,0,0,0,4,1082,0,0.0,27,0,27,0.0209804736186124,0.0156688839615669,0.317079889807163,0.737741046831956,387,0.457438016528926,13528,13361,105,16,0.992490118577075,0.959771373896841,0.0275282949981745,0.0134887375589314,0.672727272727273,0.454545454545455,-0.827931172468976,0.290495867768595,0,0,0,6799007.69042414,57,12,8,84,981,0,0,0,295,0,0,0,0,185,295,16,11,157,94,319,166,523,7
jdk-1.4/wicket/src/main/java/org/apache/wicket/Initializer.java,org.apache.wicket.Initializer,16,16,0,0,0,0,0,0,2,2,1,16,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.5,0,0,0,0,0,1,1,2,2,undefined,0,0,undefined,0,0,0,0,0,0,0,0.0,8,0,0,0,0,0,0,0,6,0,0,0,0,6,6,0,0,0,2,0,6,8,1
jdk-1.4/wicket/src/main/java/org/apache/wicket/Localizer.java,org.apache.wicket.Localizer,131,131,0,0,0,0,2,2,11,11,26,130,62,0,0,0,0,0,0,11,0,0,0,0,0,0,0.0,0,0,0,0.477272727272727,0.0222222222222222,0.666666666666667,0.666666666666667,12,0.666666666666667,49,43,8,3,0.85,0.618181818181818,0.2,0.227272727272727,0.6,0.6,-0.0526315789473688,0.666666666666667,0,0,0,0.0,8,2,0,0,0,0,0,0,17,0,0,0,0,11,17,3,2,5,30,36,11,40,1
jdk-1.4/wicket/src/main/java/org/apache/wicket/MarkupContainer.java,org.apache.wicket.MarkupContainer,933,933,0,0,0,0,50,4,204,52,47,933,480,1,9,1,65,12,53,40,152,12,1,3,1047,1,0.0588235294117647,13,3,10,0.0680473372781065,0.0352941176470588,0.462365591397849,0.546236559139785,104,0.496774193548387,1283,1240,40,8,0.946078431372549,0.881424759252813,0.0723981900452489,0.0721153846153846,0.745098039215686,0.725490196078431,-0.636726546906189,0.458064516129032,0,22,91,4636088.84874961,20,2,2,28,1231,0,0,0,211,0,0,0,139,138,72,2,2,39,22,257,45,557,3
jdk-1.4/wicket/src/main/java/org/apache/wicket/MarkupFragmentFinder.java,org.apache.wicket.MarkupFragmentFinder,73,73,0,0,0,0,0,0,3,3,4,73,35,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.444444444444444,-1,1,1,3,1,3,3,3,2,undefined,0.333333333333333,0.333333333333333,undefined,0,0,0,1,0,0,0,0.0,8,0,0,0,0,0,0,0,26,0,0,0,0,17,26,0,0,0,6,8,17,63,0
jdk-1.4/wicket/src/main/java/org/apache/wicket/MetaDataEntry.java,org.apache.wicket.MetaDataEntry,16,16,0,0,0,0,3,3,2,2,2,15,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.5,1,1,1,0,1,0,0,1,1,0.666666666666667,0,1,0.666666666666667,1,1,0,1,0,0,0,0.0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,1,5,2,3,3,1,1,3,0
