relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
contrib/bookkeeper/benchmark/org/apache/bookkeeper/benchmark/MySqlClient.java,org.apache.bookkeeper.benchmark.MySqlClient,75,75,0,0,0,0,11,11,5,5,12,74,59,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0,0.25,0.666666666666667,0.666666666666667,1,12,1,6,2,2,1,0.977272727272727,0.55,0.8,0.218181818181818,1,1,-1,0.666666666666667,0,0,0,0.0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,5,0
contrib/bookkeeper/src/java/org/apache/bookkeeper/bookie/Bookie.java,org.apache.bookkeeper.bookie.Bookie,414,414,0,0,0,0,14,14,13,13,26,414,313,1,0,1,0,0,0,13,0,0,1,0,0,1,0.0,0,0,0,0.137362637362637,0.303030303030303,0.9,1,46,1,58,38,3,1,0.922619047619048,0.758241758241758,0.41025641025641,0.148351648351648,0.916666666666667,0.833333333333333,-0.745454545454546,0.9,0,0,0,0.0,15,13,0,0,0,0,0,0,64,0,0,0,0,30,64,2,13,0,16,8,30,140,0
contrib/bookkeeper/src/java/org/apache/bookkeeper/bookie/BookieException.java,org.apache.bookkeeper.bookie.BookieException,45,45,0,0,0,0,1,1,5,5,4,44,27,1,1,1,0,0,0,5,0,0,1,2,2,1,0.0,0,0,0,0.8,-0.166666666666667,0.166666666666667,0.166666666666667,0,0.166666666666667,7,4,3,3,0.5,0.6,0.3,0.6,0.5,0.25,0,0.166666666666667,0,0,0,201.990021491633,3,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,1,1,1,0,7,0
contrib/bookkeeper/src/java/org/apache/bookkeeper/bookie/BufferedChannel.java,org.apache.bookkeeper.bookie.BufferedChannel,109,109,0,0,0,0,7,7,5,5,6,109,84,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0,0.24,0.666666666666667,0.666666666666667,1,0,1,2,0,1,1,0.571428571428571,0.56,0.8,0.542857142857143,1,1,0,0.666666666666667,0,0,0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,18,0,5,0
contrib/bookkeeper/src/java/org/apache/bookkeeper/bookie/EntryLogger.java,org.apache.bookkeeper.bookie.EntryLogger,169,169,0,0,0,0,8,8,12,12,18,169,125,0,0,0,0,0,0,12,0,0,0,0,0,0,0.0,0,0,0,0.178571428571429,0.0909090909090909,0.3,0.6,19,0.6,55,44,5,2,0.909090909090909,0.720779220779221,0.242424242424242,0.166666666666667,0.727272727272727,0.727272727272727,-0.333333333333335,0.3,0,0,0,0.0,1,5,0,0,0,0,0,0,24,0,0,0,0,11,24,2,5,1,12,3,11,17,0
contrib/bookkeeper/src/java/org/apache/bookkeeper/bookie/FileInfo.java,org.apache.bookkeeper.bookie.FileInfo,71,71,0,0,0,0,6,6,7,7,6,71,50,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.171428571428571,0.6,0.666666666666667,1,0,1,6,0,1,1,0.694444444444444,0.676190476190476,0.714285714285714,0.404761904761905,1,0.833333333333333,0,0.666666666666667,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,10,0,7,0
contrib/bookkeeper/src/java/org/apache/bookkeeper/bookie/LedgerCache.java,org.apache.bookkeeper.bookie.LedgerCache,365,365,0,0,0,0,11,11,15,15,30,365,269,0,0,0,0,0,0,15,0,0,0,0,0,0,0.0,0,0,0,0.139393939393939,0.142857142857143,0.9,1,59,1,88,71,8,1,0.954545454545454,0.759307359307359,0.257142857142857,0.109090909090909,0.714285714285714,0.428571428571429,-0.723076923076923,0.9,0,0,0,0.0,5,8,0,0,0,0,0,0,53,0,0,0,0,39,53,2,8,1,22,5,39,37,0
contrib/bookkeeper/src/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,org.apache.bookkeeper.bookie.LedgerDescriptor,80,80,0,0,0,0,6,6,9,9,7,80,61,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0,0,0,0,0.194444444444444,-0.0357142857142857,0.178571428571429,0.178571428571429,0,0.178571428571429,29,22,4,4,0.833333333333333,0.666666666666667,0.194444444444444,0.259259259259259,0.25,0.25,-0.33333333333333,0.178571428571429,0,0,0,0.0,6,4,0,0,0,0,0,0,26,0,0,0,0,9,26,0,4,4,6,10,9,57,0
contrib/bookkeeper/src/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,org.apache.bookkeeper.bookie.LedgerEntryPage,120,120,0,0,0,0,10,10,23,23,8,120,88,0,0,0,0,0,0,23,0,0,0,0,0,0,0.0,0,0,0,0.0869565217391304,0.142857142857143,0.372294372294372,0.753246753246753,18,0.753246753246753,212,171,6,2,0.909090909090909,0.837944664031621,0.217391304347826,0.130434782608696,0.863636363636364,0.318181818181818,-0.333333333333321,0.372294372294372,0,0,0,0.0,1,1,0,0,0,0,0,0,3,0,0,0,0,1,3,0,1,5,3,33,1,24,0
contrib/bookkeeper/src/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,org.apache.bookkeeper.bookie.MarkerFileChannel,75,75,0,0,0,0,0,0,17,17,30,75,33,1,0,1,0,0,0,17,0,0,1,0,0,1,0.0,0,0,0,0.169117647058824,-0.133333333333333,0,0,0,0,136,136,17,17,undefined,0.748161764705882,0,undefined,0,0,-0.489795918367346,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,17,0
