relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
tapestry-framework/src/js/dojo-0.4.3/src/storage/java/DojoFileStorageProvider.java,DojoFileStorageProvider,32,32,0,0,0,0,0,0,3,3,4,32,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,1,-2,0,0,0,0,3,3,3,3,undefined,1,0,undefined,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0
tapestry-framework/src/java/org/apache/tapestry/AbstractComponent.java,org.apache.tapestry.AbstractComponent,433,433,0,0,0,0,20,20,64,64,38,433,300,1,6,1,113,0,113,64,0,0,1,44,241,1,0.0,25,0,25,0.037109375,0.0158730158730159,0.0921625544267054,0.284470246734398,40,0.284470246734398,1948,1880,32,13,0.972222222222222,0.931485615079365,0.0466269841269841,0.04296875,0.507936507936508,0.222222222222222,-0.431111111111111,0.0921625544267054,0,0,0,512991.822980215,23,7,0,0,356,0,0,0,33,0,0,0,0,15,33,0,7,1,26,177,15,73,1
tapestry-framework/src/java/org/apache/tapestry/AbstractPage.java,org.apache.tapestry.AbstractPage,282,282,0,0,0,0,34,10,102,41,26,282,181,3,4,3,7,3,4,38,61,3,3,2,97,1,0.0882352941176471,0,0,0,0.0452961672473868,0.0333333333333333,0.290322580645161,0.435483870967742,37,0.435483870967742,770,720,24,9,0.945,0.912020905923345,0.0804878048780488,0.0780487804878049,0.675,0.65,-0.909090909090912,0.290322580645161,0,0,0,110871.653804622,13,5,0,0,26,0,0,0,28,0,0,0,0,12,28,0,5,0,10,1,12,123,0
tapestry-framework/src/java/org/apache/tapestry/ApplicationServlet.java,org.apache.tapestry.ApplicationServlet,121,121,0,0,0,0,7,7,11,11,16,121,72,1,1,1,2,0,2,11,0,0,1,2,2,1,0.0,2,0,2,0.161616161616162,0.111111111111111,1,1,30,1,46,37,6,1,0.914285714285714,0.717171717171717,0.272727272727273,0.168831168831169,0.7,0.7,-0.714285714285715,1,0,0,0,1309.98425204422,4,5,0,0,4,0,0,0,9,0,0,0,0,3,9,1,5,2,19,2,3,26,0
tapestry-framework/src/java/org/apache/tapestry/BaseComponent.java,org.apache.tapestry.BaseComponent,51,51,0,0,0,0,24,4,65,6,8,51,35,2,5,2,16,4,12,2,59,4,2,46,151,1,0.123076923076923,12,0,12,0.266666666666667,-0.1,0.166666666666667,0.166666666666667,3,0.166666666666667,12,9,4,3,0.85,0.573333333333333,0.266666666666667,0.291666666666667,0.4,0.4,-0.333333333333335,0.166666666666667,0,0,3,44847.286966320404,5,1,0,0,13,0,0,0,6,0,0,0,6,3,0,0,1,0,0,0,0,77,0
tapestry-framework/src/java/org/apache/tapestry/BaseSessionStoreOptimized.java,org.apache.tapestry.BaseSessionStoreOptimized,21,21,0,0,0,0,2,2,4,4,2,21,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0.5,0,0.333333333333333,0.333333333333333,0,0.333333333333333,3,0,2,2,0.833333333333333,0.333333333333333,0.5,0.375,0.666666666666667,0.333333333333333,0,0.333333333333333,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,4,0
tapestry-framework/src/java/org/apache/tapestry/BindingException.java,org.apache.tapestry.BindingException,31,31,0,0,0,0,2,2,4,4,10,31,12,1,0,1,0,0,0,4,0,0,1,0,0,1,0.0,0,0,0,0.5,0,1,1,0,1,5,4,3,1,1,0.466666666666667,0.5,0.25,1,0.333333333333333,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,15,0,4,0
tapestry-framework/src/java/org/apache/tapestry/Constants.java,org.apache.tapestry.Constants,4,4,0,0,0,0,1,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,undef,undef,undef,undef,0,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tapestry-framework/src/java/org/apache/tapestry/PageNotFoundException.java,org.apache.tapestry.PageNotFoundException,18,18,0,0,0,0,2,2,3,3,3,18,10,1,0,1,0,0,0,3,0,0,1,0,0,1,0.0,0,0,0,0.666666666666667,0,1,1,0,1,2,1,2,1,1,0.333333333333333,0.666666666666667,0.333333333333333,1,0.5,0,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,3,0,3,0
tapestry-framework/src/java/org/apache/tapestry/PageRedirectException.java,org.apache.tapestry.PageRedirectException,26,26,0,0,0,0,2,2,4,4,6,26,12,1,0,1,0,0,0,4,0,0,1,0,0,1,0.0,0,0,0,0.3125,0,1,1,0,1,5,4,3,1,1,0.458333333333333,0.5,0.25,1,0.333333333333333,0,1,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,10,0,4,0
