relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
java/org/apache/avro/AvroRuntimeException.java,org.apache.avro.AvroRuntimeException,4,4,0,0,0,0,0,0,2,2,2,4,5,1,1,1,0,0,0,2,0,0,1,2,2,1,0.0,0,0,0,0.5,0.0,undefined,undefined,0,undefined,1,1,2,2,undefined,0,0.0,undefined,0.0,0.0,0,undefined,0,0,0,64.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,24,0,2,0
java/org/apache/avro/AvroTypeException.java,org.apache.avro.AvroTypeException,3,3,0,0,0,0,0,0,3,1,1,3,3,2,0,2,0,0,0,1,2,0,2,0,0,1,0.0,0,0,0,1,1.0,undefined,undefined,0,undefined,0,0,1,1,undefined,1,1.0,undefined,0.0,0.0,1,undefined,0,0,1,0.0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,1,32,0,3,0
java/org/apache/avro/Protocol.java,org.apache.avro.Protocol,231,231,0,0,0,0,9,9,22,22,23,231,196,0,0,0,0,0,0,22,0,0,0,0,0,0,0.0,0,0,0,0.0909090909090909,0.133333333333333,0.358974358974359,0.461538461538462,18,0.461538461538462,191,151,10,5,0.920634920634921,0.838961038961039,0.212121212121212,0.121212121212121,0.7142857142857142,0.42857142857142894,-0.37777777777778,0.358974358974359,0,0,0,0.0,7,7,0,0,0,0,0,0,57,0,0,0,0,24,57,6,7,13,29,34,24,52,2
test/java/org/apache/avro/RandomData.java,org.apache.avro.RandomData,99,99,0,0,0,0,3,3,7,7,13,99,81,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.371428571428571,-0.133333333333333,0,0,12,0,21,21,7,3,1,0.561904761904762,0.19047619047619,0.142857142857143,0.33333333333333304,0.0,-0.230769230769231,0,0,0,0,0.0,11,1,0,0,0,0,0,0,25,0,0,0,0,17,25,0,1,0,10,3,17,61,0
java/org/apache/avro/Schema.java,org.apache.avro.Schema,580,580,0,0,0,0,14,14,31,31,31,580,507,0,2,0,40,0,40,31,0,0,0,12,15,0,0.0,0,0,0,0.0602150537634409,-0.0390804597701149,0.0252873563218391,0.0298850574712644,10,0.0206896551724138,459,453,27,21,0.995238095238095,0.886451612903226,0.0279569892473118,0.0368663594470046,0.1,0.1,-0.717948717948719,0.0206896551724138,0,0,0,28986.5461505673,19,14,0,0,0,0,0,0,102,0,0,0,0,45,102,13,6,92,35,260,32,48,5
java/org/apache/avro/SchemaParseException.java,org.apache.avro.SchemaParseException,4,4,0,0,0,0,0,0,4,2,2,4,5,2,0,2,0,0,0,2,2,0,2,0,0,1,0.0,0,0,0,0.5,0.0,undefined,undefined,0,undefined,1,1,2,2,undefined,0,0.0,undefined,0.0,0.0,0,undefined,0,0,2,0.0,0,0,0,0,0,0,0,0,4,0,0,0,4,2,0,0,0,0,2,19,0,4,0
test/java/org/apache/avro/TestDataFile.java,org.apache.avro.TestDataFile,96,96,0,0,0,0,8,8,4,4,4,96,65,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0.25,-0.33333333333333304,0.333333333333333,0.333333333333333,8,0.333333333333333,5,4,3,2,0.958333333333333,0.5,0.33333333333333304,0.28125,0.33333333333333304,0.0,0,0.333333333333333,0,0,0,0.0,8,5,0,0,0,0,0,0,45,0,0,0,0,19,45,0,5,0,2,0,19,79,2
test/java/org/apache/avro/TestFsData.java,org.apache.avro.TestFsData,85,85,0,0,0,0,10,10,3,3,0,85,66,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,undef,0.0,0.666666666666667,1,0,1,1,0,1,1,0.8,undef,0.666666666666667,0.466666666666667,1.0,1.0,undef,0.666666666666667,0,0,0,0.0,12,8,0,0,0,0,0,0,16,0,0,0,0,8,16,0,8,0,0,0,8,150,0
test/java/org/apache/avro/TestProtocolGeneric.java,org.apache.avro.TestProtocolGeneric,130,130,0,0,0,0,6,6,7,7,1,130,86,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.142857142857143,0.46666666666666706,0.619047619047619,1,0,1,8,0,1,1,0.75,0.714285714285714,0.6190476190476191,0.357142857142857,1.0,1.0,0,0.619047619047619,0,0,0,0.0,17,6,0,0,0,0,0,0,71,0,0,0,0,34,71,0,6,0,1,0,34,169,0
test/java/org/apache/avro/TestProtocolReflect.java,org.apache.avro.TestProtocolReflect,9,9,0,0,0,0,5,0,7,1,0,9,5,1,0,1,1,1,0,0,6,1,1,0,0,1,0.14285714285714302,0,0,0,undef,1.0,1,1,0,1,0,0,1,1,undefined,undef,1.0,undefined,0.0,0.0,undef,1,0,0,0,0.0,5,0,0,0,0,0,0,0,10,0,0,0,0,4,10,0,0,0,0,0,4,56,1
test/java/org/apache/avro/TestProtocolSpecific.java,org.apache.avro.TestProtocolSpecific,106,106,0,0,0,0,5,5,7,7,1,106,77,0,1,0,1,0,1,7,0,0,0,1,1,0,0.0,0,0,0,0.142857142857143,0.666666666666667,0.761904761904762,1,0,1,5,0,1,1,0.833333333333333,0.714285714285714,0.7619047619047621,0.285714285714286,1.0,1.0,0,0.761904761904762,0,0,0,485.827506612031,7,4,0,0,0,0,0,0,18,0,0,0,0,8,18,0,4,0,1,0,8,54,1
test/java/org/apache/avro/TestReflect.java,org.apache.avro.TestReflect,22,22,0,0,0,0,3,3,2,2,0,22,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,undef,1.0,1,1,0,1,0,0,1,1,1.33333333333333,undef,1.0,0.333333333333333,1.0,0.0,undef,1,0,0,0,0.0,3,3,0,0,0,0,0,0,5,0,0,0,0,3,5,0,3,0,0,0,3,32,4
test/java/org/apache/avro/TestSchema.java,org.apache.avro.TestSchema,156,156,0,0,0,0,2,2,23,23,17,156,81,0,0,0,0,0,0,23,0,0,0,0,0,0,0.0,0,0,0,0.101449275362319,0.0,0.882352941176471,0.882352941176471,77,0.882352941176471,253,253,23,2,1,0.819499341238472,0.0869565217391304,0.0434782608695652,0.9090909090909091,0.0,-0.46153846153846,0.882352941176471,0,0,0,0.0,14,1,0,0,0,0,0,0,40,0,0,0,0,19,40,0,1,0,9,0,19,79,6
java/org/apache/avro/file/DataFileReader.java,org.apache.avro.file.DataFileReader,146,146,0,0,0,0,9,9,9,9,9,146,125,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0,0,0,0,0.166666666666667,0.3571428571428571,0.428571428571429,0.428571428571429,13,0.428571428571429,22,8,3,1,0.819444444444444,0.703703703703704,0.5,0.271604938271605,1.0,0.625,-0.333333333333331,0.428571428571429,0,0,0,0.0,8,4,0,0,0,0,0,0,52,0,0,0,0,36,52,0,4,0,7,7,36,48,0
java/org/apache/avro/file/DataFileWriter.java,org.apache.avro.file.DataFileWriter,117,117,0,0,0,0,17,17,10,10,11,117,95,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0,0,0,0.125,0.36111111111111105,0.380952380952381,0.476190476190476,15,0.476190476190476,26,7,3,1,0.92156862745098,0.766666666666667,0.48888888888888893,0.170588235294118,0.7777777777777779,0.666666666666667,1,0.380952380952381,0,0,0,0.0,5,7,0,0,0,0,0,0,18,0,0,0,0,11,18,0,7,0,8,6,11,25,1
java/org/apache/avro/file/SeekableFileInput.java,org.apache.avro.file.SeekableFileInput,7,7,0,0,0,0,0,0,4,4,2,7,9,1,0,1,0,0,0,4,0,0,1,0,0,1,0.0,0,0,0,0.25,-1.0,0,0,0,0,6,6,4,4,undefined,0.5,0.0,undefined,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0
java/org/apache/avro/generic/GenericData.java,org.apache.avro.generic.GenericData,226,226,0,0,0,0,0,0,5,5,6,226,219,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0,0.4,-0.5,0,0,0,0,10,10,5,4,undefined,0.6,0.1,undefined,0.0,0.0,1,0,0,0,0,0.0,8,0,0,0,0,0,0,0,50,0,0,0,0,27,50,0,0,0,4,2,27,29,0
java/org/apache/avro/generic/GenericDatumReader.java,org.apache.avro.generic.GenericDatumReader,325,325,0,0,0,0,3,3,30,30,71,325,257,0,2,0,7,0,7,30,0,0,0,1,2,0,0.0,3,0,3,0.245833333333333,0.0344827586206897,0.666666666666667,1,147,1,431,427,27,2,0.96551724137931,0.713505747126437,0.0988505747126437,0.0666666666666667,0.31034482758620696,0.206896551724138,-0.326653306613227,0.666666666666667,0,0,0,5724.175313043679,14,3,0,0,1,0,0,0,128,0,0,0,0,100,128,2,3,0,43,15,100,68,3
java/org/apache/avro/generic/GenericDatumWriter.java,org.apache.avro.generic.GenericDatumWriter,154,154,0,0,0,0,1,1,27,27,46,154,127,0,2,0,5,0,5,27,0,0,0,1,2,0,0.0,1,0,1,0.283950617283951,-0.00307692307692308,1,1,75,1,350,349,26,2,0.961538461538462,0.758784425451092,0.0712250712250712,0.0740740740740741,0.0769230769230769,0.0384615384615385,0.258278145695365,1,0,0,0,2547.93041401247,10,1,0,0,2,0,0,0,61,0,0,0,0,39,61,2,1,0,24,14,39,59,1
java/org/apache/avro/generic/GenericRequestor.java,org.apache.avro.generic.GenericRequestor,19,19,0,0,0,0,14,1,9,4,9,19,10,1,0,1,3,3,0,1,5,3,1,0,0,1,0.33333333333333304,0,0,0,0.375,-1.0,0,0,0,0,6,6,4,4,1.33333333333333,0.472222222222222,0.0,0,0.0,0.0,-0.333333333333333,0,0,0,1,0.0,8,1,0,0,0,0,0,0,20,0,0,0,3,8,17,0,1,0,2,3,7,149,0
java/org/apache/avro/generic/GenericResponder.java,org.apache.avro.generic.GenericResponder,16,16,0,0,0,0,10,0,8,4,9,16,9,1,1,1,3,3,0,1,4,3,1,2,2,1,0.375,0,0,0,0.375,-1.0,0,0,0,0,6,6,4,4,undefined,0.472222222222222,0.0,undefined,0.0,0.0,-0.333333333333333,0,0,0,1,215.35165111229,7,0,0,0,0,0,0,0,18,0,0,0,2,8,16,0,0,0,1,0,7,143,0
java/org/apache/avro/io/BinaryDecoder.java,org.apache.avro.io.BinaryDecoder,198,198,0,0,0,0,2,2,28,26,12,198,128,1,0,1,21,21,0,5,2,21,1,0,0,1,0.75,0,0,0,0.0641025641025641,0.0866666666666667,0.904761904761905,0.904761904761905,34,0.904761904761905,296,267,18,2,0.84,0.876923076923077,0.156923076923077,0.192307692307692,0.96,0.92,-0.666666666666655,0.904761904761905,0,0,0,0.0,5,2,0,0,0,0,0,0,11,0,0,0,0,6,11,0,2,0,1,24,6,36,1
java/org/apache/avro/io/BinaryEncoder.java,org.apache.avro.io.BinaryEncoder,170,170,0,0,0,0,2,2,30,27,33,170,109,1,1,1,38,20,18,7,3,20,1,1,1,1,0.666666666666667,0,0,0,0.127572016460905,0.28,0.552631578947368,0.552631578947368,33,0.552631578947368,245,139,12,8,0.711538461538462,0.782842671731561,0.33333333333333304,0.314814814814815,0.615384615384615,0.615384615384615,-0.803738317757008,0.552631578947368,0,0,0,1266.82200705877,5,1,0,0,15,0,0,0,7,0,0,0,0,5,7,0,1,0,4,6,5,38,0
java/org/apache/avro/io/BlockingBinaryEncoder.java,org.apache.avro.io.BlockingBinaryEncoder,409,409,0,0,0,0,10,8,40,28,26,409,308,2,0,2,36,36,0,10,12,18,2,0,0,1,0.9,0,0,0,0.0873015873015873,0.643874643874644,1,1,76,1,131,0,5,1,0.699074074074074,0.847736625514403,0.669312169312169,0.325892857142857,1.0,1.0,-0.432432432432431,1,0,0,15,0.0,7,2,0,0,0,0,0,0,65,0,0,0,49,25,16,0,2,0,2,1,10,56,1
java/org/apache/avro/io/Decoder.java,org.apache.avro.io.Decoder,29,29,0,0,0,0,0,0,23,23,8,29,25,0,2,0,48,0,48,23,0,0,0,2,3,0,0.0,2,0,2,0.0608695652173913,-0.0909090909090909,0,0,0,0,253,253,23,22,undefined,0.881422924901186,0.003952569169960471,undefined,0.0,0.0,-1,0,0,0,0,674.815784284192,1,0,1,3,43,0,0,0,0,0,0,0,0,0,0,1,0,20,5,68,0,23,1
java/org/apache/avro/io/Encoder.java,org.apache.avro.io.Encoder,31,31,0,0,0,0,0,0,23,23,20,31,27,0,2,0,58,0,58,23,0,0,0,2,3,0,0.0,9,0,9,0.0782608695652174,-0.0822510822510823,0,0,0,0,253,253,23,20,undefined,0.856916996047431,0.0118577075098814,undefined,0.0,0.0,-0.35714285714286,0,0,0,0,794.003644960238,1,0,1,1,20,0,0,0,3,0,0,0,0,1,3,2,0,16,4,61,1,24,0
