relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
continuum-test-projects/m2-modules/module-1/src/main/java/Foo.java,Foo,3,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,undef,undef,undef,undef,0,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
continuum-core/src/test-input/src/main/java/Person.java,Person,3,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,undef,undef,undef,undef,0,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
continuum-test/src/main/java/org/apache/maven/continuum/AbstractContinuumTest.java,org.apache.maven.continuum.AbstractContinuumTest,174,174,0,0,0,0,1,1,18,18,35,174,117,1,1,1,3,0,3,18,0,0,1,12,12,1,0.0,0,0,0,0.222222222222222,-0.0220588235294118,0.205128205128205,0.269230769230769,22,0.0384615384615385,152,151,17,5,0.941176470588235,0.721132897603486,0.0915032679738562,0.111111111111111,0.294117647058824,0.294117647058824,-0.322033898305084,0.0384615384615385,0,0,0,17613.9282534775,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,18,0
continuum-api/src/main/java/org/apache/maven/continuum/ContinuumException.java,org.apache.maven.continuum.ContinuumException,12,12,0,0,0,0,0,0,2,2,3,12,5,1,0,1,0,0,0,2,0,0,1,0,0,1,0.0,0,0,0,0.75,0,undefined,undefined,0,undefined,1,1,2,2,undefined,0.5,0,undefined,0,0,0,undefined,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,50,0,2,0
continuum-core/src/main/java/org/apache/maven/continuum/DefaultContinuum.java,org.apache.maven.continuum.DefaultContinuum,1393,1393,0,0,0,0,10,10,86,86,158,1393,680,1,0,1,0,0,0,86,0,0,1,0,0,1,0.0,0,0,0,0.0678294573643411,0.215126050420168,0.7489818585709,0.972972972972973,325,0.972972972972973,2892,2129,39,2,0.943529411764706,0.896078431372549,0.233378932968536,0.0674418604651163,0.905882352941176,0,-0.447913933350825,0.733432062199185,0,0,0,0.0,25,4,0,0,0,0,0,0,91,0,0,0,0,41,91,0,4,0,140,0,41,100,1
continuum-core/src/test/java/org/apache/maven/continuum/DefaultContinuumTest.java,org.apache.maven.continuum.DefaultContinuumTest,59,59,0,0,0,0,1,0,22,4,0,59,42,2,0,2,0,0,0,4,18,0,2,0,0,1,0.0,0,0,0,undef,-1,0,0,0,0,6,6,4,4,undefined,undef,0,undefined,0,0,undef,0,0,0,7,0.0,3,0,0,0,0,0,0,0,11,0,0,0,7,11,4,0,0,0,0,0,4,25,0
continuum-api/src/main/java/org/apache/maven/continuum/build/settings/BuildSettingsConstants.java,org.apache.maven.continuum.build.settings.BuildSettingsConstants,11,11,0,0,0,0,8,8,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,undef,undef,undef,undef,0,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
continuum-core/src/main/java/org/apache/maven/continuum/build/settings/DefaultSchedulesActivator.java,org.apache.maven.continuum.build.settings.DefaultSchedulesActivator,92,92,0,0,0,0,3,3,5,5,12,92,51,1,0,1,0,0,0,5,0,0,1,0,0,1,0.0,0,0,0,0.6,0,1,1,14,1,9,8,4,1,0.916666666666667,0.65,0.4,0.266666666666667,1,0,0.25,1,0,0,0,0.0,7,0,0,0,0,0,0,0,9,0,0,0,0,3,9,0,0,0,7,0,3,6,0
continuum-api/src/main/java/org/apache/maven/continuum/build/settings/SchedulesActivationException.java,org.apache.maven.continuum.build.settings.SchedulesActivationException,16,16,0,0,0,0,0,0,3,3,4,16,7,1,0,1,0,0,0,3,0,0,1,0,0,1,0.0,0,0,0,0.666666666666667,-2,undefined,undefined,0,undefined,3,3,3,3,undefined,0.333333333333333,0,undefined,0,0,-1,undefined,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,3,0
continuum-core/src/main/java/org/apache/maven/continuum/buildcontroller/BuildProjectTaskExecutor.java,org.apache.maven.continuum.buildcontroller.BuildProjectTaskExecutor,13,13,0,0,0,0,2,2,1,1,1,13,6,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0.5,0,0,1,1,0,0,0,0.0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,1,0,3,4,0
