relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
runtime/AbstractBuilder.java,org.apache.felix.dm.runtime.AbstractBuilder,116,116,0,0,0,0,0,0,4,4,11,116,57,0,1,0,12,0,12,4,0,0,0,6,6,0,0.0,0,0,0,0.55,-1.0,0,0,0,0,6,6,4,4,undefined,0.3666666666666671,0.0,undefined,0.0,0.0,-1.0,0,0,0,0,3288.5953312373,6,0,0,0,12,0,0,0,14,0,0,0,0,5,14,0,0,1,9,2,5,18,2
runtime/Activator.java,org.apache.felix.dm.runtime.Activator,38,38,0,0,0,0,3,3,2,2,4,38,19,1,0,1,0,0,0,2,0,0,1,0,0,1,0.0,0,0,0,1.0,0.0,0,0,0,0,1,1,2,2,1.33333333333333,1.0,0.0,0.333333333333333,0.0,0.0,1.0,0,0,0,0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,2,1
runtime/AdapterServiceBuilder.java,org.apache.felix.dm.runtime.AdapterServiceBuilder,60,60,0,0,0,0,1,1,4,2,4,60,34,1,0,1,2,2,0,0,2,2,1,0,0,1,0.5,0,0,0,0.5,0.0,0,0,0,0,1,1,2,2,1,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,2,0.0,3,1,0,0,0,0,0,0,15,0,0,0,9,3,6,0,1,0,0,0,1,19,0
runtime/AspectServiceBuilder.java,org.apache.felix.dm.runtime.AspectServiceBuilder,66,66,0,0,0,0,1,1,4,2,4,66,35,1,0,1,2,2,0,0,2,2,1,0,0,1,0.5,0,0,0,0.5,0.0,0,0,0,0,1,1,2,2,1,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,2,0.0,4,1,0,0,0,0,0,0,19,0,0,0,9,5,10,0,1,0,0,0,3,19,2
runtime/BundleAdapterServiceBuilder.java,org.apache.felix.dm.runtime.BundleAdapterServiceBuilder,37,37,0,0,0,0,1,1,4,2,4,37,23,1,0,1,2,2,0,0,2,2,1,0,0,1,0.5,0,0,0,0.5,0.0,0,0,0,0,1,1,2,2,1,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,2,0.0,3,1,0,0,0,0,0,0,15,0,0,0,9,3,6,0,1,0,0,0,1,19,0
runtime/ComponentBuilder.java,org.apache.felix.dm.runtime.ComponentBuilder,57,57,0,0,0,0,2,2,4,2,4,57,32,1,0,1,2,2,0,0,2,2,1,0,0,1,0.5,0,0,0,0.5,0.0,0,0,0,0,1,1,2,2,1,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,2,0.0,5,2,0,0,0,0,0,0,27,0,0,0,9,8,18,0,2,0,0,0,6,20,0
runtime/DependencyBuilder.java,org.apache.felix.dm.runtime.DependencyBuilder,190,190,0,0,0,0,1,1,11,11,51,190,111,0,0,0,0,0,0,11,0,0,0,0,0,0,0.0,0,0,0,0.313131313131313,0.222222222222222,1,1,13,1,40,25,6,1,0.5,0.7373737373737371,0.36363636363636404,0.545454545454545,0.6,0.6,0.378378378378378,1,0,0,0,0.0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,42,6,1,12,4
runtime/DependencyManagerRuntime.java,org.apache.felix.dm.runtime.DependencyManagerRuntime,127,127,0,0,0,0,3,3,8,8,8,126,71,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.2,-0.0476190476190476,undefined,undefined,11,undefined,24,20,5,3,0.857142857142857,0.6857142857142859,0.214285714285714,0.25,0.5714285714285711,0.28571428571428603,1.0,undefined,0,0,0,0.0,8,3,0,0,0,0,0,0,37,0,0,0,0,20,37,0,3,0,8,0,20,21,1
runtime/DescriptorParser.java,org.apache.felix.dm.runtime.DescriptorParser,36,36,0,0,0,0,1,1,2,2,4,36,22,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.5,1.0,1,1,0,1,0,0,1,1,0,0.0,1.0,1,1.0,0.0,0.0,1,0,0,0,0.0,4,1,0,0,0,0,0,0,18,0,0,0,0,8,18,1,1,0,4,7,8,11,2
runtime/FactoryConfigurationAdapterServiceBuilder.java,org.apache.felix.dm.runtime.FactoryConfigurationAdapterServiceBuilder,37,37,0,0,0,0,1,1,4,2,4,37,23,1,0,1,2,2,0,0,2,2,1,0,0,1,0.5,0,0,0,0.5,0.0,0,0,0,0,1,1,2,2,1,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,2,0.0,3,1,0,0,0,0,0,0,15,0,0,0,9,3,6,0,1,0,0,0,1,19,2
