relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
main/java/org/apache/felix/http/jetty/internal/ConfigMetaTypeProvider.java,org.apache.felix.http.jetty.internal.ConfigMetaTypeProvider,391,391,0,0,0,0,1,1,4,4,4,392,114,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.375,-0.33333333333333304,0,0,10,0,5,4,3,2,0.666666666666667,0.416666666666667,0.33333333333333304,0.5,0.33333333333333304,0.33333333333333304,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,4,1
main/java/org/apache/felix/http/jetty/internal/ConnectorFactoryTracker.java,org.apache.felix.http.jetty.internal.ConnectorFactoryTracker,52,52,0,0,0,0,1,1,4,4,7,52,25,1,0,1,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0.35,1.0,1,1,0,1,0,0,1,1,0,0.433333333333333,1.0,1,1.0,1.0,-1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,2,0,4,0
main/java/org/apache/felix/http/jetty/internal/CustomizerWrapper.java,org.apache.felix.http.jetty.internal.CustomizerWrapper,19,19,0,0,0,0,1,1,2,2,4,19,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,1.0,1,1,0,1,0,0,1,1,0,0,1.0,1,1.0,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,15,0,2,0
main/java/org/apache/felix/http/jetty/internal/FileRequestLog.java,org.apache.felix.http.jetty.internal.FileRequestLog,58,58,0,0,0,0,7,7,3,3,4,58,44,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.444444444444444,1.0,1,1,0,1,0,0,1,1,0.642857142857143,0.333333333333333,1.0,0.571428571428571,1.0,1.0,0,1,0,0,0,0,1,7,0,0,0,0,0,0,12,0,0,0,0,12,12,1,7,0,4,3,12,20,0
main/java/org/apache/felix/http/jetty/internal/ForwardedRequestCustomizerFactory.java,org.apache.felix.http.jetty.internal.ForwardedRequestCustomizerFactory,8,8,0,0,0,0,0,0,1,1,0,8,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,undef,1.0,1,1,0,1,0,0,1,1,undefined,undef,1.0,undefined,0.0,0.0,undef,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
main/java/org/apache/felix/http/jetty/internal/JettyActivator.java,org.apache.felix.http.jetty.internal.JettyActivator,92,92,0,0,0,0,4,4,2,2,0,92,45,1,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,undef,1.0,undefined,undefined,0,undefined,0,0,1,1,0,undef,1.0,1,1.0,1.0,undef,undefined,0,0,0,0,2,4,0,0,0,0,0,0,5,0,0,0,0,3,5,0,4,0,0,0,3,98,1
main/java/org/apache/felix/http/jetty/internal/JettyConfig.java,org.apache.felix.http.jetty.internal.JettyConfig,488,488,0,0,0,0,66,66,65,65,28,488,291,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0.0377622377622378,0.00992063492063492,1,1,210,1,2062,2044,54,1,0.999526515151515,0.929283216783217,0.0403846153846154,0.0158508158508159,0.90625,0.90625,-0.40869565217391,1,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,2,66,2,46,123,0,65,0
test/java/org/apache/felix/http/jetty/internal/JettyConfigTest.java,org.apache.felix.http.jetty.internal.JettyConfigTest,104,104,0,0,0,0,2,2,10,10,0,104,81,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,undef,1.0,1,1,0,1,0,0,1,1,0.5,undef,1.0,0.55,1.0,1.0,undef,1,0,0,0,0,1,2,0,0,0,0,0,0,47,0,0,0,0,35,47,0,2,0,0,0,35,29,0
main/java/org/apache/felix/http/jetty/internal/JettyLogger.java,org.apache.felix.http.jetty.internal.JettyLogger,84,84,0,0,0,0,2,2,17,17,21,84,41,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0.247058823529412,0.0166666666666667,0.142857142857143,0.142857142857143,4,0.142857142857143,120,104,11,9,0.8125,0.682352941176471,0.13235294117647098,0.235294117647059,0.5,0.375,-0.490196078431373,0.142857142857143,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,0,17,0
main/java/org/apache/felix/http/jetty/internal/JettyManagedService.java,org.apache.felix.http.jetty.internal.JettyManagedService,13,13,0,0,0,0,1,1,2,2,2,13,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,1.0,1,1,0,1,0,0,1,1,0,0,1.0,1,1.0,1.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,2,0,1,0,2,0,1,92,0
main/java/org/apache/felix/http/jetty/internal/JettyManagedServiceFactory.java,org.apache.felix.http.jetty.internal.JettyManagedServiceFactory,59,59,0,0,0,0,2,2,5,5,6,59,26,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.3,0.0,0.5,0.5,3,0.5,6,2,2,2,0.625,0.5,0.4,0.5,0.75,0.25,-1,0.5,0,0,0,0,1,2,0,0,0,0,0,0,6,0,0,0,0,3,6,0,2,0,7,0,3,106,1
main/java/org/apache/felix/http/jetty/internal/JettyService.java,org.apache.felix.http.jetty.internal.JettyService,820,820,0,0,0,0,27,27,29,29,41,822,470,1,0,1,0,0,0,29,0,0,1,0,0,1,0,0,0,0,0.0584707646176912,0.26984126984127,0.714285714285714,1,107,1,293,180,7,1,0.951058201058201,0.888412936388948,0.320197044334975,0.0817369093231162,0.9285714285714292,0.892857142857143,-0.850000000000006,0.714285714285714,0,0,0,0,11,25,0,0,0,0,0,0,150,0,0,0,0,98,150,4,25,1,46,12,98,114,0
