relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
main/java/org/apache/felix/jaas/boot/ProxyLoginModule.java,org.apache.felix.jaas.boot.ProxyLoginModule,38,38,0,0,0,0,2,2,5,5,4,38,19,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0,0.2,1.0,1.0,1.0,0,1.0,0,0,1,1,0.5,0.6,1.0,0.6,1.0,1.0,0,1.0,0,0,0,0.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,5,0
test/java/org/apache/felix/jaas/integration/ITJaasWebConsolePlugin.java,org.apache.felix.jaas.integration.ITJaasWebConsolePlugin,23,23,0,0,0,0,9,2,8,2,0,24,7,1,0,1,1,1,0,1,6,1,1,0,0,1,0.125,0,0,0,undef,0.0,1.0,1.0,0,1.0,1,1,2,2,1.5,undef,0.0,0.25,0.0,0.0,undef,1.0,0,0,1,0.0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,10,0
test/java/org/apache/felix/jaas/integration/ITJaasWithBootClasspath.java,org.apache.felix.jaas.integration.ITJaasWithBootClasspath,56,56,0,0,0,0,10,3,9,3,0,57,33,1,0,1,1,1,0,2,6,1,1,0,0,1,0.111111111111111,0,0,0,undef,-1.0,1.0,1.0,0,1.0,2,1,2,2,0.833333333333333,undef,0.33333333333333304,0.444444444444444,0.5,0.0,undef,1.0,0,0,5,0.0,1,3,0,0,0,0,0,0,15,0,0,0,9,7,6,0,3,0,0,0,2,12,0
test/java/org/apache/felix/jaas/integration/ITJaasWithConfigBasedLoginModule.java,org.apache.felix.jaas.integration.ITJaasWithConfigBasedLoginModule,140,140,0,0,0,0,9,2,12,6,2,140,99,1,0,1,1,1,0,5,6,1,1,0,0,1,0.0833333333333333,0,0,0,0.333333333333333,0.5,1.0,1.0,0,1.0,5,0,2,2,0.5,0.466666666666667,0.666666666666667,0.583333333333333,0.8,0.0,0,1.0,0,0,9,0.0,2,1,0,0,0,0,0,0,32,0,0,0,17,14,15,0,1,0,2,0,5,15,0
test/java/org/apache/felix/jaas/integration/ITJaasWithGlobalConfig.java,org.apache.felix.jaas.integration.ITJaasWithGlobalConfig,39,39,0,0,0,0,8,1,8,2,0,40,21,1,0,1,1,1,0,1,6,1,1,0,0,1,0.125,0,0,0,undef,0.0,1.0,1.0,0,1.0,1,1,2,2,1,undef,0.0,0.5,0.0,0.0,undef,1.0,0,0,3,0.0,1,1,0,0,0,0,0,0,8,0,0,0,5,4,3,0,1,0,0,0,1,11,0
test/java/org/apache/felix/jaas/integration/JaasTestBase.java,org.apache.felix.jaas.integration.JaasTestBase,92,92,0,0,0,0,7,7,8,8,3,92,41,0,1,0,4,0,4,8,0,0,0,4,4,0,0.0,0,0,0,0.125,-0.19047619047619,0.0,0.0,3,0.0,28,28,8,5,1.04081632653061,0.75,0.107142857142857,0.0892857142857143,0.14285714285714302,0.0,0,0.0,0,0,0,1653.33151220949,3,7,0,0,18,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,8,0
test/java/org/apache/felix/jaas/integration/common/SimpleCallbackHandler.java,org.apache.felix.jaas.integration.common.SimpleCallbackHandler,26,26,0,0,0,0,2,2,2,2,3,26,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.5,1.0,1.0,1.0,0,1.0,0,0,1,1,0,0,1.0,1,1.0,1.0,0,1.0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,8,0,2,0
test/java/org/apache/felix/jaas/integration/common/SimplePrincipal.java,org.apache.felix.jaas.integration.common.SimplePrincipal,35,35,0,0,0,0,1,1,5,5,2,35,19,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0,0.2,1.0,1.0,1.0,0,1.0,0,0,1,1,0,0.6,1.0,1,1.0,1.0,0,1.0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,5,0
test/java/org/apache/felix/jaas/integration/sample1/ConfigLoginModule.java,org.apache.felix.jaas.integration.sample1.ConfigLoginModule,82,82,0,0,0,0,6,6,6,6,6,82,49,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0,0,0.166666666666667,0.2,0.5,0.6,1,0.6,9,3,2,2,0.8,0.666666666666667,0.46666666666666706,0.333333333333333,0.8,0.8,0,0.5,0,0,0,0.0,1,5,0,0,0,0,0,0,2,0,0,0,0,1,2,0,5,0,6,0,1,7,0
main/java/org/apache/felix/jaas/internal/Activator.java,org.apache.felix.jaas.internal.Activator,52,52,0,0,0,0,4,4,3,3,3,52,32,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,1,0.0,1.0,1.0,2,1.0,2,1,2,1,0.625,1,0.666666666666667,0.583333333333333,0.5,0.5,1,1.0,0,0,0,0.0,5,4,0,0,0,0,0,0,14,0,0,0,0,6,14,0,4,0,3,0,6,30,0
main/java/org/apache/felix/jaas/internal/BundleLoginModuleCreator.java,org.apache.felix.jaas.internal.BundleLoginModuleCreator,159,159,0,0,0,0,3,3,8,8,13,159,80,1,0,1,0,0,0,8,0,0,1,0,0,1,0.0,0,0,0,0.203125,0.19047619047619,1.0,1.0,6,1.0,20,12,3,1,0.761904761904762,0.665178571428571,0.3928571428571429,0.333333333333333,0.857142857142857,0.28571428571428603,-0.400000000000001,1.0,0,0,0,0.0,2,3,0,0,0,0,0,0,19,0,0,0,0,9,19,2,3,1,16,2,9,16,0
main/java/org/apache/felix/jaas/internal/ConfigLoginModuleProvider.java,org.apache.felix.jaas.internal.ConfigLoginModuleProvider,53,53,0,0,0,0,6,6,8,8,6,53,28,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.125,0.28571428571428603,0.28571428571428603,0.7142857142857142,0,0.7142857142857142,15,2,1,1,0.738095238095238,0.75,0.46428571428571397,0.354166666666667,1.0,1.0,0,0.28571428571428603,0,0,0,0.0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,1,0,8,0
main/java/org/apache/felix/jaas/internal/ConfigSpiOsgi.java,org.apache.felix.jaas.internal.ConfigSpiOsgi,459,459,0,0,0,0,20,20,21,21,24,459,244,1,0,1,0,0,0,21,0,0,1,0,0,1,0.0,0,0,0,0.0842490842490843,0.34210526315789497,0.8214285714285708,1.0,37,1.0,138,66,2,1,0.9025,0.847619047619048,0.404761904761905,0.14047619047619,0.95,0.95,-0.466666666666668,0.8214285714285708,0,0,0,0.0,12,19,0,0,0,0,0,0,42,0,0,0,0,18,42,2,19,1,26,6,18,39,2
