relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
org.apache.felix.dependencymanager.samples/src/org/apache/felix/dependencymanager/samples/composite/Activator.java,org.apache.felix.dependencymanager.samples.composite.Activator,10,10,0,0,0,0,3,0,31,1,2,10,3,1,0,1,1,1,0,0,30,1,1,0,0,1,0.032258064516129,0,0,0,1,1,1,1,0,1,0,0,1,1,undefined,1,1,undefined,0,0,1,1,0,0,3,0.0,4,0,0,0,0,0,0,0,5,0,0,0,3,4,2,0,0,0,0,0,1,108,0
org.apache.felix.dependencymanager.samples/src/org/apache/felix/dependencymanager/samples/composite/ProviderImpl.java,org.apache.felix.dependencymanager.samples.composite.ProviderImpl,16,16,0,0,0,0,4,4,3,3,1,16,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.333333333333333,0,0.666666666666667,1,0,1,1,0,1,1,0.625,0.333333333333333,0.666666666666667,0.583333333333333,1,0.5,0,0.666666666666667,0,0,0,0.0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3,1
org.apache.felix.dependencymanager.samples/src/org/apache/felix/dependencymanager/samples/composite/ProviderParticipant1.java,org.apache.felix.dependencymanager.samples.composite.ProviderParticipant1,6,6,0,0,0,0,1,1,1,1,0,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,undef,1,1,1,0,1,0,0,1,1,0,undef,1,1,0,0,undef,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
org.apache.felix.dependencymanager.samples/src/org/apache/felix/dependencymanager/samples/composite/ProviderParticipant2.java,org.apache.felix.dependencymanager.samples.composite.ProviderParticipant2,6,6,0,0,0,0,1,1,1,1,0,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,undef,1,1,1,0,1,0,0,1,1,0,undef,1,1,0,0,undef,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
org.apache.felix.dependencymanager.samples/src/org/apache/felix/dependencymanager/samples/compositefactory/Activator.java,org.apache.felix.dependencymanager.samples.compositefactory.Activator,13,13,0,0,0,0,3,0,31,1,2,13,4,1,0,1,1,1,0,0,30,1,1,0,0,1,0.032258064516129,0,0,0,1,1,1,1,0,1,0,0,1,1,undefined,1,1,undefined,0,0,1,1,0,0,3,0.0,4,0,0,0,0,0,0,0,5,0,0,0,3,4,2,0,0,0,0,0,1,108,1
org.apache.felix.dependencymanager.samples/src/org/apache/felix/dependencymanager/samples/compositefactory/CompositionManager.java,org.apache.felix.dependencymanager.samples.compositefactory.CompositionManager,19,19,0,0,0,0,4,4,3,3,1,19,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.333333333333333,-1,0.333333333333333,0.333333333333333,0,0.333333333333333,2,1,2,2,0.625,0.333333333333333,0.333333333333333,0.583333333333333,0.5,0.5,0,0.333333333333333,0,0,0,0.0,3,4,0,0,0,0,0,0,3,0,0,0,0,1,3,0,4,0,1,0,1,4,0
org.apache.felix.dependencymanager.samples/src/org/apache/felix/dependencymanager/samples/compositefactory/ProviderImpl.java,org.apache.felix.dependencymanager.samples.compositefactory.ProviderImpl,12,12,0,0,0,0,3,3,2,2,2,12,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.5,1,1,1,0,1,0,0,1,1,0.333333333333333,0,1,0.833333333333333,1,1,0,1,0,0,0,0.0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,1,0,2,1
org.apache.felix.dependencymanager.samples/src/org/apache/felix/dependencymanager/samples/compositefactory/ProviderParticipant1.java,org.apache.felix.dependencymanager.samples.compositefactory.ProviderParticipant1,6,6,0,0,0,0,1,1,1,1,0,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,undef,1,1,1,0,1,0,0,1,1,0,undef,1,1,0,0,undef,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1
org.apache.felix.dependencymanager.samples/src/org/apache/felix/dependencymanager/samples/compositefactory/ProviderParticipant2.java,org.apache.felix.dependencymanager.samples.compositefactory.ProviderParticipant2,6,6,0,0,0,0,1,1,1,1,0,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,undef,1,1,1,0,1,0,0,1,1,0,undef,1,1,0,0,undef,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1
org.apache.felix.dependencymanager.samples/src/org/apache/felix/dependencymanager/samples/conf/Activator.java,org.apache.felix.dependencymanager.samples.conf.Activator,9,9,0,0,0,0,3,0,31,1,2,9,3,1,0,1,1,1,0,0,30,1,1,0,0,1,0.032258064516129,0,0,0,1,1,1,1,0,1,0,0,1,1,undefined,1,1,undefined,0,0,1,1,0,0,3,0.0,3,0,0,0,0,0,0,0,5,0,0,0,3,4,2,0,0,0,0,0,1,108,0
