relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
httpclient\src\main\java\org\apache\http\auth\AUTH.java,org.apache.http.auth.AUTH,8,8,0,0,0,0,4,4,1,1,0,8,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,undef,1,undefined,undefined,0,undefined,0,0,1,1,0,undef,1,0,0,0,undef,undefined,0,0,0,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0
httpclient\src\main\java\org\apache\http\auth\AuthOption.java,org.apache.http.auth.AuthOption,25,25,0,0,0,0,2,2,4,4,2,25,17,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0.25,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,2,0,1,1,0.5,0.5,0.666666666666667,0.625,1,1,0,0.333333333333333,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,4,0
httpclient\src\main\java\org\apache\http\auth\AuthProtocolState.java,org.apache.http.auth.AuthProtocolState,3,3,0,0,0,0,5,5,2,2,1,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.5,0,0,0,0,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,2,0
httpclient\src\main\java\org\apache\http\auth\AuthSchemeRegistry.java,org.apache.http.auth.AuthSchemeRegistry,46,46,0,0,0,0,1,1,6,6,6,46,29,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0,0,0.25,1,1,1,0,1,0,0,1,1,0,0.6,1,1,1,1,1,1,0,0,0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,6,37,0,6,0
httpclient\src\main\java\org\apache\http\auth\AuthScope.java,org.apache.http.auth.AuthScope,136,136,0,0,0,0,9,9,14,14,16,136,91,0,0,0,0,0,0,14,0,0,0,0,0,0,0.0,0,0,0,0.171428571428571,0.474358974358974,0.785714285714286,1,4,1,43,0,2,1,0.726495726495726,0.705494505494505,0.54945054945055,0.325396825396825,1,0.692307692307692,-0.789473684210527,0.785714285714286,0,0,0,0.0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,14,57,0,14,0
httpclient\src\main\java\org\apache\http\auth\AuthState.java,org.apache.http.auth.AuthState,95,95,0,0,0,0,5,5,17,17,7,95,64,0,0,0,0,0,0,17,0,0,0,0,0,0,0.0,0,0,0,0.0823529411764706,0.283333333333333,0.566666666666667,1,2,1,87,38,2,1,0.7375,0.841176470588235,0.367647058823529,0.305882352941176,1,0.5,-1,0.566666666666667,0,0,0,0.0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,7,178,0,17,0
httpclient\src\main\java\org\apache\http\auth\AuthenticationException.java,org.apache.http.auth.AuthenticationException,12,12,0,0,0,0,1,1,3,3,3,12,8,1,1,1,0,0,0,3,0,0,1,2,2,1,0.0,0,0,0,0.5,-2,undefined,undefined,0,undefined,3,3,3,3,1.5,0.333333333333333,0,0,0,0,0,undefined,0,0,0,94.9078326649606,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,16,0,3,0
httpclient\src\main\java\org\apache\http\auth\BasicUserPrincipal.java,org.apache.http.auth.BasicUserPrincipal,39,39,0,0,0,0,2,2,5,5,2,39,28,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0,0.2,1,1,1,0,1,0,0,1,1,0.625,0.6,1,0.5,1,1,0,1,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,9,0,5,0
httpclient\src\main\java\org\apache\http\auth\ChallengeState.java,org.apache.http.auth.ChallengeState,3,3,0,0,0,0,2,2,2,2,1,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.5,0,0,0,0,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,2,0
httpclient\src\main\java\org\apache\http\auth\InvalidCredentialsException.java,org.apache.http.auth.InvalidCredentialsException,12,12,0,0,0,0,2,1,6,3,3,12,8,2,0,2,0,0,0,3,3,0,2,0,0,1,0.0,0,0,0,0.5,-2,undefined,undefined,0,undefined,3,3,3,3,1.5,0.333333333333333,0,0,0,0,0,undefined,0,0,3,0.0,0,0,0,0,0,0,0,0,6,0,0,0,6,3,0,0,0,0,3,3,0,6,0
httpclient\src\main\java\org\apache\http\auth\MalformedChallengeException.java,org.apache.http.auth.MalformedChallengeException,12,12,0,0,0,0,1,1,3,3,3,12,8,1,0,1,0,0,0,3,0,0,1,0,0,1,0.0,0,0,0,0.5,-2,undefined,undefined,0,undefined,3,3,3,3,1.5,0.333333333333333,0,0,0,0,0,undefined,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,0,3,0
httpclient\src\main\java\org\apache\http\auth\NTCredentials.java,org.apache.http.auth.NTCredentials,93,93,0,0,0,0,4,4,10,10,6,93,61,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0,0,0,0.15,0.722222222222222,0.642857142857143,0.75,0,0.75,10,0,1,1,0.638888888888889,0.722222222222222,0.777777777777778,0.425,1,0.888888888888889,0,0.642857142857143,0,0,0,0.0,1,3,0,0,0,0,0,0,11,0,0,0,0,5,11,0,3,0,11,79,5,13,0
httpclient\src\main\java\org\apache\http\auth\NTUserPrincipal.java,org.apache.http.auth.NTUserPrincipal,61,61,0,0,0,0,4,4,7,7,3,61,41,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.142857142857143,0.4,0.4,0.466666666666667,0,0.466666666666667,9,0,1,1,0.708333333333333,0.714285714285714,0.571428571428571,0.392857142857143,1,1,0,0.4,0,0,0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,6,10,0,7,1
httpclient\src\test\java\org\apache\http\auth\TestCredentials.java,org.apache.http.auth.TestCredentials,179,179,0,0,0,0,0,0,8,8,0,179,117,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,undef,-0.333333333333333,0,0,0,0,28,28,8,8,undefined,undef,0,undefined,0,0,undef,0,0,0,0,0.0,4,0,0,0,0,0,0,0,240,0,0,0,0,110,240,0,0,0,0,0,110,30,1
httpclient\src\main\java\org\apache\http\auth\UsernamePasswordCredentials.java,org.apache.http.auth.UsernamePasswordCredentials,55,55,0,0,0,0,3,3,8,8,4,55,38,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.1875,0.761904761904762,0.666666666666667,0.666666666666667,0,0.666666666666667,5,0,1,1,0.666666666666667,0.660714285714286,0.821428571428571,0.416666666666667,1,0.857142857142857,0,0.666666666666667,0,0,0,0.0,1,2,0,0,0,0,0,0,9,0,0,0,0,6,9,0,2,0,7,100,6,12,0
httpclient\src\main\java\org\apache\http\auth\params\AuthParamBean.java,org.apache.http.auth.params.AuthParamBean,8,8,0,0,0,0,0,0,2,2,2,8,5,1,0,1,0,0,0,2,0,0,1,0,0,1,0.0,0,0,0,0.5,0,1,1,0,1,1,1,2,2,undefined,0,0,undefined,0,0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,3,0,0,0,2,0,1,3,0
httpclient\src\main\java\org\apache\http\auth\params\AuthParams.java,org.apache.http.auth.params.AuthParams,22,22,0,0,0,0,0,0,3,3,3,22,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.5,-2,0,0,0,0,3,3,3,3,undefined,0.333333333333333,0,undefined,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0
httpclient\src\main\java\org\apache\http\client\CircularRedirectException.java,org.apache.http.client.CircularRedirectException,12,12,0,0,0,0,2,1,6,3,3,12,8,2,0,2,0,0,0,3,3,0,2,0,0,1,0.0,0,0,0,0.5,-2,undefined,undefined,0,undefined,3,3,3,3,1.5,0.333333333333333,0,0,0,0,0,undefined,0,0,3,0.0,0,0,0,0,0,0,0,0,6,0,0,0,6,3,0,0,0,0,3,2,0,6,0
httpclient\src\main\java\org\apache\http\client\ClientProtocolException.java,org.apache.http.client.ClientProtocolException,16,16,0,0,0,0,1,1,4,4,4,16,11,1,1,1,0,0,0,4,0,0,1,1,1,1,0.0,0,0,0,0.5,-1,undefined,undefined,0,undefined,6,6,4,4,1.33333333333333,0.333333333333333,0,0,0,0,-1,undefined,0,0,0,69.0742783408013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,4,4,0,4,0
httpclient\src\main\java\org\apache\http\client\HttpResponseException.java,org.apache.http.client.HttpResponseException,11,11,0,0,0,0,3,2,6,2,2,11,8,2,0,2,0,0,0,2,4,0,2,0,0,1,0.0,0,0,0,0.5,1,1,1,0,1,0,0,1,1,1,0,1,0.5,1,1,0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,1,4,0,6,0
httpclient\src\main\java\org\apache\http\client\NonRepeatableRequestException.java,org.apache.http.client.NonRepeatableRequestException,12,12,0,0,0,0,1,1,3,3,3,12,8,1,0,1,0,0,0,3,0,0,1,0,0,1,0.0,0,0,0,0.5,-2,undefined,undefined,0,undefined,3,3,3,3,1.5,0.333333333333333,0,0,0,0,0,undefined,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,0
httpclient\src\main\java\org\apache\http\client\RedirectException.java,org.apache.http.client.RedirectException,12,12,0,0,0,0,1,1,3,3,3,12,8,1,1,1,0,0,0,3,0,0,1,1,1,1,0.0,0,0,0,0.5,-2,undefined,undefined,0,undefined,3,3,3,3,1.5,0.333333333333333,0,0,0,0,0,undefined,0,0,0,47.4539163324803,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0
httpclient-benchmark\src\main\java\org\apache\http\client\benchmark\Benchmark.java,org.apache.http.client.benchmark.Benchmark,139,139,0,0,0,0,0,0,1,1,1,139,109,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,1,1,1,1,0,1,0,0,1,1,undefined,1,1,undefined,0,0,1,1,0,0,0,0.0,9,0,0,0,0,0,0,0,17,0,0,0,0,9,17,0,0,0,1,0,9,34,0
httpclient-benchmark\src\main\java\org\apache\http\client\benchmark\Stats.java,org.apache.http.client.benchmark.Stats,76,76,0,0,0,0,6,6,11,11,8,75,64,0,0,0,0,0,0,11,0,0,0,0,0,0,0.0,0,0,0,0.136363636363636,0.2,0.6,1,9,1,42,29,3,1,0.833333333333333,0.754545454545455,0.345454545454545,0.242424242424242,1,0.7,1,0.6,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,17,0,11,0
httpclient-benchmark\src\main\java\org\apache\http\client\benchmark\TestHttpClient3.java,org.apache.http.client.benchmark.TestHttpClient3,119,119,0,0,0,0,2,2,8,8,12,119,91,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.28125,0.0952380952380952,0.476190476190476,0.476190476190476,17,0.476190476190476,25,22,6,2,0.857142857142857,0.5625,0.321428571428571,0.25,0.714285714285714,0.714285714285714,-0.777777777777778,0.476190476190476,0,0,0,0.0,2,2,0,0,0,0,0,0,12,0,0,0,0,3,12,0,2,0,8,1,3,16,0
httpclient-benchmark\src\main\java\org\apache\http\client\benchmark\TestHttpClient4.java,org.apache.http.client.benchmark.TestHttpClient4,137,137,0,0,0,0,2,2,8,8,12,136,101,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.28125,0.0952380952380952,0.476190476190476,0.476190476190476,17,0.476190476190476,25,22,6,2,0.857142857142857,0.5625,0.321428571428571,0.25,0.714285714285714,0.714285714285714,-0.777777777777778,0.476190476190476,0,0,0,0.0,9,2,0,0,0,0,0,0,42,0,0,0,0,16,42,0,2,0,8,1,16,39,0
httpclient-benchmark\src\main\java\org\apache\http\client\benchmark\TestHttpCore.java,org.apache.http.client.benchmark.TestHttpCore,174,174,0,0,0,0,5,5,8,8,12,173,127,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.28125,0,0.285714285714286,0.285714285714286,17,0.285714285714286,27,26,7,2,0.971428571428571,0.5625,0.25,0.15,0.571428571428571,0.571428571428571,-0.777777777777778,0.285714285714286,0,0,0,0.0,2,5,0,0,0,0,0,0,13,0,0,0,0,3,13,0,5,0,8,1,3,16,0
httpclient-benchmark\src\main\java\org\apache\http\client\benchmark\TestHttpJRE.java,org.apache.http.client.benchmark.TestHttpJRE,110,110,0,0,0,0,0,0,8,8,12,109,84,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.28125,-0.0476190476190476,0.142857142857143,0.142857142857143,17,0,28,28,8,2,undefined,0.5625,0.214285714285714,undefined,0,0,-0.777777777777778,0,0,0,0,0.0,2,0,0,0,0,0,0,0,12,0,0,0,0,3,12,0,0,0,8,1,3,16,0
httpclient-benchmark\src\main\java\org\apache\http\client\benchmark\TestJettyHttpClient.java,org.apache.http.client.benchmark.TestJettyHttpClient,108,108,0,0,0,0,1,1,8,8,13,107,78,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.25,0.238095238095238,0.714285714285714,0.714285714285714,19,0.714285714285714,22,16,5,2,0.571428571428571,0.6,0.428571428571429,0.5,0.857142857142857,0.857142857142857,-0.6,0.714285714285714,0,0,0,0.0,2,1,0,0,0,0,0,0,13,0,0,0,0,5,13,0,1,0,9,1,5,19,0
httpclient-benchmark\src\main\java\org\apache\http\client\benchmark\TestNingHttpClient.java,org.apache.http.client.benchmark.TestNingHttpClient,104,104,0,0,0,0,1,1,8,8,13,103,69,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.25,0,0.476190476190476,0.476190476190476,19,0.476190476190476,27,26,7,2,0.857142857142857,0.6,0.25,0.25,0.571428571428571,0.571428571428571,-0.6,0.476190476190476,0,0,0,0.0,2,1,0,0,0,0,0,0,11,0,0,0,0,4,11,0,1,0,9,1,4,18,0
httpclient-cache\src\main\java\org\apache\http\client\cache\CacheResponseStatus.java,org.apache.http.client.cache.CacheResponseStatus,6,6,0,0,0,0,4,4,2,2,1,6,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.5,0,0,0,0,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0
httpclient-cache\src\main\java\org\apache\http\client\cache\HeaderConstants.java,org.apache.http.client.cache.HeaderConstants,40,40,0,0,0,0,38,38,0,0,0,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,undef,undef,undef,undef,0,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,0,0,0,0.0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
httpclient-cache\src\main\java\org\apache\http\client\cache\HttpCacheEntry.java,org.apache.http.client.cache.HttpCacheEntry,85,85,0,0,0,0,7,7,15,15,13,85,53,0,0,0,0,0,0,15,0,0,0,0,0,0,0.0,0,0,0,0.122222222222222,0.164835164835165,0.230769230769231,0.346153846153846,2,0.346153846153846,78,51,3,1,0.86734693877551,0.771428571428571,0.276190476190476,0.19047619047619,1,1,-1,0.230769230769231,0,0,0,0.0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,112,21,159,0,15,0
httpclient-cache\src\main\java\org\apache\http\client\cache\HttpCacheEntrySerializationException.java,org.apache.http.client.cache.HttpCacheEntrySerializationException,10,10,0,0,0,0,1,1,2,2,3,10,7,1,0,1,0,0,0,2,0,0,1,0,0,1,0.0,0,0,0,0.75,0,undefined,undefined,0,undefined,1,1,2,2,2,0.5,0,0,0,0,0,undefined,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0
httpclient-cache\src\main\java\org\apache\http\client\cache\HttpCacheUpdateException.java,org.apache.http.client.cache.HttpCacheUpdateException,10,10,0,0,0,0,1,1,2,2,3,10,7,1,0,1,0,0,0,2,0,0,1,0,0,1,0.0,0,0,0,0.75,0,undefined,undefined,0,undefined,1,1,2,2,2,0.5,0,0,0,0,0,undefined,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,2,0
httpclient-cache\src\main\java\org\apache\http\client\cache\InputLimit.java,org.apache.http.client.cache.InputLimit,18,18,0,0,0,0,2,2,4,4,1,18,13,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0.25,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,2,0,1,1,0.5,0.5,0.666666666666667,0.625,1,0.666666666666667,0,0.333333333333333,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,7,0,4,0
httpclient-cache\src\test\java\org\apache\http\client\cache\TestHttpCacheEntry.java,org.apache.http.client.cache.TestHttpCacheEntry,229,229,0,0,0,0,6,6,27,27,7,229,124,0,0,0,0,0,0,27,0,0,0,0,0,0,0.0,0,0,0,0.0740740740740741,0.827692307692308,1,1,16,1,64,0,1,1,0.641025641025641,0.863247863247863,0.84045584045584,0.382716049382716,1,1,1,1,0,0,0,0.0,3,5,0,0,0,0,0,0,137,0,0,0,0,39,137,0,5,0,8,0,39,45,0
httpclient\src\main\java\org\apache\http\client\entity\DecompressingEntity.java,org.apache.http.client.entity.DecompressingEntity,44,44,0,0,0,0,2,2,5,5,4,44,28,1,1,1,2,0,2,5,0,0,1,3,3,1,0.0,1,0,1,0.2,-0.166666666666667,0.333333333333333,0.333333333333333,7,0.333333333333333,10,10,5,2,1,0.6,0.3,0.2,0.25,0.25,0,0.333333333333333,0,0,0,478.179818078658,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,7,6,0,5,0
httpclient\src\main\java\org\apache\http\client\entity\DeflateDecompressingEntity.java,org.apache.http.client.entity.DeflateDecompressingEntity,63,63,0,0,0,0,2,0,8,4,3,63,41,2,0,2,0,0,0,4,4,0,2,0,0,1,0.0,1,1,0,0.25,-1,0,0,0,0,6,6,4,4,undefined,0.5,0,undefined,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,8,0,0,0,2,3,6,0,0,0,5,1,2,10,0
httpclient\src\main\java\org\apache\http\client\entity\GzipDecompressingEntity.java,org.apache.http.client.entity.GzipDecompressingEntity,17,17,0,0,0,0,2,0,7,4,2,17,9,2,0,2,1,1,0,3,3,1,2,0,0,1,0.28571428571428603,0,0,0,0.25,-1,0,0,0,0,6,6,4,4,undefined,0.5,0,undefined,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,2,2,0,9,0
httpclient\src\test\java\org\apache\http\client\entity\TestDecompressingEntity.java,org.apache.http.client.entity.TestDecompressingEntity,54,54,0,0,0,0,0,0,3,3,0,54,43,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,undef,-2,0,0,0,0,3,3,3,3,undefined,undef,0,undefined,0,0,undef,0,0,0,0,0.0,2,0,0,0,0,0,0,0,15,0,0,0,0,8,15,0,0,0,0,0,8,9,0
httpclient\src\test\java\org\apache\http\client\entity\TestGZip.java,org.apache.http.client.entity.TestGZip,23,23,0,0,0,0,0,0,1,1,1,23,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,1,1,1,1,0,1,0,0,1,1,undefined,1,1,undefined,0,0,1,1,0,0,0,0.0,2,0,0,0,0,0,0,0,3,0,0,0,0,2,3,0,0,0,1,0,2,6,0
httpclient\src\main\java\org\apache\http\client\entity\UrlEncodedFormEntity.java,org.apache.http.client.entity.UrlEncodedFormEntity,24,24,0,0,0,0,0,0,4,4,6,24,9,1,0,1,0,0,0,4,0,0,1,0,0,1,0.0,0,0,0,0.375,-0.666666666666667,undefined,undefined,0,undefined,6,6,4,3,undefined,0.416666666666667,0.166666666666667,undefined,0,0,-1,undefined,0,0,0,0.0,1,0,0,0,0,0,0,0,6,0,0,0,0,2,6,0,0,0,6,2,2,6,0
fluent-hc\src\main\java\org\apache\http\client\fluent\Async.java,org.apache.http.client.fluent.Async,70,70,0,0,0,0,2,2,7,7,10,70,45,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.238095238095238,-0.0666666666666667,0.666666666666667,0.666666666666667,1,0.666666666666667,20,19,6,2,0.833333333333333,0.634920634920635,0.238095238095238,0.285714285714286,0.666666666666667,0.666666666666667,-1.22124532708767e-015,0.666666666666667,0,0,0,0.0,4,2,0,0,0,0,0,0,5,0,0,0,0,1,5,0,2,0,12,1,1,8,0
fluent-hc\src\main\java\org\apache\http\client\fluent\Content.java,org.apache.http.client.fluent.Content,34,34,0,0,0,0,3,3,6,6,3,34,23,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0,0,0.166666666666667,0.4,0.8,1,2,1,7,0,2,1,0.733333333333333,0.666666666666667,0.6,0.388888888888889,1,1,0,0.8,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,5,0,6,0
fluent-hc\src\main\java\org\apache\http\client\fluent\ContentResponseHandler.java,org.apache.http.client.fluent.ContentResponseHandler,18,18,0,0,0,0,0,0,1,1,1,18,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,1,1,1,1,0,1,0,0,1,1,undefined,1,1,undefined,0,0,1,1,0,0,0,0.0,3,0,0,0,0,0,0,0,6,0,0,0,0,2,6,0,0,0,2,0,2,4,0
fluent-hc\src\main\java\org\apache\http\client\fluent\Executor.java,org.apache.http.client.fluent.Executor,116,116,0,0,0,0,10,10,18,18,27,116,80,0,0,0,0,0,0,18,0,0,0,0,0,0,0.0,0,0,0,0.131944444444444,0.0367647058823529,0.323529411764706,0.588235294117647,4,0.588235294117647,139,125,9,2,0.952941176470588,0.775326797385621,0.143790849673203,0.1,0.882352941176471,0.470588235294118,-0.615384615384614,0.323529411764706,0,0,0,0.0,25,4,0,0,0,0,0,0,34,0,0,0,0,16,34,0,4,0,22,7,16,38,0
