relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
jackrabbit-core/src/test/java/org/apache/jackrabbit/api/security/JackrabbitAccessControlManagerTest.java,org.apache.jackrabbit.api.security.JackrabbitAccessControlManagerTest,58,58,0,0,0,0,54,1,35,5,4,57,38,4,0,4,0,0,0,5,30,0,4,0,0,1,0.0,2,2,0,0.4,1,1,1,0,1,0,0,1,1,0,0.4,1,1,1,1,-1,1,0,0,3,0.0,4,1,0,0,0,0,0,0,8,0,0,0,4,7,4,0,1,0,4,0,4,56,0
jackrabbit-core/src/test/java/org/apache/jackrabbit/api/security/TestAll.java,org.apache.jackrabbit.api.security.TestAll,7,7,0,0,0,0,52,0,23,1,0,6,5,3,0,3,0,0,0,1,22,0,3,0,0,1,0.0,0,0,0,undef,1,1,1,0,1,0,0,1,1,undefined,undef,1,undefined,0,0,undef,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39,0
jackrabbit-core/src/test/java/org/apache/jackrabbit/api/security/principal/PrincipalManagerTest.java,org.apache.jackrabbit.api.security.principal.PrincipalManagerTest,234,234,0,0,0,0,54,2,42,20,3,233,178,3,0,3,0,0,0,20,22,0,3,0,0,1,0.0,1,1,0,0.05,0.684210526315789,0.883333333333333,1,38,1,70,0,4,1,0.421052631578947,0.9,0.715789473684211,0.6,0.894736842105263,0.894736842105263,0,0.866666666666667,0,0,2,0.0,6,1,0,0,0,0,0,0,6,0,0,0,3,5,3,0,1,0,3,0,3,63,1
jackrabbit-core/src/test/java/org/apache/jackrabbit/api/security/principal/TestAll.java,org.apache.jackrabbit.api.security.principal.TestAll,7,7,0,0,0,0,0,0,1,1,0,6,5,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0,0,0,0,undef,1,1,1,0,1,0,0,1,1,undefined,undef,1,undefined,0,0,undef,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
jackrabbit-core/src/test/java/org/apache/jackrabbit/api/security/user/AbstractUserTest.java,org.apache.jackrabbit.api.security.user.AbstractUserTest,86,86,0,0,0,0,53,1,34,12,17,85,56,3,1,3,0,0,0,12,22,0,3,18,18,1,0.0,13,1,12,0.148148148148148,-0.0727272727272727,undefined,undefined,18,undefined,66,66,12,5,1,0.750841750841751,0.106060606060606,0.0833333333333333,0,0,-0.333333333333333,undefined,0,0,1,9740.244922839971,10,0,0,0,520,0,0,0,18,0,0,0,2,10,16,0,0,0,23,0,9,54,1
jackrabbit-api/src/main/java/org/apache/jackrabbit/api/security/user/AuthorizableExistsException.java,org.apache.jackrabbit.api.security.user.AuthorizableExistsException,5,5,0,0,0,0,0,0,1,1,1,5,3,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0,0,0,0,1,1,undefined,undefined,0,undefined,0,0,1,1,undefined,1,1,undefined,0,0,1,undefined,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,0,1,0
jackrabbit-core/src/test/java/org/apache/jackrabbit/api/security/user/AuthorizableTest.java,org.apache.jackrabbit.api.security.user.AuthorizableTest,184,184,0,0,0,0,53,0,47,13,3,184,144,4,0,4,0,0,0,13,34,0,4,0,0,1,0.0,0,0,0,0.230769230769231,-0.181818181818182,0,0,0,0,78,78,13,13,undefined,0.615384615384615,0,undefined,0,0,0,0,0,0,29,0.0,7,0,0,0,0,0,0,0,62,0,0,0,55,33,7,0,0,0,3,0,4,67,2
jackrabbit-core/src/test/java/org/apache/jackrabbit/api/security/user/GroupTest.java,org.apache.jackrabbit.api.security.user.GroupTest,303,303,0,0,0,0,53,0,54,20,8,302,243,4,0,4,0,0,0,20,34,0,4,0,0,1,0.0,0,0,0,0.1,-0.0526315789473684,0.0583333333333333,0.0833333333333333,39,0,190,190,20,12,undefined,0.810526315789474,0.0526315789473684,undefined,0,0,-1,0,0,0,69,0.0,5,0,0,0,0,0,0,0,127,0,0,0,127,69,0,0,0,0,4,0,0,74,1
jackrabbit-core/src/test/java/org/apache/jackrabbit/api/security/user/ImpersonationTest.java,org.apache.jackrabbit.api.security.user.ImpersonationTest,163,163,0,0,0,0,56,3,51,18,2,162,118,4,0,4,1,1,0,17,33,1,4,0,0,1,0.0784313725490196,2,2,0,0.0555555555555556,0.713235294117647,1,1,8,1,44,0,3,1,0.666666666666667,0.888888888888889,0.745098039215686,0.37037037037037,0.882352941176471,0.882352941176471,0,1,0,0,37,0.0,6,1,0,0,0,0,0,0,67,0,0,0,65,39,2,0,1,0,3,0,2,75,1
jackrabbit-core/src/test/java/org/apache/jackrabbit/api/security/user/NestedGroupTest.java,org.apache.jackrabbit.api.security.user.NestedGroupTest,126,126,0,0,0,0,54,1,43,10,6,125,100,4,0,4,1,1,0,9,33,1,4,0,0,1,0.0930232558139535,2,2,0,0.2,0.194444444444444,1,1,88,0,45,45,10,3,1.11111111111111,0.659259259259259,0.355555555555556,0,0,0,-0.333333333333333,0,0,0,16,0.0,7,1,0,0,0,0,0,0,22,0,0,0,21,17,1,0,1,0,1,0,1,64,1
jackrabbit-core/src/test/java/org/apache/jackrabbit/api/security/user/TestAll.java,org.apache.jackrabbit.api.security.user.TestAll,14,14,0,0,0,0,0,0,1,1,0,14,12,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0,0,0,0,undef,1,1,1,0,1,0,0,1,1,undefined,undef,1,undefined,0,0,undef,1,0,0,0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
jackrabbit-core/src/test/java/org/apache/jackrabbit/api/security/user/UserManagerCreateGroupTest.java,org.apache.jackrabbit.api.security.user.UserManagerCreateGroupTest,89,89,0,0,0,0,55,2,42,8,8,88,66,4,0,4,0,0,0,8,34,0,4,0,0,1,0.0,1,1,0,0.175,0.619047619047619,1,1,14,1,13,0,3,1,0.642857142857143,0.678571428571429,0.714285714285714,0.4375,0.714285714285714,0,-1,1,0,0,7,0.0,5,2,0,0,0,0,0,0,9,0,0,0,9,7,0,0,2,0,8,0,0,62,1
jackrabbit-core/src/test/java/org/apache/jackrabbit/api/security/user/UserManagerCreateUserTest.java,org.apache.jackrabbit.api.security.user.UserManagerCreateUserTest,191,191,0,0,0,0,55,2,52,18,19,191,142,4,0,4,0,0,0,18,34,0,4,0,0,1,0.0,1,1,0,0.144444444444444,0.875,1,1,77,1,33,0,3,1,0.558823529411765,0.758169934640523,0.888888888888889,0.472222222222222,0.882352941176471,0,-0.440000000000002,1,0,0,32,0.0,5,2,0,0,0,0,0,0,88,0,0,0,88,32,0,0,2,0,19,0,0,72,2
jackrabbit-core/src/test/java/org/apache/jackrabbit/api/security/user/UserManagerTest.java,org.apache.jackrabbit.api.security.user.UserManagerTest,22,22,0,0,0,0,53,0,36,2,0,21,18,4,0,4,0,0,0,2,34,0,4,0,0,1,0.0,0,0,0,undef,0,0,0,0,0,1,1,2,2,undefined,undef,0,undefined,0,0,undef,0,0,0,2,0.0,3,0,0,0,0,0,0,0,4,0,0,0,4,2,0,0,0,0,0,0,0,56,1
jackrabbit-core/src/test/java/org/apache/jackrabbit/api/security/user/UserTest.java,org.apache.jackrabbit.api.security.user.UserTest,59,59,0,0,0,0,54,1,40,6,1,59,43,4,0,4,0,0,0,6,34,0,4,0,0,1,0.0,0,0,0,0.166666666666667,-0.5,0,0,0,0,15,15,6,6,1.2,0.666666666666667,0,0,0,0,0,0,0,0,15,0.0,4,1,0,0,0,0,0,0,36,0,0,0,25,22,11,0,1,0,1,0,7,63,1
