relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
tests/MissingTranslations.java,MissingTranslations,31,31,0,0,0,0,2,2,2,2,3,31,21,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.5,1,1,1,9,1,1,1,2,1,1,0,1,0.5,1,0,0,1,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,2,0
tests/SamplePlugin2.java,SamplePlugin2,13,13,0,0,0,0,0,0,2,2,3,13,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.5,0,0,0,0,0,1,1,2,2,undefined,0,0,undefined,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0
tests/com/ecyrd/jspwiki/AllTests.java,com.ecyrd.jspwiki.AllTests,56,56,0,0,0,0,2,2,2,2,1,56,40,1,0,1,0,0,0,2,0,0,1,0,0,1,0.0,0,0,0,0.5,0,1,1,0,1,1,1,2,2,2,0,0,0,0,0,0,1,0,0,0,0.0,28,2,0,0,0,0,0,0,27,0,0,0,0,27,27,0,2,0,2,0,27,12,0
src/com/ecyrd/jspwiki/FileUtil.java,com.ecyrd.jspwiki.FileUtil,164,164,0,0,0,0,2,2,9,9,16,164,95,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0,0,0,0,0.180555555555556,-0.107142857142857,0.392857142857143,0.535714285714286,6,0.535714285714286,34,32,7,4,0.875,0.694444444444444,0.138888888888889,0.222222222222222,0.625,0,-0.400000000000002,0.392857142857143,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,24,0,9,0
tests/com/ecyrd/jspwiki/FileUtilTest.java,com.ecyrd.jspwiki.FileUtilTest,79,79,0,0,0,0,0,0,9,9,3,79,41,1,0,1,0,0,0,9,0,0,1,0,0,1,0.0,0,0,0,0.166666666666667,-0.285714285714286,0,0,0,0,36,36,9,9,undefined,0.694444444444444,0,undefined,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,22,0,0,0,0,6,22,0,0,0,4,1,6,16,0
src/com/ecyrd/jspwiki/InternalWikiException.java,com.ecyrd.jspwiki.InternalWikiException,8,8,0,0,0,0,1,1,1,1,1,8,4,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0,0,0,0,1,1,undefined,undefined,0,undefined,0,0,1,1,0,1,1,0,0,0,1,undefined,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,1,0
src/com/ecyrd/jspwiki/LinkCollector.java,com.ecyrd.jspwiki.LinkCollector,14,14,0,0,0,0,1,1,2,2,2,14,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.5,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,11,0,2,0
src/com/ecyrd/jspwiki/NoRequiredPropertyException.java,com.ecyrd.jspwiki.NoRequiredPropertyException,9,9,0,0,0,0,2,1,2,1,2,9,4,2,0,2,0,0,0,1,1,0,2,0,0,1,0.0,0,0,0,1,1,undefined,undefined,0,undefined,0,0,1,1,0,1,1,0,0,0,1,undefined,0,0,1,0.0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,10,2,10,0,2,0
src/com/ecyrd/jspwiki/NoSuchVariableException.java,com.ecyrd.jspwiki.NoSuchVariableException,9,9,0,0,0,0,2,1,2,1,1,9,4,2,0,2,0,0,0,1,1,0,2,0,0,1,0.0,0,0,0,1,1,undefined,undefined,0,undefined,0,0,1,1,0,1,1,0,0,0,1,undefined,0,0,1,0.0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,9,1,1,0,2,0
src/com/ecyrd/jspwiki/PageLock.java,com.ecyrd.jspwiki.PageLock,40,40,0,0,0,0,5,5,6,6,4,40,22,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0,0,0.166666666666667,0.1,0.1,0.1,0,0.1,9,3,1,1,0.84,0.666666666666667,0.4,0.3,1,1,0,0.1,0,0,0,0.0,1,4,0,0,0,0,0,0,1,0,0,0,0,1,1,0,4,3,8,9,1,7,0
