relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
exception/src/main/java/java/lang/Exception.java,java.lang.Exception,104,104,0,0,0,0,2,2,8,8,9,104,79,1,1,1,0,0,0,8,0,0,1,8,8,1,0.0,0,0,0,0.25,0.0476190476190476,1,1,5,1,25,22,6,1,0.928571428571429,0.607142857142857,0.285714285714286,0.1875,1,0.285714285714286,-0.333333333333332,1,0,3,0,4501.78608831114,1,1,0,3,21,0,0,0,4,0,0,0,0,2,4,1,1,436,3,74,2,10,0
services/eventadmin/src/main/java/org/apache/felix/eventadmin/impl/Configuration.java,org.apache.felix.eventadmin.impl.Configuration,393,393,0,0,0,0,27,27,11,11,20,393,198,0,0,0,0,0,0,11,0,0,0,0,0,0,0.0,0,0,0,0.163636363636364,0.155555555555556,0.333333333333333,0.333333333333333,76,0.333333333333333,43,31,6,2,0.885185185185185,0.716363636363636,0.309090909090909,0.195286195286195,0.5,0.5,-0.714285714285717,0.333333333333333,0,0,0,0.0,1,19,0,0,0,0,0,0,18,0,0,0,0,3,18,0,19,0,11,0,3,15,0
services/eventadmin/src/main/java/org/apache/felix/eventadmin/impl/handler/EventAdminImpl.java,org.apache.felix.eventadmin.impl.handler.EventAdminImpl,122,122,0,0,0,0,7,7,9,9,21,122,74,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0,0,0,0,0.194444444444444,0.428571428571429,1,1,16,1,23,10,2,1,0.785714285714286,0.673611111111111,0.555555555555556,0.301587301587302,0.875,0.875,-0.599999999999999,1,0,0,0,0.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,14,3,0,9,0
shell/console/src/main/java/org/apache/felix/gogo/commands/CommandException.java,org.apache.felix.gogo.commands.CommandException,28,28,0,0,0,0,3,1,14,7,9,28,17,2,0,2,0,0,0,7,7,0,2,0,0,1,0.0,0,0,0,0.5,-0.2,1,1,0,1,18,15,5,5,0.666666666666667,0.428571428571429,0.142857142857143,0.428571428571429,0.333333333333333,0.166666666666667,-1,1,0,3,5,0.0,1,1,0,0,0,0,0,0,12,0,0,0,12,5,0,0,1,0,7,14,0,17,0
shell/console/src/main/java/org/apache/felix/gogo/commands/basic/AbstractCommand.java,org.apache.felix.gogo.commands.basic.AbstractCommand,23,23,0,0,0,0,0,0,5,5,3,23,14,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0,0.2,0,0.166666666666667,0.166666666666667,5,0,10,10,5,1,undefined,0.6,0.4,undefined,0,0,0,0,0,0,0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0
shell/console/src/main/java/org/apache/felix/gogo/commands/basic/DefaultActionPreparator.java,org.apache.felix.gogo.commands.basic.DefaultActionPreparator,475,475,0,0,0,0,1,1,10,10,35,482,294,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0,0,0,0.2,0.0277777777777778,0.5,0.5,57,0,44,43,9,1,0.888888888888889,0.691851851851852,0.222222222222222,0.2,0.111111111111111,0,-0.372549019607843,0,0,0,0,0.0,10,0,0,0,0,0,0,0,53,0,0,0,0,23,53,0,0,0,27,0,23,52,0
shell/console/src/main/java/org/apache/felix/gogo/commands/converter/DefaultConverter.java,org.apache.felix.gogo.commands.converter.DefaultConverter,316,316,0,0,0,0,2,2,18,18,41,316,238,0,0,0,0,0,0,18,0,0,0,0,0,0,0.0,0,0,0,0.205555555555556,0.0514705882352941,1,1,88,1,152,151,17,1,0.970588235294118,0.726143790849673,0.156862745098039,0.0833333333333333,0.529411764705882,0.294117647058824,-0.312101910828026,1,0,0,0,0.0,3,1,0,0,0,0,0,0,68,0,0,0,0,31,68,0,1,0,25,2,31,35,0
shell/console/src/main/java/org/apache/felix/gogo/commands/converter/GenericType.java,org.apache.felix.gogo.commands.converter.GenericType,144,144,0,0,0,0,5,3,11,9,9,144,110,1,0,1,2,2,0,7,2,2,1,0,0,1,0.18181818181818202,0,0,0,0.166666666666667,0.142857142857143,0.333333333333333,0.333333333333333,17,0.285714285714286,30,24,6,1,0.875,0.722222222222222,0.333333333333333,0.222222222222222,0.75,0.625,1,0.285714285714286,0,0,5,0.0,0,3,0,0,0,0,0,0,7,0,0,0,7,5,0,0,1,0,7,9,0,12,0
shell/console/src/main/java/org/apache/felix/gogo/commands/converter/ReifiedType.java,org.apache.felix.gogo.commands.converter.ReifiedType,16,16,0,0,0,0,2,2,4,4,2,16,11,0,1,0,2,0,2,4,0,0,0,1,1,0,0.0,0,0,0,0.25,-0.666666666666667,0,0,0,0,5,4,3,3,0.833333333333333,0.5,0.166666666666667,0.375,0.333333333333333,0.333333333333333,0,0,0,0,0,47.6555399061238,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,12,0,4,0
webconsole/console/src/main/java/org/apache/felix/webconsole/internal/servlet/JaasSecurityProvider.java,org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider,158,158,0,0,0,0,6,6,13,13,22,158,104,0,0,0,0,0,0,13,0,0,0,0,0,0,0.0,0,0,0,0.132867132867133,0.136363636363636,0.666666666666667,0.777777777777778,28,0.777777777777778,61,44,6,2,0.861111111111111,0.787878787878788,0.269230769230769,0.205128205128205,0.75,0.5,0.0714285714285707,0.666666666666667,0,0,0,0.0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,26,1,0,13,0
