relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
main\java\org\apache\commons\lang3\AnnotationUtils.java,org.apache.commons.lang3.AnnotationUtils,209,209,0,0,0,0,1,1,10,10,22,209,142,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0,0,0,0.225,-0.0555555555555556,0,0,31,0,45,45,10,4,1,0.644444444444444,0.155555555555556,0.1,0,0,-0.705882352941178,0,0,0,0,0.0,3,1,0,0,0,0,0,0,12,0,0,0,0,4,12,0,1,0,15,14,4,34,0
test\java\org\apache\commons\lang3\AnnotationUtilsTest.java,org.apache.commons.lang3.AnnotationUtilsTest,444,444,0,0,0,0,8,8,11,11,0,455,131,0,0,0,0,0,0,11,0,0,0,0,0,0,0.0,0,0,0,undef,0.111111111111111,0.272727272727273,0.272727272727273,0,0.272727272727273,40,25,6,6,0.95,undef,0.272727272727273,0.136363636363636,0.5,0.5,undef,0.272727272727273,0,0,0,0.0,5,4,0,0,0,0,0,0,48,0,0,0,0,14,48,0,4,0,0,0,14,17,0
main\java\org\apache\commons\lang3\ArchUtils.java,org.apache.commons.lang3.ArchUtils,56,56,0,0,0,0,1,1,11,11,5,56,41,0,0,0,0,0,0,11,0,0,0,0,0,0,0.0,0,0,0,0.151515151515152,0.111111111111111,1,1,27,1,54,53,10,1,0.9,0.721212121212121,0.272727272727273,0.181818181818182,1,0,-1,1,0,0,0,0.0,4,1,0,0,0,0,0,0,18,0,0,0,0,6,18,0,1,0,4,20,6,12,0
test\java\org\apache\commons\lang3\ArchUtilsTest.java,org.apache.commons.lang3.ArchUtilsTest,102,102,0,0,0,0,6,6,8,8,8,102,89,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.333333333333333,0.238095238095238,1,1,63,1,22,16,5,1,0.690476190476191,0.523809523809524,0.428571428571429,0.395833333333333,0.428571428571429,0,-0.75,1,0,0,0,0.0,4,0,0,0,0,0,0,0,65,0,0,0,0,45,65,0,0,0,8,0,45,16,0
main\java\org\apache\commons\lang3\ArrayUtils.java,org.apache.commons.lang3.ArrayUtils,3250,3250,0,0,0,0,20,20,320,320,651,3250,2489,0,0,0,0,0,0,320,0,0,0,0,0,0,0.0,0,0,0,0.0385869565217391,0.0221801620630508,0.146513964235483,0.360799678521197,582,0.0391802290536468,49853,48666,239,57,0.98730407523511,0.931969810549271,0.0282915360501567,0.01578125,0.181818181818182,0,-0.780904287924339,0.0359654410287322,0,0,0,0.0,9,9,0,0,0,0,0,0,71,0,0,0,0,43,71,0,9,0,94,1971,43,443,1
test\java\org\apache\commons\lang3\ArrayUtilsAddTest.java,org.apache.commons.lang3.ArrayUtilsAddTest,392,392,0,0,0,0,0,0,13,13,0,392,361,0,0,0,0,0,0,13,0,0,0,0,0,0,0.0,0,0,0,undef,-0.181818181818182,0,0,0,0,78,78,13,13,undefined,undef,0,undefined,0,0,undef,0,0,0,0,0.0,1,0,0,0,0,0,0,0,346,0,0,0,0,99,346,0,0,0,0,0,99,51,0
test\java\org\apache\commons\lang3\ArrayUtilsInsertTest.java,org.apache.commons.lang3.ArrayUtilsInsertTest,175,175,0,0,0,0,0,0,9,9,0,175,156,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0,0,0,0,undef,-0.285714285714286,0,0,0,0,36,36,9,9,undefined,undef,0,undefined,0,0,undef,0,0,0,0,0.0,1,0,0,0,0,0,0,0,260,0,0,0,0,65,260,0,0,0,0,0,65,27,0
test\java\org\apache\commons\lang3\ArrayUtilsRemoveMultipleTest.java,org.apache.commons.lang3.ArrayUtilsRemoveMultipleTest,945,945,0,0,0,0,0,0,55,55,0,945,831,0,0,0,0,0,0,55,0,0,0,0,0,0,0.0,0,0,0,undef,-0.0377358490566038,0,0,0,0,1485,1485,55,55,undefined,undef,0,undefined,0,0,undef,0,0,0,0,0.0,1,0,0,0,0,0,0,0,729,0,0,0,0,243,729,0,0,0,0,0,243,98,0
test\java\org\apache\commons\lang3\ArrayUtilsRemoveTest.java,org.apache.commons.lang3.ArrayUtilsRemoveTest,488,488,0,0,0,0,0,0,28,28,0,488,428,0,0,0,0,0,0,28,0,0,0,0,0,0,0.0,0,0,0,undef,-0.0769230769230769,0,0,0,0,378,378,28,28,undefined,undef,0,undefined,0,0,undef,0,0,0,0,0.0,1,0,0,0,0,0,0,0,414,0,0,0,0,138,414,0,0,0,0,0,138,79,0
test\java\org\apache\commons\lang3\ArrayUtilsTest.java,org.apache.commons.lang3.ArrayUtilsTest,3847,3847,0,0,0,0,1,1,310,310,4,3847,3061,0,0,0,0,0,0,310,0,0,0,0,0,0,0.0,0,0,0,0.0032258064516129,-0.00567393771277266,0.000782605017132704,0.000782605017132704,36,0.000761453530183172,47859,47823,302,299,0.97411003236246,0.993548387096774,0.000814281240212966,0.0290322580645161,0.0258899676375405,0,0,0.000761453530183172,0,0,0,0.0,5,0,0,0,0,0,0,0,4237,0,0,0,0,1317,4237,0,0,0,2,0,1317,635,1
