relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
maven-core/src/main/java/org/apache/maven/BuildFailureException.java,org.apache.maven.BuildFailureException,12,12,0,0,0,0,0,0,2,2,3,12,5,1,0,1,0,0,0,2,0,0,1,0,0,1,0.0,0,0,0,0.75,0,undefined,undefined,0,undefined,1,1,2,2,undefined,0.5,0,undefined,0,0,0,undefined,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,2,0
maven-core/src/main/java/org/apache/maven/ConfigurationInterpolationException.java,org.apache.maven.ConfigurationInterpolationException,13,13,0,0,0,0,1,1,2,2,3,13,6,1,0,1,0,0,0,2,0,0,1,0,0,1,0.0,0,0,0,0.75,0,undefined,undefined,0,undefined,1,1,2,2,2,0.5,0,0,0,0,0,undefined,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,2,0
maven-core/src/main/java/org/apache/maven/DefaultMaven.java,org.apache.maven.DefaultMaven,659,659,0,0,0,0,8,8,26,26,58,659,362,1,0,1,0,0,0,26,0,0,1,0,0,1,0.0,0,0,0,0.0741758241758242,0.0666666666666667,0.666666666666667,1,124,1,317,309,21,1,0.975,0.864835164835165,0.138461538461538,0.0625,0.64,0.16,-0.773333333333333,0.666666666666667,0,0,0,0.0,29,2,0,0,0,0,0,0,141,0,0,0,0,69,141,0,2,0,47,0,69,91,3
maven-core/src/main/java/org/apache/maven/MavenArtifactFilterManager.java,org.apache.maven.MavenArtifactFilterManager,49,49,0,0,0,0,0,0,3,3,0,49,41,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,undef,0,1,1,2,0,3,3,3,1,undefined,undef,0.666666666666667,undefined,0,0,undef,0,0,0,0,0.0,2,0,0,0,0,0,0,0,4,0,0,0,0,2,4,0,0,0,1,1,2,4,0
maven-core/src/test/java/org/apache/maven/MavenTestUtils.java,org.apache.maven.MavenTestUtils,19,19,0,0,0,0,0,0,3,3,4,19,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.333333333333333,-2,0,0,0,0,3,3,3,3,undefined,0.333333333333333,0,undefined,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0
maven-core/src/main/java/org/apache/maven/ReflectionConfigurationInterpolator.java,org.apache.maven.ReflectionConfigurationInterpolator,18,18,0,0,0,0,8,0,17,1,4,18,6,3,0,3,0,0,0,1,16,0,3,0,0,1,0.0,2,2,0,1,1,1,1,0,1,0,0,1,1,undefined,1,1,undefined,0,0,1,1,0,0,1,0.0,4,0,0,0,0,0,0,0,12,0,0,0,6,5,6,0,0,0,2,0,4,27,0
maven-core/src/main/java/org/apache/maven/SettingsConfigurationException.java,org.apache.maven.SettingsConfigurationException,29,29,0,0,0,0,2,2,5,5,7,29,15,1,0,1,0,0,0,5,0,0,1,0,0,1,0.0,0,0,0,0.4,-0.333333333333333,0,0,0,0,8,6,3,3,0.75,0.466666666666667,0.2,0.4,0.5,0.5,-0.333333333333333,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,0,5,0
maven-artifact-manager/src/test/java/org/apache/maven/artifact/AbstractArtifactComponentTestCase.java,org.apache.maven.artifact.AbstractArtifactComponentTestCase,167,167,0,0,0,0,0,0,21,21,24,167,86,1,1,1,4,0,4,21,0,0,1,3,3,1,0.0,1,0,1,0.253968253968254,0.0105263157894737,undefined,undefined,34,undefined,210,210,21,3,undefined,0.641269841269841,0.104761904761905,undefined,0,0,-0.571428571428573,undefined,0,0,0,3077.24128623819,6,0,0,0,44,0,0,0,20,0,0,0,0,6,20,0,0,0,16,0,6,25,0
maven-artifact/src/main/java/org/apache/maven/artifact/ArtifactStatus.java,org.apache.maven.artifact.ArtifactStatus,58,58,0,0,0,0,9,9,6,6,5,58,35,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0,0,0.277777777777778,0.3,0.3,0.3,0,0.3,7,0,1,1,1,0.533333333333333,0.533333333333333,0.166666666666667,1,1,-1,0.3,0,0,0,0.0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,0,6,0
maven-artifact/src/main/java/org/apache/maven/artifact/ArtifactUtils.java,org.apache.maven.artifact.ArtifactUtils,95,95,0,0,0,0,0,0,10,10,17,95,53,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0,0,0,0.225,-0.138888888888889,0.0357142857142857,0.0357142857142857,6,0,45,45,10,6,undefined,0.638888888888889,0.0888888888888889,undefined,0,0,-0.555555555555557,0,0,0,0,0.0,3,0,0,0,0,0,0,0,30,0,0,0,0,12,30,0,0,0,22,25,12,30,0
