relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
openmeetings-web/src/test/java/org/apache/openmeetings/AbstractJUnitDefaults.java,org.apache.openmeetings.AbstractJUnitDefaults,160,160,0,0,0,0,16,16,22,20,25,160,126,2,2,2,3,0,3,20,2,0,2,22,43,1,0.0,0,0,0,0.1375,0.0584795321637427,0.525,0.875,24,0.65,178,166,14,2,0.980263157894737,0.769736842105263,0.152631578947368,0.06875,0.6842105263157889,0.0,-0.670588235294117,0.45,0,0,0,51570.397633015804,17,15,0,0,52,0,0,0,104,0,0,0,0,52,104,0,15,0,41,0,52,326,0
openmeetings-web/src/test/java/org/apache/openmeetings/AbstractSpringTest.java,org.apache.openmeetings.AbstractSpringTest,18,18,0,0,0,0,0,0,2,2,0,18,12,1,3,1,0,0,0,2,0,0,1,2,46,1,0.0,0,0,0,undef,1.0,0,0,1,0,1,1,2,1,undefined,undef,1.0,undefined,0.0,0.0,undef,0,0,0,0,4247.7515052581,2,0,0,0,0,0,0,0,7,0,0,0,0,5,7,0,0,0,0,4,5,12,0
openmeetings-web/src/test/java/org/apache/openmeetings/AbstractWicketTester.java,org.apache.openmeetings.AbstractWicketTester,100,100,0,0,0,0,20,4,34,14,20,100,74,3,1,3,1,1,0,13,20,1,3,13,13,1,0.0882352941176471,0,0,0,0.173469387755102,0.0641025641025641,0.205128205128205,0.461538461538462,7,0.269230769230769,80,69,9,2,0.942307692307692,0.73469387755102,0.19780219780219802,0.125,0.538461538461538,0.384615384615385,-0.380952380952382,0.166666666666667,0,0,1,10232.8793313357,8,4,0,0,18,0,0,0,25,0,0,0,1,9,24,0,4,0,24,13,8,362,0
openmeetings-core/src/test/java/org/apache/openmeetings/EditorPaneLinkDetector.java,org.apache.openmeetings.EditorPaneLinkDetector,155,155,0,0,0,0,2,2,1,1,0,155,105,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0,0,0,0,undef,1.0,undefined,undefined,0,undefined,0,0,1,1,0,undef,1.0,0,0.0,0.0,undef,undefined,0,0,0,0.0,2,1,0,0,0,0,0,0,2,0,0,0,0,1,2,0,1,0,0,0,1,2,0
openmeetings-core/src/test/java/org/apache/openmeetings/TestConnection.java,org.apache.openmeetings.TestConnection,5,5,0,0,0,0,0,0,1,1,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,undef,1.0,1,1,0,1,0,0,1,1,undefined,undef,1.0,undefined,0.0,0.0,undef,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
openmeetings-install/src/main/java/org/apache/openmeetings/backup/BackupException.java,org.apache.openmeetings.backup.BackupException,6,6,0,0,0,0,1,1,1,1,1,6,4,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0,0,0,0,1,1.0,undefined,undefined,0,undefined,0,0,1,1,0,1,1.0,0,0.0,0.0,1,undefined,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0
openmeetings-install/src/main/java/org/apache/openmeetings/backup/BackupExport.java,org.apache.openmeetings.backup.BackupExport,336,336,0,0,0,0,18,18,28,28,69,336,270,0,0,0,0,0,0,28,0,0,0,0,0,0,0.0,0,0,0,0.173469387755102,0.102564102564103,1,1,247,1,372,366,24,1,0.991769547325103,0.810279667422525,0.166666666666667,0.0436507936507936,0.8888888888888891,0.0,-0.0897435897435902,1,0,0,0,0.0,46,18,0,0,0,0,0,0,65,0,0,0,0,40,65,0,18,0,70,1,40,90,0
openmeetings-install/src/main/java/org/apache/openmeetings/backup/BackupImport.java,org.apache.openmeetings.backup.BackupImport,1274,1274,0,0,0,0,32,32,41,41,80,1274,1002,0,0,0,0,0,0,41,0,0,0,0,0,0,0.0,0,0,0,0.103299856527977,0.43974358974359007,0.6,0.6,209,0.6,457,94,13,2,0.9359375,0.871305595408895,0.46707317073170707,0.086890243902439,0.8,0.0,0.0340632603406337,0.6,0,0,0,0.0,83,32,0,0,0,0,0,0,555,0,0,0,0,364,555,1,32,0,99,2,364,420,1
openmeetings-install/src/main/java/org/apache/openmeetings/backup/BackupVersion.java,org.apache.openmeetings.backup.BackupVersion,104,104,0,0,0,0,4,4,12,12,6,104,69,0,0,0,0,0,0,12,0,0,0,0,0,0,0.0,0,0,0,0.125,0.6,0.818181818181818,1,2,1,23,0,2,1,0.613636363636364,0.772727272727273,0.666666666666667,0.4375,1.0,0.6363636363636359,1,0.818181818181818,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2,31,1,13,0
openmeetings-install/src/main/java/org/apache/openmeetings/backup/FileTree.java,org.apache.openmeetings.backup.FileTree,47,47,0,0,0,0,2,2,5,5,4,47,32,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0,0.266666666666667,0.5,1,1,2,1,4,0,2,1,0.375,0.533333333333333,0.7,0.7,1.0,0.75,0,1,0,0,0,0.0,1,2,0,0,0,0,0,0,10,0,0,0,0,9,10,0,2,1,5,4,9,10,0
