relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
proton-proton-0.4/proton-c/bindings/php/proton.php,Binary,9,9,0,0,0,0,0,0,2,2,1,9,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.5,0,0,0,0,0,1,1,2,2,undefined,0,0,undefined,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3
proton-proton-0.4/proton-c/mllib/__init__.py,mllib.Resolver,11,11,0,0,0,0,1,0,2,2,5,11,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,1,1,2,2,undefined,1,0,undefined,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
proton-proton-0.4/proton-c/mllib/dom.py,mllib.dom.Adder,3,3,0,0,0,0,0,0,1,1,2,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,1,1,1,1,0,1,0,0,1,1,undefined,1,1,undefined,0,0,1,1,0,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
proton-proton-0.4/proton-c/mllib/parsers.py,mllib.parsers.Parser,37,37,0,0,0,0,3,0,10,10,22,37,36,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0,0,0,1,-0.0833333333333333,0.222222222222222,0.222222222222222,18,0,45,45,10,4,undefined,1,0.133333333333333,undefined,0,0,1,0,0,0,0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
proton-proton-0.4/proton-c/mllib/transforms.py,mllib.transforms.Empty,11,11,0,0,0,0,0,0,5,5,10,11,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0,1,-0.666666666666667,0,0,0,0,10,10,5,5,undefined,1,0,undefined,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
proton-proton-0.4/tests/java/org/apache/qpid/proton/JythonTest.java,org.apache.qpid.proton.JythonTest,87,87,0,0,0,0,5,5,5,5,4,88,48,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0,0.266666666666667,0.166666666666667,1,1,7,1,7,4,3,1,0.9,0.533333333333333,0.5,0.28,1,0,0,1,0,0,0,0.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,5,1
proton-proton-0.4/proton-j/proton-api/src/main/java/org/apache/qpid/proton/ProtonException.java,org.apache.qpid.proton.ProtonException,18,18,0,0,0,0,0,0,4,4,4,18,8,1,1,1,0,0,0,4,0,0,1,2,2,1,0.0,0,0,0,0.5,-1,0,0,0,0,6,6,4,4,undefined,0.333333333333333,0,undefined,0,0,-1,0,0,0,0,123.09870932758899,0.0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
proton-proton-0.4/proton-j/proton-api/src/main/java/org/apache/qpid/proton/ProtonFactoryLoader.java,org.apache.qpid.proton.ProtonFactoryLoader,35,35,0,0,0,0,2,2,4,4,2,35,19,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0.5,-0.333333333333333,0.333333333333333,0.5,0,0.5,5,4,3,2,0.833333333333333,0.333333333333333,0.333333333333333,0.375,0.666666666666667,0.333333333333333,0,0.333333333333333,0,0,0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,13,0,4,1
proton-proton-0.4/proton-j/proton-api/src/main/java/org/apache/qpid/proton/ProtonUnsupportedOperationException.java,org.apache.qpid.proton.ProtonUnsupportedOperationException,19,19,0,0,0,0,1,1,4,4,4,19,9,1,0,1,0,0,0,4,0,0,1,0,0,1,0.0,0,0,0,0.5,-1,0,0,0,0,6,6,4,4,1.33333333333333,0.333333333333333,0,0,0,0,-1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,4,0
proton-proton-0.4/proton-j/proton-api/src/main/java/org/apache/qpid/proton/amqp/Binary.java,org.apache.qpid.proton.amqp.Binary,129,129,0,0,0,0,4,4,12,12,9,129,79,0,0,0,0,0,0,12,0,0,0,0,0,0,0.0,0,0,0,0.116666666666667,0.618181818181818,0.954545454545455,1,13,1,25,0,3,1,0.545454545454545,0.778787878787879,0.681818181818182,0.5,1,0.818181818181818,-1,0.954545454545455,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,63,4,77,0,12,1
