relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
maven-scm-api/src/main/java/org/apache/maven/scm/AbstractScmVersion.java,org.apache.maven.scm.AbstractScmVersion,25,25,0,0,0,0,1,1,4,4,2,25,12,0,2,0,0,0,0,4,0,0,0,2,3,0,0.0,0,0,0,0.5,0,1,1,3,1,5,4,3,1,0.666666666666667,0.333333333333333,0.5,0.5,1,0.666666666666667,0,1,0,0,0,242.115327187145,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,0,4,0
maven-scm-api/src/main/java/org/apache/maven/scm/ChangeFile.java,org.apache.maven.scm.ChangeFile,39,39,0,0,0,0,2,2,7,7,5,39,21,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.571428571428571,0.0666666666666667,0.6,1,9,1,19,17,5,1,0.833333333333333,0.428571428571429,0.333333333333333,0.285714285714286,1,0.5,0,0.6,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,11,8,39,0,7,0
maven-scm-api/src/test/java/org/apache/maven/scm/ChangeFileTest.java,org.apache.maven.scm.ChangeFileTest,18,18,0,0,0,0,0,0,2,2,0,18,11,1,0,1,0,0,0,2,0,0,1,0,0,1,0.0,0,0,0,undef,0,0,0,0,0,1,1,2,2,undefined,undef,0,undefined,0,0,undef,0,0,0,0,0.0,1,0,0,0,0,0,0,0,11,0,0,0,0,8,11,0,0,0,0,0,8,9,0
maven-scm-api/src/main/java/org/apache/maven/scm/ChangeSet.java,org.apache.maven.scm.ChangeSet,296,296,0,0,0,0,17,17,22,22,30,296,152,0,1,0,1,0,1,22,0,0,0,1,1,0,0.0,0,0,0,0.116883116883117,0.142857142857143,0.450980392156863,1,28,1,194,157,9,2,0.957983193277311,0.807050092764378,0.220779220779221,0.0855614973262032,0.904761904761905,0.523809523809524,-0.294117647058825,0.450980392156863,0,0,0,1690.43241541409,2,17,0,0,5,0,0,0,4,0,0,0,0,4,4,10,17,12,38,139,4,25,0
maven-scm-api/src/test/java/org/apache/maven/scm/ChangeSetTest.java,org.apache.maven.scm.ChangeSetTest,74,74,0,0,0,0,1,1,13,13,3,74,45,1,0,1,0,0,0,13,0,0,1,0,0,1,0.0,0,0,0,0.0769230769230769,0.848484848484849,0.846153846153846,0.846153846153846,8,0.846153846153846,12,0,2,1,0.0833333333333333,0.846153846153846,0.871794871794872,0.923076923076923,0.916666666666667,0.916666666666667,0,0.846153846153846,0,0,0,0.0,2,1,0,0,0,0,0,0,30,0,0,0,0,21,30,0,1,0,1,0,21,31,0
maven-scm-api/src/main/java/org/apache/maven/scm/CommandParameter.java,org.apache.maven.scm.CommandParameter,31,31,0,0,0,0,19,19,2,2,1,31,24,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.5,1,1,1,0,1,0,0,1,1,1.89473684210526,0,1,0.0526315789473684,1,1,0,1,0,0,0,0.0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,6,0,2,1
maven-scm-api/src/main/java/org/apache/maven/scm/CommandParameters.java,org.apache.maven.scm.CommandParameters,129,129,0,0,0,0,1,1,18,18,31,129,58,0,0,0,0,0,0,18,0,0,0,0,0,0,0.0,0,0,0,0.215277777777778,0,1,1,53,1,152,151,17,1,0.941176470588235,0.829248366013072,0.111111111111111,0.111111111111111,1,0,0.767441860465116,1,0,0,0,0.0,3,1,0,0,0,0,0,0,14,0,0,0,0,10,14,0,1,28,31,61,10,20,1
maven-scm-api/src/main/java/org/apache/maven/scm/NoSuchCommandScmException.java,org.apache.maven.scm.NoSuchCommandScmException,13,13,0,0,0,0,1,1,4,2,1,13,6,2,0,2,0,0,0,2,2,0,2,0,0,1,0.0,0,0,0,0.5,0,1,1,0,1,1,1,2,2,1,0,0,0.5,0,0,0,1,0,0,1,0.0,0,1,0,0,0,0,0,0,2,0,0,0,2,1,0,0,1,0,2,12,0,4,0
maven-scm-api/src/main/java/org/apache/maven/scm/ScmBranch.java,org.apache.maven.scm.ScmBranch,12,12,0,0,0,0,1,0,6,2,1,12,5,1,1,1,1,0,1,2,4,0,1,1,1,1,0.0,0,0,0,0.5,0,1,1,0,1,1,1,2,2,undefined,0,0,undefined,0,0,0,1,0,0,1,25.6,0,0,0,0,1,0,0,0,2,0,0,0,2,1,0,0,0,22,2,25,0,6,0
maven-scm-api/src/main/java/org/apache/maven/scm/ScmException.java,org.apache.maven.scm.ScmException,12,12,0,0,0,0,0,0,2,2,3,12,5,1,1,1,0,0,0,2,0,0,1,3,3,1,0.0,0,0,0,0.75,0,undefined,undefined,0,undefined,1,1,2,2,undefined,0.5,0,undefined,0,0,0,undefined,0,0,0,120.648063991383,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,25,3,167,0,2,0
maven-scm-api/src/main/java/org/apache/maven/scm/ScmFile.java,org.apache.maven.scm.ScmFile,39,39,0,0,0,0,2,2,7,7,4,39,20,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.19047619047619,0.733333333333333,0.733333333333333,1,2,1,4,0,1,1,0.416666666666667,0.650793650793651,0.80952380952381,0.642857142857143,1,1,0,0.733333333333333,0,0,0,0.0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,1,5,184,1,8,0
maven-scm-api/src/main/java/org/apache/maven/scm/ScmFileSet.java,org.apache.maven.scm.ScmFileSet,66,66,0,0,0,0,3,3,10,10,12,66,33,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0,0,0,0.25,0.166666666666667,0.666666666666667,1,0,1,32,19,5,3,0.740740740740741,0.677777777777778,0.333333333333333,0.333333333333333,0.666666666666667,0.444444444444444,0.230769230769231,0.666666666666667,0,0,0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,326,16,331,0,10,0
maven-scm-api/src/test/java/org/apache/maven/scm/ScmFileSetTest.java,org.apache.maven.scm.ScmFileSetTest,74,74,0,0,0,0,1,1,8,8,1,74,39,1,0,1,0,0,0,8,0,0,1,0,0,1,0.0,0,0,0,0.125,0.0952380952380952,1,1,11,1,28,28,8,1,1,0.75,0.321428571428571,0.125,1,1,0,1,0,0,0,0.0,1,1,0,0,0,0,0,0,28,0,0,0,0,12,28,0,1,0,3,0,12,12,0
maven-scm-api/src/main/java/org/apache/maven/scm/ScmFileStatus.java,org.apache.maven.scm.ScmFileStatus,40,40,0,0,0,0,13,13,6,6,1,40,26,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0,0,0.166666666666667,-0.2,0.2,0.2,2,0.2,14,13,5,3,1,0.666666666666667,0.2,0.166666666666667,0.2,0.2,0,0.2,0,0,0,0.0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,8,2,10,0,6,0
maven-scm-api/src/main/java/org/apache/maven/scm/ScmResult.java,org.apache.maven.scm.ScmResult,37,37,0,0,0,0,4,4,6,6,5,37,23,0,3,0,0,0,0,6,0,0,0,16,22,0,0.0,0,0,0,0.166666666666667,0.4,0,0,0,0,6,0,1,1,0.6,0.666666666666667,0.6,0.5,1,1,0,0,0,0,0,5005.72796436508,0,3,0,15,43,0,0,0,0,0,0,0,0,0,0,0,3,41,6,81,0,6,0
maven-scm-api/src/main/java/org/apache/maven/scm/ScmRevision.java,org.apache.maven.scm.ScmRevision,12,12,0,0,0,0,1,0,6,2,1,12,5,1,0,1,0,0,0,2,4,0,1,0,0,1,0.0,0,0,0,0.5,0,1,1,0,1,1,1,2,2,undefined,0,0,undefined,0,0,0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,2,42,0,6,0
maven-scm-api/src/main/java/org/apache/maven/scm/ScmTag.java,org.apache.maven.scm.ScmTag,12,12,0,0,0,0,1,0,7,2,1,12,5,2,0,2,1,1,0,1,5,1,2,0,0,1,0.28571428571428603,0,0,0,0.5,0,1,1,0,1,1,1,2,2,undefined,0,0,undefined,0,0,0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,2,1,15,0,7,0
maven-scm-test/src/main/java/org/apache/maven/scm/ScmTckTestCase.java,org.apache.maven.scm.ScmTckTestCase,61,61,0,0,0,0,5,2,28,7,5,61,35,2,3,2,65,1,64,6,21,1,2,9,62,1,0.0714285714285714,0,0,0,0.285714285714286,0.0666666666666667,0,0,9,0,19,17,5,1,0.833333333333333,0.523809523809524,0.333333333333333,0.285714285714286,0.333333333333333,0.333333333333333,-1,0,0,0,7,20659.4594636584,8,2,0,0,55,0,0,0,19,0,0,0,9,14,10,0,2,0,9,0,7,36,0
maven-scm-test/src/main/java/org/apache/maven/scm/ScmTestCase.java,org.apache.maven.scm.ScmTestCase,184,184,0,0,0,0,3,3,22,22,31,184,114,1,4,1,30,0,30,22,0,0,1,88,161,1,0.0,0,0,0,0.143939393939394,-0.0380952380952381,0,0,13,0,229,227,20,10,0.984126984126984,0.762626262626263,0.0562770562770563,0.0606060606060606,0.0952380952380952,0.0952380952380952,-0.6,0,0,0,0,301535.998995913,4,1,0,0,407,0,0,0,5,0,0,0,0,4,5,0,1,0,30,3,4,26,0
maven-scm-client/src/main/java/org/apache/maven/scm/client/cli/MavenScmCli.java,org.apache.maven.scm.client.cli.MavenScmCli,216,216,0,0,0,0,2,2,8,8,20,216,118,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.2375,0.476190476190476,0.666666666666667,1,29,1,17,6,3,1,0.642857142857143,0.639285714285714,0.607142857142857,0.4375,0.857142857142857,0.857142857142857,-0.363636363636364,0.666666666666667,0,0,0,0.0,15,1,0,0,0,0,0,0,25,0,0,0,0,18,25,0,1,0,16,0,18,21,0
maven-scm-api/src/main/java/org/apache/maven/scm/command/AbstractCommand.java,org.apache.maven.scm.command.AbstractCommand,36,36,0,0,0,0,1,1,4,4,8,36,15,0,3,0,15,0,15,4,0,0,0,20,143,0,0.0,5,0,5,0.4,-0.333333333333333,0.333333333333333,0.333333333333333,4,0.333333333333333,5,4,3,2,0.666666666666667,0.4,0.333333333333333,0.5,0.333333333333333,0.333333333333333,-1,0.333333333333333,0,0,0,16065.8972858253,6,0,0,0,450,0,0,0,3,0,0,0,0,1,3,0,0,0,9,138,1,5,0
maven-scm-api/src/main/java/org/apache/maven/scm/command/CommandLineUtils.java,org.apache.maven.scm.command.CommandLineUtils,3,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,undef,undef,undef,undef,0,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maven-scm-api/src/main/java/org/apache/maven/scm/command/add/AbstractAddCommand.java,org.apache.maven.scm.command.add.AbstractAddCommand,14,14,0,0,0,0,1,0,5,2,7,14,4,1,2,1,7,1,6,1,3,1,1,10,12,1,0.2,4,0,4,0.7,1,undefined,undefined,5,undefined,1,1,2,1,undefined,0.4,1,undefined,0,0,0,undefined,0,0,0,953.8504252649741,6,0,0,0,0,0,0,0,4,0,0,0,0,2,4,0,0,0,4,0,2,13,0
maven-scm-api/src/main/java/org/apache/maven/scm/command/add/AddScmResult.java,org.apache.maven.scm.command.add.AddScmResult,32,32,0,0,0,0,5,1,10,4,8,32,17,1,0,1,0,0,0,4,6,0,1,0,0,1,0.0,0,0,0,0.375,1,1,1,0,1,0,0,1,1,0,0.416666666666667,1,1,1,0.333333333333333,-1,1,0,1,2,0.0,0,1,0,0,0,0,0,0,7,0,0,0,7,2,0,1,1,14,7,13,0,10,0
maven-scm-api/src/main/java/org/apache/maven/scm/command/branch/AbstractBranchCommand.java,org.apache.maven.scm.command.branch.AbstractBranchCommand,15,15,0,0,0,0,1,0,5,2,7,15,6,1,2,1,2,1,1,1,3,1,1,2,4,1,0.2,1,0,1,0.75,1,1,1,5,1,1,1,2,1,undefined,0.5,1,undefined,0,0,0,1,0,0,0,422.55594517848294,6,0,0,0,0,0,0,0,5,0,0,0,0,2,5,0,0,0,5,0,2,13,0
maven-scm-api/src/main/java/org/apache/maven/scm/command/branch/BranchScmResult.java,org.apache.maven.scm.command.branch.BranchScmResult,23,23,0,0,0,0,5,1,10,4,8,23,12,1,0,1,0,0,0,4,6,0,1,0,0,1,0.0,0,0,0,0.375,0,1,1,0,1,3,0,2,2,0.333333333333333,0.416666666666667,0.5,0.75,0.666666666666667,0.333333333333333,-1,1,0,1,3,0.0,0,1,0,0,0,0,0,0,12,0,0,0,12,3,0,1,1,14,7,6,0,10,0
maven-scm-api/src/main/java/org/apache/maven/scm/command/changelog/AbstractChangeLogCommand.java,org.apache.maven.scm.command.changelog.AbstractChangeLogCommand,53,53,0,0,0,0,1,0,6,3,14,53,24,1,2,1,9,1,8,2,3,1,1,10,12,1,0.166666666666667,8,0,8,0.571428571428571,0,1,1,13,1,3,3,3,1,undefined,0.523809523809524,0.666666666666667,undefined,0,0,1,1,0,0,0,4410.95510862281,9,0,0,0,0,0,0,0,27,0,0,0,0,10,27,0,0,0,11,0,10,15,0
maven-scm-api/src/main/java/org/apache/maven/scm/command/changelog/ChangeLogScmResult.java,org.apache.maven.scm.command.changelog.ChangeLogScmResult,23,23,0,0,0,0,5,1,10,4,8,23,12,1,0,1,0,0,0,4,6,0,1,0,0,1,0.0,0,0,0,0.375,0,1,1,0,1,3,0,2,2,0.333333333333333,0.416666666666667,0.5,0.75,0.666666666666667,0.333333333333333,-1,1,0,1,3,0.0,1,1,0,0,0,0,0,0,12,0,0,0,12,3,0,1,1,38,7,20,0,10,0
maven-scm-api/src/main/java/org/apache/maven/scm/command/changelog/ChangeLogSet.java,org.apache.maven.scm.command.changelog.ChangeLogSet,101,101,0,0,0,0,6,6,12,12,9,101,54,0,0,0,0,0,0,12,0,0,0,0,0,0,0.0,0,0,0,0.145833333333333,0.0909090909090909,0.444444444444444,1,7,1,53,40,3,1,0.848484848484849,0.731060606060606,0.242424242424242,0.222222222222222,1,0.454545454545455,-1,0.444444444444444,0,0,0,0.0,2,4,0,0,0,0,0,0,1,0,0,0,0,1,1,1,4,3,12,24,1,20,0
maven-scm-api/src/main/java/org/apache/maven/scm/command/checkin/AbstractCheckInCommand.java,org.apache.maven.scm.command.checkin.AbstractCheckInCommand,16,16,0,0,0,0,2,1,5,2,7,16,7,1,2,1,5,1,4,1,3,1,1,9,11,1,0.2,5,0,5,0.7,1,1,1,5,1,1,1,2,1,2,0.4,1,0,0,0,0,1,0,0,0,1016.0138926456099,8,1,0,0,0,0,0,0,5,0,0,0,0,2,5,0,1,0,4,0,2,13,0
maven-scm-api/src/main/java/org/apache/maven/scm/command/checkin/CheckInScmResult.java,org.apache.maven.scm.command.checkin.CheckInScmResult,23,23,0,0,0,0,5,1,10,4,8,23,12,1,0,1,0,0,0,4,6,0,1,0,0,1,0.0,0,0,0,0.375,0,1,1,0,1,3,0,2,2,0.333333333333333,0.416666666666667,0.5,0.75,0.666666666666667,0.333333333333333,-1,1,0,1,3,0.0,0,1,0,0,0,0,0,0,12,0,0,0,12,3,0,1,1,22,7,20,0,10,0
maven-scm-api/src/main/java/org/apache/maven/scm/command/checkout/AbstractCheckOutCommand.java,org.apache.maven.scm.command.checkout.AbstractCheckOutCommand,14,14,0,0,0,0,1,0,5,2,6,14,5,1,2,1,3,1,2,1,3,1,1,10,12,1,0.2,8,0,8,0.75,1,1,1,4,1,1,1,2,1,undefined,0.5,1,undefined,0,0,0,1,0,0,0,772.381942344806,8,0,0,0,0,0,0,0,3,0,0,0,0,1,3,0,0,0,3,0,1,11,1
maven-scm-api/src/main/java/org/apache/maven/scm/command/checkout/CheckOutScmResult.java,org.apache.maven.scm.command.checkout.CheckOutScmResult,36,36,0,0,0,0,6,2,12,6,11,36,19,1,1,1,0,0,0,6,6,0,1,1,1,1,0.0,0,0,0,0.333333333333333,0,0,0,0,0,11,7,3,2,0.7,0.533333333333333,0.333333333333333,0.416666666666667,0.8,0.4,-0.333333333333334,0,0,1,3,171.465635054191,0,2,0,0,1,0,0,0,12,0,0,0,12,3,0,1,2,37,11,20,0,12,0
maven-scm-api/src/main/java/org/apache/maven/scm/command/diff/AbstractDiffCommand.java,org.apache.maven.scm.command.diff.AbstractDiffCommand,15,15,0,0,0,0,1,0,5,2,7,15,6,1,2,1,5,1,4,1,3,1,1,6,8,1,0.2,2,0,2,0.75,1,1,1,5,1,1,1,2,1,undefined,0.5,1,undefined,0,0,0,1,0,0,0,827.978783020393,8,0,0,0,0,0,0,0,6,0,0,0,0,2,6,0,0,0,3,0,2,11,0
