relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc,NA,NAIMP,NM,NMIMP,NumPara,SLOC,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,SIX,SP,SPA,SPD,CAMC,Co,DCd,DCi,ICH,LCC,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,NHD,NewCo,NewLCOM5,OCC,PCC,SNHD,TCC,ACAIC,ACMIC,AMMIC,CBI,CBO,DAC,DCAEC,DCMEC,DMMEC,FCAEC,FCMEC,FMMEC,ICP,IFCAIC,IFCMIC,IFMMIC,IHICP,MPC,NIHICP,OCAEC,OCAIC,OCMEC,OCMIC,OMMEC,OMMIC,RFC,bug
surefire-integration-tests/src/test/resources/testng-junit-together/src/test/java/JunitTest.java,JunitTest,11,11,0,0,0,0,1,1,2,2,0,11,6,1,0,1,0,0,0,2,0,0,1,0,0,1,0.0,0,0,0,undef,1,1,1,0,1,0,0,1,1,0,undef,1,1,1,1,undef,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
surefire-integration-tests/src/test/resources/failsafe-buildfail/src/test/java/MyAT.java,MyAT,5,5,0,0,0,0,0,0,1,1,0,5,3,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0,0,0,0,undef,1,1,1,0,1,0,0,1,1,undefined,undef,1,undefined,0,0,undef,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
surefire-integration-tests/src/test/resources/failsafe-buildfail/src/test/java/MyIT.java,MyIT,5,5,0,0,0,0,0,0,1,1,0,5,3,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0,0,0,0,undef,1,1,1,0,1,0,0,1,1,undefined,undef,1,undefined,0,0,undef,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
surefire-integration-tests/src/test/resources/working-directory-missing/src/test/java/MyTest.java,MyTest,5,5,0,0,0,0,0,0,1,1,0,5,3,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0,0,0,0,undef,1,1,1,0,1,0,0,1,1,undefined,undef,1,undefined,0,0,undef,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
surefire-integration-tests/src/test/resources/pojo-simple/src/test/java/PojoTest.java,PojoTest,11,11,0,0,0,0,0,0,2,2,0,11,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,undef,0,0,0,0,0,1,1,2,2,undefined,undef,0,undefined,0,0,undef,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
surefire-integration-tests/src/test/resources/testng-junit-together/src/test/java/TestNGJunitTest.java,TestNGJunitTest,13,13,0,0,0,0,1,1,2,2,0,13,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,undef,1,1,1,0,1,0,0,1,1,0,undef,1,1,1,1,undef,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
surefire-integration-tests/src/test/resources/webapp/src/test/java/WebAppTest.java,WebAppTest,24,24,0,0,0,0,1,1,3,3,0,24,22,1,0,1,0,0,0,3,0,0,1,0,0,1,0.0,0,0,0,undef,-1,0.333333333333333,0.333333333333333,0,0.333333333333333,2,1,2,2,0.5,undef,0.333333333333333,0.666666666666667,0.5,0.5,undef,0.333333333333333,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
surefire-integration-tests/src/test/resources/default-configuration-abstract/src/test/java/abstractClasses/AbstractConcreteBasicTest.java,abstractClasses.AbstractConcreteBasicTest,47,47,0,0,0,0,2,2,6,6,2,47,26,1,0,1,0,0,0,6,0,0,1,0,0,1,0.0,0,0,0,0.166666666666667,0.1,0,0,3,0,10,5,3,2,0.6,0.666666666666667,0.4,0.5,0.6,0.4,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0
surefire-integration-tests/src/test/resources/default-configuration-abstract/src/test/java/abstractClasses/NonInstantiableTest.java,abstractClasses.NonInstantiableTest,4,4,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0.0,0,0,0,undef,undef,undef,undef,0,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,undef,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surefire-integration-tests/src/test/resources/additional-classpath/src/test/java/additionalClasspath/BasicTest.java,additionalClasspath.BasicTest,7,7,0,0,0,0,0,0,1,1,0,7,3,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0,0,0,0,undef,1,1,1,0,1,0,0,1,1,undefined,undef,1,undefined,0,0,undef,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
